mz,rt,cpd,pathways,main_super_pathway,main_super_pathway_categorized,n_matches,min_p_value,mode
100.013977971641,188.613115350996,C00072; C02670; glac,Tyrosine metabolism,"Amino acid metabolism, Lipid metabolism, Metabolism of cofactors and vitamins, Nucleotide metabolism",Other Combination of pathways,3,0.0253742602358845,negative
100.075740157339,31.7188017810714,C00183; C00431; C00719,"Glycine, serine, alanine and threonine metabolism","Amino acid metabolism, Carbohydrate metabolism",Other Combination of pathways,3,0.0332723065790187,negative
101.03465666409,181.575011703928,C00581; gudac,"Glycine, serine, alanine and threonine metabolism; Urea cycle/amino group metabolism",Amino acid metabolism,Amino acid metabolism,2,0.013519055537942,negative
102.0198507,12.19070574,C01179; C01179; C01197; C01197; C05350; C05350,Tyrosine metabolism,"Amino acid metabolism, Metabolism of cofactors and vitamins",Other Combination of pathways,6,0.0274719409718521,negative
102.03395978735,127.38640995026,C05579,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,1,0.0810146423660106,negative
102.055072540213,74.1441432745719,C00940,Alanine and Aspartate Metabolism,Amino acid metabolism,Amino acid metabolism,1,0.0718171826836857,negative
103.038843868631,251.454959502134,C00026; C00109; C00164; C00232; C00349; C01087; C02266; C02630; C03196; C06002; C06144,"Methionine and cysteine metabolism; Glycine, serine, alanine and threonine metabolism; Arginine and Proline Metabolism; Tryptophan metabolism; Alanine and Aspartate Metabolism; Urea cycle/amino group metabolism; Histidine metabolism; Tyrosine metabolism; Aspartate and asparagine metabolism","Amino acid metabolism, Carbohydrate metabolism",Other Combination of pathways,11,0.1820664916081,negative
103.054370650416,39.0360156819634,C00601,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,1,0.0122317999168714,negative
104.070732131361,55.2920177829494,C00334; C01026; C01205; C02356; C03284; C05145,"Glycine, serine, alanine and threonine metabolism; Urea cycle/amino group metabolism; Aspartate and asparagine metabolism","Amino acid metabolism, Carbohydrate metabolism, Nucleotide metabolism",Other Combination of pathways,6,0.0515273623333863,negative
105.069971784925,271.85003578226,C02846; C02846; C05332; C05332,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,4,0.0221716902423295,negative
106.086339264997,38.909618948586,C00555; C00555,Arginine and Proline Metabolism; Urea cycle/amino group metabolism; Aspartate and asparagine metabolism,Amino acid metabolism,Amino acid metabolism,2,0.00527905041263257,negative
107.070394721441,273.393886078089,C00121; C00181; C00246; C00259; C00309; C00310; C00312,Chondroitin sulfate degradation,"Glycan biosynthesis and metabolism, Nucleotide metabolism, NA",Other Combination of pathways,7,0.0135227054632411,negative
108.044516358973,275.27282793671,C00632; C05827,Tryptophan metabolism,Amino acid metabolism,Amino acid metabolism,2,0.0445542191932081,negative
108.080899467297,200.55621837324,C09642,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,1,0.0335033355548898,negative
110.071389100622,77.9502705815515,C01035,Aspartate and asparagine metabolism,Amino acid metabolism,Amino acid metabolism,1,3.65495047923302e-4,negative
111.044122735278,37.1745498036064,C05582; C05583,Tyrosine metabolism,Amino acid metabolism,Amino acid metabolism,2,0.0427404915884603,negative
111.055436592147,203.187720331899,C00064; C00819; C05100,Arginine and Proline Metabolism; Alanine and Aspartate Metabolism; Tyrosine metabolism; Aspartate and asparagine metabolism,"Amino acid metabolism, Metabolism of cofactors and vitamins, Nucleotide metabolism",Other Combination of pathways,3,0.00163856821957868,negative
111.080544364957,182.467493596982,17ahprgstrn; C01176; C03205; C03748; C05498; CE1353; CE5888,C21-steroid hormone biosynthesis and metabolism,Lipid metabolism,Lipid metabolism,7,0.0786728679055179,negative
111.09179183334,185.384992728153,C00047,Aspartate and asparagine metabolism,Amino acid metabolism,Amino acid metabolism,1,6.27642193083189e-4,negative
111.116939634629,182.622331400704,CE2006; CE2577; CE6506,Linoleate metabolism,Lipid metabolism,Lipid metabolism,3,0.013322249526284,negative
112.039433690647,272.50235333631,C01879; C04281; C04282,Arginine and Proline Metabolism; Aspartate and asparagine metabolism,Amino acid metabolism,Amino acid metabolism,3,0.0540301312224825,negative
112.050660698022,175.8382265558,C00380; C05522,Methionine and cysteine metabolism,"Amino acid metabolism, Nucleotide metabolism","Amino acid metabolism, Nucleotide metabolism",2,0.050840784854558,negative
