exposure,n,pvalue_mean,pvalue_BH_mean,perc_pval_0.05,perc_pval_0.05_BH,n_pval_0.05_BH
dde_impute,4937,0.4538342554185502,0.8216126545950454,0.09216123151711565,2.0255215718047398e-4,1
hexachlorobenzene_impute,4937,0.4971880596943181,0.9604487635013371,0.05691715616771319,0.0010127607859023698,5
ocs,4937,0.45984478243761123,0.8376930180640966,0.08486935385861859,6.076564715414219e-4,3
pbde_100_ngml_detect,4937,0.4727330129287687,0.9120391940083634,0.0544865302815475,0,0
pbde_153_ngml_detect,4937,0.5060978038759837,0.9972180600265322,0.04597933967996759,0,0
pbde_154_impute,4937,0.47114230721738265,0.8513621466271873,0.08892039700222808,0.0042535953007899535,21
pbde_47_impute,4937,0.5042153936035184,0.9779399539708287,0.05124569576665992,0,0
pbde_85_ngml_detect,4937,0.5173501754903668,0.999836923184715,0.033421105934778206,0,0
pbde_num_detect,4937,0.4964809388479135,0.976056860669922,0.04658699615150901,0,0
pcb_118_ngml_detect,4937,0.4890822166873328,0.9525608915915067,0.053676321652825605,0,0
pcb_138_ngml_detect,4937,0.5248231578495502,0.9996837732410967,0.03524407534940247,0,0
pcb_153_ngml_detect,4937,0.49524347933759166,0.977322737783748,0.04618189183714807,0,0
pcb_180_ngml_detect,4937,0.5112022158465073,0.997471179582185,0.036054283978124366,0,0
pcb_num_detect,4937,0.4919811559821304,0.9573912450528339,0.05387887381000608,0,0
