exposure,n,pvalue_mean,pvalue_BH_mean,pec_pval_0.05,pec_pval_0.05_BH,n_pval_0.05_BH
dde_impute,4372,0.4741934432653708,0.907273073081916,0.05901189387008234,0,0
hexachlorobenzene_impute,4372,0.43773374821014616,0.754464099366013,0.11161939615736505,0.0242451967063129,106
ocs,4372,0.46182601038817905,0.8599142064751072,0.07639524245196706,0,0
pbde_100_ngml_detect,4372,0.5135642719871698,0.9991607613595279,0.04391582799634035,0,0
pbde_153_ngml_detect,4372,0.5329261726673611,0.9986963078015916,0.03156450137236962,0,0
pbde_154_impute,4372,0.31348377610416955,0.4421315851455066,0.28636779505946935,0.14935956084172003,653
pbde_47_impute,4372,0.4607348666814398,0.8844124951331548,0.05626715462031107,0,0
pbde_85_ngml_detect,4372,0.44954927011502044,0.8418523656611678,0.05512351326623971,0,0
pbde_num_detect,4372,0.51986441609177,0.9990459132908218,0.032708142726440986,0,0
pcb_118_ngml_detect,4372,0.5431769392762312,0.999995626408384,0.035681610247026534,0,0
pcb_138_ngml_detect,4372,0.5217651153771921,0.9961637338145171,0.031793229643183894,0,0
pcb_153_ngml_detect,4372,0.5495463151872241,0.9990344421076887,0.026989935956084173,0,0
pcb_180_ngml_detect,4372,0.49335819778887235,0.9712878415221865,0.0459743824336688,0,0
pcb_num_detect,4372,0.5018193639303732,0.9896228468908222,0.04780420860018298,0,0
