"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Arachidonic acid metabolism","24","24","10","3.2901","0.00033981","0.0016012","0.029297","46","0.0046","P1","EC000654;EC000257;EC000149;EC000815;EC000816;EC000813;EC000814;EC000586;EC000788;EC000248"
"Fatty acid activation","38","38","12","5.2094","0.0016603","0.0052535","0.02938","6","6e-04","P2","EC000856;EC000988;EC000985;EC000220;EC0001008;EC00014;EC000586;EC000583;EC000584;EC00094;EC000328;EC000412"
"Vitamin A (retinol) metabolism","14","14","6","1.9192","0.0049178","0.023632","0.029586","37","0.0037","P3","EC000679;EC000837;EC000867;EC000838;EC000730;EC00019"
"Putative anti-Inflammatory metabolites formation from EPA","11","11","5","1.508","0.0077471","0.04011","0.029766","22","0.0022","P4","EC000788;EC000837;EC000813;EC000814;EC000463"
"Leukotriene metabolism","35","35","10","4.7981","0.0090789","0.025244","0.029852","78","0.0078","P5","EC000257;EC000788;EC000813;EC000814;EC000878;EC000149;EC000743;EC000955;EC000248;EC000844"
"Phosphatidylinositol phosphate metabolism","12","12","5","1.6451","0.011934","0.054392","0.030035","19","0.0019","P6","EC000456;EC00019;EC000313;EC000682;EC000997"
"Prostaglandin formation from arachidonate","48","48","11","6.5802","0.033613","0.071459","0.03147","77","0.0077","P7","EC000149;EC000564;EC000257;EC000645;EC000743;EC000813;EC000814;EC000568;EC000566;EC000626;EC000837"
"De novo fatty acid biosynthesis","20","20","5","2.7418","0.10068","0.24224","0.036411","1062","0.1062","P8","EC000220;EC000586;EC000616;EC000412;EC000328"
"Keratan sulfate degradation","5","5","2","0.68544","0.12533","0.49361","0.038438","5286","0.5286","P9","EC00019;EC000264"
"Glycosphingolipid biosynthesis - lactoseries","1","1","1","0.13709","0.12798","1","0.038663","0","0","P10","EC00019"
"Blood Group Biosynthesis","1","1","1","0.13709","0.12798","1","0.038663","0","0","P11","EC00019"
"Glycosphingolipid biosynthesis - neolactoseries","1","1","1","0.13709","0.12798","1","0.038663","0","0","P12","EC00019"
"3-Chloroacrylic acid degradation","1","1","1","0.13709","0.12798","1","0.038663","0","0","P13","EC000599"
"O-Glycan biosynthesis","1","1","1","0.13709","0.12798","1","0.038663","0","0","P14","EC00019"
"Benzoate degradation via CoA ligation","1","1","1","0.13709","0.12798","1","0.038663","0","0","P15","EC00059"
"Linoleate metabolism","34","34","7","4.661","0.13247","0.25551","0.039048","849","0.0849","P16","EC000467;EC00019;EC000649;EC000650;EC000903;EC000586;EC000328"
"C21-steroid hormone biosynthesis and metabolism","48","48","9","6.5802","0.14836","0.25638","0.040446","499","0.0499","P17","EC000354;EC000510;EC00019;EC000226;EC000170;EC000515;EC000457;EC000485;EC000486"
"Drug metabolism - cytochrome P450","17","17","4","2.3305","0.16253","0.36889","0.041739","1212","0.1212","P18","EC000706;EC000710;EC000608;EC000701"
"Androgen and estrogen biosynthesis and metabolism","24","24","5","3.2901","0.18303","0.36361","0.043693","1877","0.1877","P19","EC000485;EC000486;EC000170;EC00019;EC000457"
"Galactose metabolism","19","19","4","2.6047","0.21755","0.44156","0.047222","815","0.0815","P20","EC000237;EC00048;EC00019;EC00036"
"Prostaglandin formation from dihomo gama-linoleic acid","7","7","2","0.95962","0.22233","0.61467","0.047735","887","0.0887","P21","EC000816;EC000743"
"Fructose and mannose metabolism","13","13","3","1.7821","0.22564","0.50649","0.048094","4560","0.456","P22","EC000264;EC00048;EC000237"
"Keratan sulfate biosynthesis","2","2","1","0.27418","0.23969","1","0.049652","1438","0.1438","P23","EC00019"
"Hexose phosphorylation","14","14","3","1.9192","0.26205","0.54788","0.052255","1304","0.1304","P24","EC000552;EC00036;EC000237"
"Omega-3 fatty acid metabolism","8","8","2","1.0967","0.27289","0.66394","0.053572","1446","0.1446","P25","EC000687;EC000586"
"Fatty Acid Metabolism","15","15","3","2.0563","0.29915","0.58681","0.056921","6319","0.6319","P26","EC000985;EC000328;EC000984"
"Carnitine shuttle","22","22","4","3.0159","0.30739","0.54383","0.058022","181","0.0181","P27","EC0001012;EC000988;EC000992;EC00016"
"Pentose phosphate pathway","22","22","4","3.0159","0.30739","0.54383","0.058022","6825","0.6825","P28","EC000353;EC00048;EC000107;EC000210"
"Aspartate and asparagine metabolism","37","37","6","5.0723","0.33272","0.51601","0.061562","5464","0.5464","P29","EC000304;EC000305;EC000415;EC000560;EC000270;EC000776"
"Glycosphingolipid biosynthesis - globoseries","3","3","1","0.41126","0.33718","1","0.062211","1006","0.1006","P30","EC00019"
"Glyoxylate and Dicarboxylate Metabolism","3","3","1","0.41126","0.33718","1","0.062211","0","0","P31","EC00048"
"Fatty acid oxidation, peroxisome","3","3","1","0.41126","0.33718","1","0.062211","1","1e-04","P32","EC000988"
"Proteoglycan biosynthesis","3","3","1","0.41126","0.33718","1","0.062211","295","0.0295","P33","EC00019"
"Propanoate metabolism","10","10","2","1.3709","0.37288","0.74451","0.0677","538","0.0538","P34","EC000224;EC000441"
"Butanoate metabolism","10","10","2","1.3709","0.37288","0.74451","0.0677","432","0.0432","P35","EC000570;EC00094"
"Carbon fixation","10","10","2","1.3709","0.37288","0.74451","0.0677","3681","0.3681","P36","EC00048;EC000107"
"Starch and Sucrose Metabolism","11","11","2","1.508","0.42091","0.77727","0.07601","5192","0.5192","P37","EC000229;EC00019"
"Hyaluronan Metabolism","4","4","1","0.54835","0.42226","1","0.07626","1244","0.1244","P38","EC00019"
"Di-unsaturated fatty acid beta-oxidation","4","4","1","0.54835","0.42226","1","0.07626","3172","0.3172","P39","EC000328"
"Electron transport chain","5","5","1","0.68544","0.49649","1","0.091689","7265","0.7265","P40","EC000141"
"Lipoate metabolism","5","5","1","0.68544","0.49649","1","0.091689","9129","0.9129","P41","EC000224"
"Fatty acid oxidation","5","5","1","0.68544","0.49649","1","0.091689","1761","0.1761","P42","EC000141"
"Vitamin B6 (pyridoxine) metabolism","5","5","1","0.68544","0.49649","1","0.091689","664","0.0664","P43","EC000241"
"N-Glycan Degradation","5","5","1","0.68544","0.49649","1","0.091689","8370","0.837","P44","EC000264"
"Glycosphingolipid biosynthesis - ganglioseries","6","6","1","0.82253","0.56125","1","0.10836","6054","0.6054","P45","EC00019"
"Omega-6 fatty acid metabolism","6","6","1","0.82253","0.56125","1","0.10836","1883","0.1883","P46","EC000856"
"Purine metabolism","47","47","6","6.4431","0.57158","0.73497","0.11136","4457","0.4457","P47","EC000964;EC000319;EC000166;EC000342;EC00036;EC000210"
"Xenobiotics metabolism","48","48","6","6.5802","0.59351","0.75237","0.11808","8814","0.8814","P48","EC00019;EC000659;EC000657;EC000601;EC000647;EC000676"
"Pyrimidine metabolism","57","57","7","7.814","0.61111","0.75434","0.12385","7786","0.7786","P49","EC000141;EC00019;EC00036;EC000171;EC000172;EC000210;EC000158"
"Pyruvate Metabolism","7","7","1","0.95962","0.61774","1","0.12612","0","0","P50","EC00048"
"Beta-Alanine metabolism","7","7","1","0.95962","0.61774","1","0.12612","1201","0.1201","P51","EC000133"
"Glycerophospholipid metabolism","50","50","6","6.8544","0.63558","0.78462","0.1325","8005","0.8005","P52","EC000576;EC000147;EC000116;EC000586;EC00048;EC000328"
"Pentose and Glucuronate Interconversions","8","8","1","1.0967","0.667","1","0.14481","6769","0.6769","P53","EC00019"
"Vitamin E metabolism","26","26","3","3.5643","0.66742","0.86343","0.14498","173","0.0173","P54","EC000814;EC000926;EC000939"
"Glycosphingolipid metabolism","26","26","3","3.5643","0.66742","0.86343","0.14498","2075","0.2075","P55","EC000116;EC000576;EC00019"
"TCA cycle","18","18","2","2.4676","0.69297","0.91514","0.15616","9690","0.969","P56","EC000141;EC00036"
"Aminosugars metabolism","19","19","2","2.6047","0.72192","0.92611","0.17032","6591","0.6591","P57","EC00019;EC00036"
"N-Glycan biosynthesis","10","10","1","1.3709","0.74741","1","0.18432","8612","0.8612","P58","EC00019"
"Ubiquinone Biosynthesis","10","10","1","1.3709","0.74741","1","0.18432","6963","0.6963","P59","EC000141"
"Urea cycle/amino group metabolism","39","39","4","5.3464","0.75821","0.89272","0.19075","8877","0.8877","P60","EC000236;EC000287;EC000323;EC000415"
"Histidine metabolism","13","13","1","1.7821","0.83332","1","0.24667","3694","0.3694","P61","EC000133"
"D4&E4-neuroprostanes formation","14","14","1","1.9192","0.85493","1","0.26775","4134","0.4134","P62","EC000972"
"Porphyrin metabolism","14","14","1","1.9192","0.85493","1","0.26775","6783","0.6783","P63","EC00019"
"Lysine metabolism","14","14","1","1.9192","0.85493","1","0.26775","9864","0.9864","P64","EC000290"
"Valine, leucine and isoleucine degradation","16","16","1","2.1934","0.89015","1","0.30974","8765","0.8765","P65","EC000482"
"Vitamin D3 (cholecalciferol) metabolism","17","17","1","2.3305","0.90444","1","0.33049","6390","0.639","P66","EC000959"
"Ascorbate (Vitamin C) and Aldarate Metabolism","17","17","1","2.3305","0.90444","1","0.33049","9888","0.9888","P67","EC000224"
"Glycolysis and Gluconeogenesis","18","18","1","2.4676","0.91688","1","0.35098","7013","0.7013","P68","EC00048"
"Arginine and Proline Metabolism","20","20","1","2.7418","0.93714","1","0.39098","9673","0.9673","P69","EC000287"
"Tryptophan metabolism","37","37","2","5.0723","0.96199","0.99404","0.45878","9961","0.9961","P70","EC000541;EC000119"
"Drug metabolism - other enzymes","26","26","1","3.5643","0.97291","1","0.50101","9909","0.9909","P71","EC000721"
"Tyrosine metabolism","89","89","6","12.201","0.9817","0.99334","0.54633","9965","0.9965","P72","EC000914;EC00019;EC000911;EC000434;EC000126;EC000541"
"Bile acid biosynthesis","29","29","1","3.9756","0.98225","1","0.54975","4679","0.4679","P73","EC000437"
"Methionine and cysteine metabolism","29","29","1","3.9756","0.98225","1","0.54975","9984","0.9984","P74","EC000287"
"Glycine, serine, alanine and threonine metabolism","44","44","2","6.0319","0.98367","0.99779","0.55881","9844","0.9844","P75","EC000155;EC000860"
