"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Tyrosine metabolism","151","151","27","13.308","2.1286e-05","5.3173e-05","0.010372","3862","0.3862","P1","EC000373;EC000375;EC00019;EC000339;EC000661;EC000571;EC000310;EC000525;EC00052;EC00055;EC000909;EC00040;EC000780;EC00057;EC000279;EC000772;EC000223;EC000927;EC000322;EC00089;EC000508;EC000816;EC000783;EC000782;EC000326;EC0001103;EC0001105"
"TCA cycle","11","11","3","0.96946","0.05295","0.2191","0.011899","26","0.0026","P2","EC00046;EC000167;EC00025"
"Linoleate metabolism","43","43","7","3.7897","0.053078","0.12408","0.011903","6596","0.6596","P3","EC00089;EC0001095;EC0001213;EC0001215;EC000920;EC00040;EC0001189"
"Urea cycle/amino group metabolism","92","92","12","8.1082","0.061092","0.11088","0.012155","7728","0.7728","P4","EC00019;EC000508;EC000279;EC00043;EC000312;EC000212;EC000255;EC000484;EC000373;EC000375;EC00049;EC000243"
"Arachidonic acid metabolism","19","19","4","1.6745","0.061296","0.1913","0.012161","14","0.0014","P5","EC00019;EC000977;EC000338;EC00089"
"Tryptophan metabolism","113","113","14","9.959","0.064377","0.11007","0.01226","5458","0.5458","P6","EC00019;EC000811;EC000816;EC000240;EC000342;EC000488;EC000804;EC00070;EC0001099;EC000528;EC0001228;EC000797;EC000421;EC000514"
"Sphingolipid metabolism","1","1","1","0.088133","0.081124","1","0.01281","0","0","P7","EC000311"
"Valine, leucine and isoleucine degradation","30","30","5","2.644","0.088995","0.21608","0.013078","1","1e-04","P8","EC00019;EC00085;EC000159;EC000167;EC000212"
"Biopterin metabolism","14","14","3","1.2339","0.097912","0.31178","0.013389","4228","0.4228","P9","EC00052;EC00055;EC00057"
"Glycine, serine, alanine and threonine metabolism","69","69","9","6.0812","0.098867","0.1823","0.013423","239","0.0239","P10","EC00019;EC000212;EC0001150;EC00043;EC000255;EC00049;EC000167;EC000319;EC000560"
"Pyrimidine metabolism","63","63","8","5.5524","0.13074","0.23655","0.014605","86","0.0086","P11","EC00068;EC000455;EC00019;EC000410;EC000249;EC000212;EC00046;EC00025"
"Ascorbate (Vitamin C) and Aldarate Metabolism","16","16","3","1.4101","0.13409","0.37256","0.014736","211","0.0211","P12","EC00089;EC000326;EC00040"
"Glycosphingolipid biosynthesis - lactoseries","2","2","1","0.17627","0.15573","1","0.015612","0","0","P13","EC00025"
"Blood Group Biosynthesis","2","2","1","0.17627","0.15573","1","0.015612","0","0","P14","EC00025"
"Glycosphingolipid biosynthesis - neolactoseries","2","2","1","0.17627","0.15573","1","0.015612","0","0","P15","EC00025"
"Benzoate degradation via CoA ligation","2","2","1","0.17627","0.15573","1","0.015612","0","0","P16","EC000104"
"Glycolysis and Gluconeogenesis","27","27","4","2.3796","0.16981","0.37093","0.016213","966","0.0966","P17","EC00025;EC000407;EC00046;EC000167"
"Vitamin B9 (folate) metabolism","10","10","2","0.88133","0.19164","0.5685","0.017195","872","0.0872","P18","EC00019;EC000249"
"Glutathione Metabolism","19","19","3","1.6745","0.19528","0.45936","0.017365","58","0.0058","P19","EC00019;EC00089;EC000520"
"Glutamate metabolism","19","19","3","1.6745","0.19528","0.45936","0.017365","129","0.0129","P20","EC00019;EC00089;EC000212"
"Beta-Alanine metabolism","20","20","3","1.7627","0.21704","0.48676","0.018421","0","0","P21","EC00019;EC000212;EC000312"
"Alkaloid biosynthesis II","11","11","2","0.96946","0.22246","0.60344","0.018696","323","0.0323","P22","EC000520;EC000137"
"1- and 2-Methylnaphthalene degradation","3","3","1","0.2644","0.22433","1","0.018791","480","0.048","P23","EC000972"
"Arginine and Proline Metabolism","53","53","6","4.671","0.25517","0.42403","0.020449","7845","0.7845","P24","EC00019;EC00043;EC000312;EC000255;EC000850;EC000243"
"Drug metabolism - cytochrome P450","34","34","4","2.9965","0.29527","0.52365","0.022855","4838","0.4838","P25","EC0001035;EC000797;EC0001032;EC0001039"
"Vitamin B6 (pyridoxine) metabolism","14","14","2","1.2339","0.3161","0.69231","0.024228","7315","0.7315","P26","EC000170;EC000390"
"C5-Branched dibasic acid metabolism","5","5","1","0.44066","0.3454","1","0.026322","0","0","P27","EC00025"
"Vitamin H (biotin) metabolism","5","5","1","0.44066","0.3454","1","0.026322","589","0.0589","P28","EC00029"
"D4&E4-neuroprostanes formation","5","5","1","0.44066","0.3454","1","0.026322","190","0.019","P29","EC00040"
"Prostaglandin formation from dihomo gama-linoleic acid","5","5","1","0.44066","0.3454","1","0.026322","340","0.034","P30","EC000338"
"Histidine metabolism","38","38","4","3.349","0.37196","0.60158","0.028398","4309","0.4309","P31","EC00019;EC000369;EC000828;EC000239"
"Glycosphingolipid metabolism","27","27","3","2.3796","0.37709","0.65291","0.02882","333","0.0333","P32","EC000322;EC000311;EC00025"
"Glycosphingolipid biosynthesis - globoseries","6","6","1","0.5288","0.39872","1","0.030681","1926","0.1926","P33","EC00025"
"Caffeine metabolism","6","6","1","0.5288","0.39872","1","0.030681","1606","0.1606","P34","EC000909"
"Lipoate metabolism","6","6","1","0.5288","0.39872","1","0.030681","2207","0.2207","P35","EC00029"
"Porphyrin metabolism","17","17","2","1.4983","0.4072","0.76142","0.031448","2149","0.2149","P36","EC000255;EC00040"
"Butanoate metabolism","42","42","4","3.7016","0.44822","0.67082","0.035487","2711","0.2711","P37","EC00019;EC000620;EC000212;EC000407"
"Lysine metabolism","44","44","4","3.8778","0.48538","0.70203","0.039677","9696","0.9696","P38","EC00019;EC00029;EC000243;EC000167"
"Carnitine shuttle","32","32","3","2.8202","0.48865","0.74357","0.040074","1","1e-04","P39","EC0001266;EC0001276;EC0001143"
"Glycosphingolipid biosynthesis - ganglioseries","8","8","1","0.70506","0.49279","1","0.040582","1361","0.1361","P40","EC00025"
"Putative anti-Inflammatory metabolites formation from EPA","8","8","1","0.70506","0.49279","1","0.040582","473","0.0473","P41","EC00019"
"CoA Catabolism","8","8","1","0.70506","0.49279","1","0.040582","4222","0.4222","P42","EC000397"
"Fatty acid oxidation, peroxisome","8","8","1","0.70506","0.49279","1","0.040582","0","0","P43","EC0001143"
"Purine metabolism","45","45","4","3.966","0.5036","0.71678","0.041943","2325","0.2325","P44","EC00019;EC00025;EC00046;EC00040"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","34","34","3","2.9965","0.53065","0.77381","0.045599","6421","0.6421","P45","EC00019;EC000114;EC000116"
"Aspartate and asparagine metabolism","109","109","9","9.6065","0.53313","0.66563","0.045952","6155","0.6155","P46","EC00019;EC000255;EC000312;EC00049;EC000212;EC000243;EC000619;EC00089;EC00029"
"Saturated fatty acids beta-oxidation","9","9","1","0.79319","0.5342","1","0.046107","111","0.0111","P47","EC000732"
"Carbon fixation","10","10","1","0.88133","0.57227","1","0.052002","5241","0.5241","P48","EC00046"
"Nitrogen metabolism","10","10","1","0.88133","0.57227","1","0.052002","8880","0.888","P49","EC00019"
"Omega-6 fatty acid metabolism","10","10","1","0.88133","0.57227","1","0.052002","73","0.0073","P50","EC0001143"
"Methionine and cysteine metabolism","49","49","4","4.3185","0.57348","0.77025","0.052204","668","0.0668","P51","EC00019;EC00043;EC00089;EC000762"
"N-Glycan biosynthesis","11","11","1","0.96946","0.60725","1","0.05825","2972","0.2972","P52","EC00025"
"Squalene and cholesterol biosynthesis","11","11","1","0.96946","0.60725","1","0.05825","776","0.0776","P53","EC000251"
"Fatty acid oxidation","11","11","1","0.96946","0.60725","1","0.05825","606","0.0606","P54","EC0001143"
"Prostaglandin formation from arachidonate","27","27","2","2.3796","0.65848","0.8983","0.069196","1086","0.1086","P55","EC000338;EC00040"
"Omega-3 fatty acid metabolism","13","13","1","1.1457","0.66893","1","0.071742","1128","0.1128","P56","EC0001143"
"Aminosugars metabolism","30","30","2","2.644","0.71534","0.92137","0.084648","2580","0.258","P57","EC00019;EC00046"
"Vitamin B5 - CoA biosynthesis from pantothenate","15","15","1","1.322","0.72101","1","0.08643","4004","0.4004","P58","EC000397"
"Vitamin E metabolism","15","15","1","1.322","0.72101","1","0.08643","6166","0.6166","P59","EC000326"
"Fatty Acid Metabolism","18","18","1","1.5864","0.78429","1","0.11034","1702","0.1702","P60","EC000732"
"Fructose and mannose metabolism","18","18","1","1.5864","0.78429","1","0.11034","7575","0.7575","P61","EC00025"
"Alanine and Aspartate Metabolism","21","21","1","1.8508","0.83333","1","0.136","9377","0.9377","P62","EC00019"
