"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Vitamin B12 (cyanocobalamin) metabolism","2","2","1","0.050575","0.046432","1","0.0010897","2","2e-04","P1","EC000238"
"Purine metabolism","54","54","3","1.3655","0.12834","0.3439","0.0015274","834","0.0834","P2","EC000178;EC000324;EC000103"
"Fatty acid activation","29","29","2","0.73333","0.14594","0.487","0.0016435","435","0.0435","P3","EC000545;EC000386"
"Tyrosine metabolism","93","93","4","2.3517","0.16649","0.34706","0.0017908","2977","0.2977","P4","EC000838;EC000354;EC000406;EC00066"
"Ubiquinone Biosynthesis","8","8","1","0.2023","0.1737","1","0.0018458","307","0.0307","P5","EC00066"
"Hexose phosphorylation","11","11","1","0.27816","0.23108","1","0.0023518","396","0.0396","P6","EC00066"
"Glycerophospholipid metabolism","45","45","2","1.1379","0.28551","0.64832","0.0029688","1589","0.1589","P7","EC000289;EC000209"
"Lysine metabolism","16","16","1","0.4046","0.31837","1","0.0034228","3908","0.3908","P8","EC000289"
"C21-steroid hormone biosynthesis and metabolism","49","49","2","1.2391","0.32125","0.68034","0.003466","2613","0.2613","P9","EC000907;EC000338"
"Glycolysis and Gluconeogenesis","18","18","1","0.45517","0.35056","1","0.0039403","2198","0.2198","P10","EC00084"
"Tryptophan metabolism","54","54","2","1.3655","0.36546","0.71647","0.0042077","4074","0.4074","P11","EC000701;EC000883"
"De novo fatty acid biosynthesis","19","19","1","0.48046","0.36611","1","0.0042196","2099","0.2099","P12","EC000386"
"Vitamin E metabolism","21","21","1","0.53103","0.39614","1","0.0048216","1023","0.1023","P13","EC000869"
"Carnitine shuttle","25","25","1","0.63218","0.45218","1","0.0062084","1552","0.1552","P14","EC000685"
"Urea cycle/amino group metabolism","33","33","1","0.83448","0.54974","1","0.0097851","5873","0.5873","P15","EC000178"
"Xenobiotics metabolism","37","37","1","0.93563","0.59206","1","0.012009","7876","0.7876","P16","EC000519"
