"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Sphingolipid metabolism","2","2","2","0.10415","0.0022674","0.092123","0.0046531","0","0","P1","EC000537;EC000283"
"Glycosphingolipid metabolism","23","23","4","1.1977","0.021335","0.090032","0.0049416","159","0.0159","P2","EC000291;EC000537;EC000283;EC00030"
"Vitamin B6 (pyridoxine) metabolism","15","15","3","0.7811","0.03165","0.15494","0.0051054","1195","0.1195","P3","EC000140;EC000142;EC000364"
"Keratan sulfate degradation","7","7","2","0.36451","0.040743","0.28754","0.0052547","902","0.0902","P4","EC00030;EC000408"
"Linoleate metabolism","47","47","5","2.4474","0.069812","0.1764","0.0057636","3833","0.3833","P5","EC000995;EC0001098;EC000831;EC0001022;EC000870"
"3-Chloroacrylic acid degradation","2","2","1","0.10415","0.093818","1","0.0062235","0","0","P6","EC000811"
"Vitamin D3 (cholecalciferol) metabolism","12","12","2","0.62488","0.10987","0.44152","0.0065528","338","0.0338","P7","EC000454;EC000297"
"Prostaglandin formation from arachidonate","26","26","3","1.3539","0.12498","0.34943","0.0068795","46","0.0046","P8","EC000232;EC000316;EC000849"
"Fructose and mannose metabolism","13","13","2","0.67695","0.12598","0.46814","0.0069018","1266","0.1266","P9","EC000408;EC000352"
"Arachidonic acid metabolism","27","27","3","1.406","0.13602","0.36695","0.0071294","309","0.0309","P10","EC000875;EC000232;EC000316"
"Parathio degradation","3","3","1","0.15622","0.13743","1","0.0071621","39","0.0039","P11","EC000371"
"Methionine and cysteine metabolism","28","28","3","1.4581","0.14739","0.38429","0.0073968","647","0.0647","P12","EC00038;EC00030;EC000302"
"Squalene and cholesterol biosynthesis","17","17","2","0.88525","0.19484","0.56271","0.0086353","159","0.0159","P13","EC000297;EC000659"
"Glycine, serine, alanine and threonine metabolism","49","49","4","2.5516","0.20506","0.41028","0.0089303","969","0.0969","P14","EC000985;EC000986;EC00038;EC000236"
"Chondroitin sulfate degradation","5","5","1","0.26037","0.21857","1","0.0093369","599","0.0599","P15","EC00030"
"Glycosphingolipid biosynthesis - ganglioseries","6","6","1","0.31244","0.25628","1","0.010582","230","0.023","P16","EC000537"
"Polyunsaturated fatty acid biosynthesis","6","6","1","0.31244","0.25628","1","0.010582","463","0.0463","P17","EC000902"
"N-Glycan Degradation","6","6","1","0.31244","0.25628","1","0.010582","3863","0.3863","P18","EC000408"
"Prostaglandin formation from dihomo gama-linoleic acid","6","6","1","0.31244","0.25628","1","0.010582","75","0.0075","P19","EC000316"
