"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Porphyrin metabolism","14","14","4","0.77365","0.0042978","0.029927","0.01082","6","6e-04","P1","EC00039;EC00081;EC000549;EC000145"
"Vitamin B9 (folate) metabolism","8","8","3","0.44208","0.0060401","0.057804","0.010871","2","2e-04","P2","EC000450;EC000143;EC000250"
"TCA cycle","18","18","4","0.99469","0.01126","0.058181","0.011025","535","0.0535","P3","EC00039;EC00033;EC00036;EC000145"
"Purine metabolism","47","47","5","2.5972","0.088712","0.20976","0.013611","428","0.0428","P4","EC000216;EC00033;EC000343;EC000450;EC00036"
"Propanoate metabolism","10","10","2","0.5526","0.090103","0.40643","0.013663","79","0.0079","P5","EC00039;EC000441"
"Butanoate metabolism","10","10","2","0.5526","0.090103","0.40643","0.013663","41","0.0041","P6","EC000578;EC00039"
"Chondroitin sulfate degradation","2","2","1","0.11052","0.10056","1","0.014062","1136","0.1136","P7","EC00081"
"Heparan sulfate degradation","3","3","1","0.16578","0.14705","1","0.015991","620","0.062","P8","EC00081"
"Sphingolipid metabolism","3","3","1","0.16578","0.14705","1","0.015991","565","0.0565","P9","EC000180"
"Selenoamino acid metabolism","14","14","2","0.77365","0.16001","0.51893","0.016578","1849","0.1849","P10","EC000543;EC000282"
"Tyrosine metabolism","89","89","7","4.9182","0.16662","0.29066","0.016887","2018","0.2018","P11","EC000914;EC000234;EC000824;EC000145;EC000907;EC000748;EC000541"
"Hyaluronan Metabolism","4","4","1","0.22104","0.19119","1","0.018091","417","0.0417","P12","EC00081"
"Nucleotide Sugar Metabolism","4","4","1","0.22104","0.19119","1","0.018091","673","0.0673","P13","EC000213"
"Drug metabolism - cytochrome P450","17","17","2","0.93943","0.21724","0.58931","0.019471","1521","0.1521","P14","EC000710;EC000612"
"Ascorbate (Vitamin C) and Aldarate Metabolism","17","17","2","0.93943","0.21724","0.58931","0.019471","3797","0.3797","P15","EC00081;EC000145"
"Prostaglandin formation from arachidonate","48","48","4","2.6525","0.23118","0.44307","0.020256","1318","0.1318","P16","EC000145;EC000921;EC000864;EC000197"
"Vitamin B1 (thiamin) metabolism","5","5","1","0.2763","0.23308","1","0.020366","190","0.019","P17","EC00039"
"Vitamin B6 (pyridoxine) metabolism","5","5","1","0.2763","0.23308","1","0.020366","204","0.0204","P18","EC000241"
"Aminosugars metabolism","19","19","2","1.0499","0.25639","0.63051","0.021768","1527","0.1527","P19","EC00033;EC00036"
"Omega-6 fatty acid metabolism","6","6","1","0.33156","0.27284","1","0.02282","460","0.046","P20","EC000856"
