"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Tryptophan metabolism","113","113","32","19.326","0.00025518","0.00054883","0.022506","1099","0.1099","P1","EC00019;EC00016;EC000657;EC000204;EC000367;EC000567;EC000589;EC000819;EC000820;EC000240;EC000343;EC00050;EC000433;EC000678;EC0001209;EC000804;EC00071;EC0001078;EC000884;EC0001099;EC0001100;EC000528;EC0001228;EC0001229;EC000200;EC000694;EC000211;EC00022;EC000671;EC000797;EC000421;EC000335"
"Tyrosine metabolism","151","151","33","25.825","0.02154","0.033564","0.023568","9859","0.9859","P2","EC00016;EC0001078;EC000373;EC00019;EC000381;EC000339;EC000661;EC000571;EC000678;EC000192;EC000923;EC00052;EC00042;EC000663;EC00057;EC0001174;EC000279;EC00035;EC000772;EC000223;EC000927;EC000929;EC000322;EC000886;EC00088;EC00089;EC000508;EC000783;EC000789;EC000326;EC000795;EC0001103;EC0001029"
"Histidine metabolism","38","38","10","6.4991","0.062199","0.12607","0.025753","172","0.0172","P3","EC00019;EC00016;EC000652;EC000654;EC000369;EC000370;EC000828;EC00092;EC000724;EC000239"
"Glutamate metabolism","19","19","6","3.2496","0.064067","0.1636","0.025858","0","0","P4","EC00019;EC00088;EC00089;EC000212;EC000214;EC00035"
"Urea cycle/amino group metabolism","92","92","20","15.735","0.071714","0.11349","0.026296","9006","0.9006","P5","EC00019;EC000106;EC000508;EC00016;EC000377;EC00032;EC000260;EC000279;EC00043;EC00045;EC000212;EC000214;EC0001130;EC000255;EC000483;EC000373;EC000192;EC000243;EC000244;EC000246"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","34","34","9","5.815","0.072714","0.14898","0.026354","449","0.0449","P6","EC00019;EC00016;EC00032;EC00035;EC000657;EC0002;EC000625;EC000471;EC000116"
"Valine, leucine and isoleucine degradation","30","30","8","5.1309","0.085165","0.17676","0.027086","0","0","P7","EC00019;EC000102;EC00085;EC000435;EC0001160;EC000167;EC000212;EC000214"
"Ascorbate (Vitamin C) and Aldarate Metabolism","16","16","5","2.7365","0.092147","0.23274","0.027506","3","3e-04","P8","EC00088;EC00089;EC000326;EC000553;EC00042"
"Arginine and Proline Metabolism","53","53","12","9.0646","0.11455","0.19446","0.028904","6155","0.6155","P9","EC00019;EC000106;EC00032;EC00043;EC00045;EC000541;EC000255;EC000591;EC00035;EC000243;EC000244;EC000246"
"Aspartate and asparagine metabolism","109","109","22","18.642","0.11778","0.17126","0.029113","1294","0.1294","P10","EC00019;EC000106;EC000260;EC000255;EC000442;EC000480;EC000541;EC000212;EC000214;EC000243;EC000244;EC000246;EC00032;EC00035;EC000619;EC000435;EC000641;EC00088;EC00089;EC0001197;EC000591;EC00027"
"Lysine metabolism","44","44","10","7.5253","0.13991","0.24085","0.030584","8841","0.8841","P11","EC00019;EC00016;EC000200;EC00027;EC000243;EC000244;EC000246;EC000167;EC000667;EC000668"
"Drug metabolism - cytochrome P450","34","34","8","5.815","0.15223","0.2752","0.03144","4156","0.4156","P12","EC0001026;EC000914;EC0001035;EC000797;EC0001032;EC0001039;EC0001029;EC000731"
"Vitamin B12 (cyanocobalamin) metabolism","1","1","1","0.17103","0.15743","1","0.031809","0","0","P13","EC00016"
"Biopterin metabolism","14","14","4","2.3944","0.16578","0.37941","0.032412","6413","0.6413","P14","EC000385;EC000625;EC00052;EC00057"
"Glutathione Metabolism","19","19","5","3.2496","0.16621","0.346","0.032443","15","0.0015","P15","EC000541;EC00019;EC00088;EC00089;EC000520"
"Glycine, serine, alanine and threonine metabolism","69","69","14","11.801","0.18281","0.27432","0.033682","508","0.0508","P16","EC00019;EC00016;EC000212;EC000214;EC00032;EC0001090;EC00043;EC00045;EC000255;EC000167;EC000859;EC000862;EC000126;EC0001058"
"Xenobiotics metabolism","47","47","10","8.0384","0.19206","0.30877","0.034395","1272","0.1272","P17","EC000841;EC000984;EC000985;EC000168;EC000335;EC000982;EC000990;EC000991;EC000995;EC000968"
"Butanoate metabolism","42","42","9","7.1832","0.20321","0.33124","0.035278","531","0.0531","P18","EC00019;EC000768;EC000873;EC000620;EC000435;EC000212;EC000214;EC000596;EC000407"
"Methionine and cysteine metabolism","49","49","10","8.3805","0.231","0.35631","0.037593","29","0.0029","P19","EC00019;EC00016;EC000235;EC000466;EC000288;EC00043;EC00045;EC00088;EC00089;EC000762"
"Pentose phosphate pathway","27","27","6","4.6178","0.24193","0.41946","0.03855","395","0.0395","P20","EC000182;EC000535;EC000537;EC000219;EC000181;EC00022"
"Dynorphin metabolism","2","2","1","0.34206","0.29018","1","0.043125","0","0","P21","EC0001127"
"CoA Catabolism","8","8","2","1.3682","0.36644","0.74512","0.051701","2078","0.2078","P22","EC000395;EC000396"
"Beta-Alanine metabolism","20","20","4","3.4206","0.38844","0.62839","0.054537","0","0","P23","EC00019;EC000212;EC000214;EC00092"
"Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation","3","3","1","0.51309","0.40211","1","0.056391","0","0","P24","EC0001144"
"1- and 2-Methylnaphthalene degradation","3","3","1","0.51309","0.40211","1","0.056391","1475","0.1475","P25","EC000970"
"Saturated fatty acids beta-oxidation","9","9","2","1.5393","0.42644","0.7853","0.059881","0","0","P26","EC000735;EC000168"
"Vitamin B5 - CoA biosynthesis from pantothenate","15","15","3","2.5654","0.42846","0.70766","0.060183","1594","0.1594","P27","EC000644;EC000395;EC000396"
"Glycerophospholipid metabolism","60","60","10","10.262","0.47701","0.61475","0.068004","917","0.0917","P28","EC00016;EC000739;EC000625;EC000476;EC000537;EC000347;EC000322;EC00022;EC000317;EC0001003"
"Vitamin B9 (folate) metabolism","10","10","2","1.7103","0.48335","0.81917","0.069113","3799","0.3799","P29","EC00019;EC000249"
"Nitrogen metabolism","10","10","2","1.7103","0.48335","0.81917","0.069113","9198","0.9198","P30","EC00019;EC00035"
"Porphyrin metabolism","17","17","3","2.9075","0.51581","0.77233","0.075161","2978","0.2978","P31","EC000255;EC00042;EC000413"
"Alkaloid biosynthesis II","11","11","2","1.8813","0.53664","0.84772","0.079387","1544","0.1544","P32","EC000520;EC000956"
"Pyrimidine metabolism","63","63","10","10.775","0.54453","0.6762","0.081064","1417","0.1417","P33","EC000535;EC000537;EC00035;EC00019;EC000410;EC000249;EC000212;EC000214;EC000402;EC000235"
"C5-Branched dibasic acid metabolism","5","5","1","0.85515","0.57599","1","0.088217","0","0","P34","EC000285"
"Vitamin H (biotin) metabolism","5","5","1","0.85515","0.57599","1","0.088217","1824","0.1824","P35","EC00027"
"D4&E4-neuroprostanes formation","5","5","1","0.85515","0.57599","1","0.088217","801","0.0801","P36","EC00042"
"Arachidonic acid metabolism","19","19","3","3.2496","0.59557","0.82421","0.093078","1197","0.1197","P37","EC00019;EC00088;EC00089"
"Ubiquinone Biosynthesis","13","13","2","2.2234","0.63147","0.89206","0.10293","8430","0.843","P38","EC00016;EC000120"
"Glycosphingolipid metabolism","27","27","4","4.6178","0.63595","0.82076","0.10425","971","0.0971","P39","EC000322;EC00022;EC000168;EC000950"
"Glycosphingolipid biosynthesis - globoseries","6","6","1","1.0262","0.64301","1","0.10638","5146","0.5146","P40","EC00022"
"Lipoate metabolism","6","6","1","1.0262","0.64301","1","0.10638","5278","0.5278","P41","EC00027"
"Androgen and estrogen biosynthesis and metabolism","28","28","4","4.7888","0.66569","0.83988","0.11364","6110","0.611","P42","EC00016;EC000727;EC000546;EC000759"
"Alanine and Aspartate Metabolism","21","21","3","3.5916","0.66634","0.86526","0.11385","8975","0.8975","P43","EC00019;EC00032;EC00035"
"Vitamin B6 (pyridoxine) metabolism","14","14","2","2.3944","0.67293","0.90915","0.11609","9719","0.9719","P44","EC000301;EC000192"
