Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
299.2016433,13-cis-retn,M[1+],238.7782183,0.000532299999974839,EC0001
303.2332381,17ahprgstrn,M-CO+H[1+],269.8584535,0.00147963322996247,EC0002
349.2368765,17ahprgstrn,M+H2O+H[1+],293.516528,0.000481966770053077,EC0003
121.0521247,1mncam,M-NH3+H[1+],287.1688215,0.000138766769993026,EC0004
578.7299953,3ohxccoa,M+2H[2+],59.84394496,0.00195067787001335,EC0005
121.0157293,56dihindlcrbxlt,M-C3H4O2+H[1+],285.2065753,0.000129852969990907,EC0006
147.0309667,56dihindlcrbxlt,M-HCOOH+H[1+],281.3506047,0.000592452970010982,EC0006
149.0466012,56dihindlcrbxlt,M-CO2+H[1+],282.748642,0.000557952970012821,EC0006
176.0096856,56dihindlcrbxlt,M-NH3+H[1+],21.33409496,0.000773552970002811,EC0007
395.2447029,5adtststeroneglc,M-C3H4O2+H[1+],211.0302074,0.00187343323000277,EC0008
439.2708246,5adtststeroneglc,M-CO+H[1+],215.2891441,0.00189513323005031,EC0008
449.2548296,5adtststeroneglc,M-H2O+H[1+],46.65578833,0.0015001332300244,EC0009
369.1744378,5adtststerones,M[1+],26.92162917,0.000868068600027527,EC00010
331.264778,adrn,M[1+],287.7922767,0.00107263230000854,EC00011
395.2447029,ahandrostanglc,M-C3H4O2+H[1+],211.0302074,0.00187343323000277,EC0008
439.2708246,ahandrostanglc,M-CO+H[1+],215.2891441,0.00189513323005031,EC0008
449.2548296,ahandrostanglc,M-H2O+H[1+],46.65578833,0.0015001332300244,EC0009
237.1099962,alpam,M[1+],209.2889189,0.000466513399999258,EC00012
395.2447029,andrstrnglc,M-C3H4O2+H[1+],211.0302074,0.00187343323000277,EC0008
439.2708246,andrstrnglc,M-CO+H[1+],215.2891441,0.00189513323005031,EC0008
449.2548296,andrstrnglc,M-H2O+H[1+],46.65578833,0.0015001332300244,EC0009
229.2081196,arachcrn,M(C13)+2H[2+],254.1388749,0.000412633229984749,EC00013
303.2332381,arachd,M[1+],269.8584535,0.000832860700029414,EC00014
431.3167235,arachdcrn,M-NH3+H[1+],217.0565391,0.00108809513000097,EC00015
213.9985706,C00015,M+H+Na[2+],25.17530001,0.000805866770008379,EC00016
406.0112013,C00015,M(C13)+H[1+],27.46742922,0.00167516677004187,EC00016
117.0296125,C00020,M(C13)+3H[3+],285.792039,0.000236033229995769,EC00017
199.0820954,C00031,M+H2O+H[1+],280.3959377,0.000818933229965069,EC00018
265.0309344,C00031,M+HCOOK[1+],26.12342639,0.00104206677002594,EC00019
223.0200584,C00035,M(C13)+2H[2+],47.68291222,0.00106806676998872,EC00020
525.0017115,C00044,M(C13)+H[1+],46.1749075,0.000335033230044246,EC00021
264.1007233,C00051,M-CO2+H[1+],283.7129216,0.000553166769975633,EC00022
