"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Bile acid biosynthesis","23","23","7","3.9391","0.058333","0.14051","0.070425","0","0","P1","EC000401;EC000465;EC000442;EC000213;EC000681;EC000683;EC000357"
"Vitamin D3 (cholecalciferol) metabolism","10","10","4","1.7126","0.059173","0.20001","0.070526","53","0.0053","P2","EC000802;EC000683;EC000738;EC000681"
"Pentose phosphate pathway","12","12","4","2.0552","0.10806","0.2913","0.076697","268","0.0268","P3","EC000593;EC000594;EC00099;EC00018"
"Aspartate and asparagine metabolism","37","37","9","6.3368","0.11778","0.21694","0.077996","3052","0.3052","P4","EC00058;EC00060;EC000715;EC000522;EC000140;EC000309;EC000206;EC000713;EC000714"
"Pyruvate Metabolism","8","8","3","1.3701","0.11999","0.36813","0.078295","0","0","P5","EC000180;EC000181;EC00076"
"Fatty acid oxidation, peroxisome","1","1","1","0.17126","0.15902","1","0.0838","0","0","P6","EC000333"
"Starch and Sucrose Metabolism","9","9","3","1.5414","0.15979","0.42834","0.083913","458","0.0458","P7","EC00039;EC000319;EC00018"
"Glutathione Metabolism","5","5","2","0.85632","0.18126","0.57751","0.087138","1059","0.1059","P8","EC000309;EC000206"
"Glutamate metabolism","5","5","2","0.85632","0.18126","0.57751","0.087138","2335","0.2335","P9","EC000399;EC000206"
"Carnitine shuttle","25","25","6","4.2816","0.19368","0.35916","0.08907","87","0.0087","P10","EC00015;EC000684;EC000686;EC000926;EC000911;EC000910"
"Drug metabolism - other enzymes","25","25","6","4.2816","0.19368","0.35916","0.08907","914","0.0914","P11","EC000671;EC000668;EC000660;EC000662;EC000663;EC000572"
"Histidine metabolism","15","15","4","2.569","0.20463","0.43085","0.090814","443","0.0443","P12","EC000906;EC000331;EC000453;EC000728"
"Tryptophan metabolism","54","54","11","9.2483","0.22622","0.34232","0.094371","5855","0.5855","P13","EC000498;EC000501;EC000503;EC00076;EC00097;EC000775;EC000113;EC00018;EC000495;EC000496;EC00091"
"Limonene and pinene degradation","6","6","2","1.0276","0.24461","0.6446","0.097533","3273","0.3273","P14","EC000937;EC000363"
"Phytanic acid peroxisomal oxidation","6","6","2","1.0276","0.24461","0.6446","0.097533","40","0.004","P15","EC000688;EC000873"
