"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Arginine and Proline Metabolism","44","44","9","6.0251","0.091864","0.17602","0.015287","289","0.0289","P1","EC00091;EC00031;EC000176;EC000583;EC000584;EC000234;EC000236;EC000541;EC000222"
"Fatty Acid Metabolism","26","26","6","3.5603","0.098606","0.21897","0.01556","136","0.0136","P2","EC000463;EC000534;EC000805;EC000460;EC000115;EC0001123"
"C21-steroid hormone biosynthesis and metabolism","58","58","11","7.9421","0.10277","0.17996","0.015732","87","0.0087","P3","EC000586;EC000689;EC000278;EC000630;EC000270;EC000962;EC000681;EC000693;EC000684;EC000115;EC000487"
"Di-unsaturated fatty acid beta-oxidation","5","5","2","0.68467","0.1226","0.48905","0.016577","54","0.0054","P4","EC0001007;EC000460"
"Drug metabolism - other enzymes","16","16","4","2.1909","0.13256","0.32473","0.017021","609","0.0609","P5","EC000943;EC000942;EC000814;EC000818"
"Glycosphingolipid metabolism","23","23","5","3.1495","0.15443","0.32435","0.01804","1327","0.1327","P6","EC000171;EC000537;EC000855;EC000856;EC000546"
"Squalene and cholesterol biosynthesis","17","17","4","2.3279","0.15719","0.36126","0.018173","64","0.0064","P7","EC000297;EC000115;EC000900;EC000899"
"Carnitine shuttle","30","30","6","4.108","0.16764","0.32052","0.018688","431","0.0431","P8","EC0001126;EC0001138;EC0001134;EC0001152;EC0001146;EC0001129"
"Androgen and estrogen biosynthesis and metabolism","30","30","6","4.108","0.16764","0.32052","0.018688","1316","0.1316","P9","EC000278;EC000270;EC000487;EC000693;EC0001003;EC000630"
"Leukotriene metabolism","24","24","5","3.2864","0.17635","0.35469","0.019129","447","0.0447","P10","EC0001102;EC0001047;EC000397;EC000990;EC000231"
"Limonene and pinene degradation","12","12","3","1.6432","0.1853","0.45596","0.019594","7135","0.7135","P11","EC000267;EC000269;EC000399"
"Histidine metabolism","32","32","6","4.3819","0.2082","0.3735","0.020843","5825","0.5825","P12","EC000592;EC000345;EC000756;EC00076;EC000666;EC000213"
"Prostaglandin formation from arachidonate","26","26","5","3.5603","0.22336","0.41524","0.021718","65","0.0065","P13","EC000231;EC000397;EC0001047;EC000773;EC000848"
"Linoleate metabolism","47","47","8","6.4359","0.23354","0.37471","0.022328","7448","0.7448","P14","EC000992;EC000981;EC0001015;EC000641;EC0001019;EC0001021;EC000654;EC000460"
"Dynorphin metabolism","2","2","1","0.27387","0.23681","1","0.022528","348","0.0348","P15","EC0001031"
"Sphingolipid metabolism","2","2","1","0.27387","0.23681","1","0.022528","454","0.0454","P16","EC000537"
"Aspartate and asparagine metabolism","83","83","13","11.365","0.23866","0.34241","0.022642","4643","0.4643","P17","EC00091;EC000238;EC000234;EC000236;EC000758;EC000411;EC000594;EC000182;EC000222;EC00031;EC000176;EC000541;EC00025"
"Alanine and Aspartate Metabolism","20","20","4","2.7387","0.23943","0.46809","0.02269","5466","0.5466","P18","EC00031;EC000387;EC000415;EC000176"
"Bile acid biosynthesis","28","28","5","3.8341","0.27367","0.47453","0.024926","1228","0.1228","P19","EC000586;EC000681;EC000486;EC000684;EC000115"
"Fatty acid activation","36","36","6","4.9296","0.29785","0.47873","0.026654","211","0.0211","P20","EC000463;EC0001119;EC000331;EC000805;EC000801;EC000460"
"De novo fatty acid biosynthesis","30","30","5","4.108","0.3261","0.53148","0.028845","902","0.0902","P21","EC000331;EC000463;EC000805;EC000534;EC000460"
"Parathio degradation","3","3","1","0.4108","0.3334","1","0.029443","163","0.0163","P22","EC000371"
"Urea cycle/amino group metabolism","76","76","11","10.407","0.36106","0.48916","0.031843","7257","0.7257","P23","EC00091;EC000349;EC00031;EC000176;EC000583;EC000238;EC000182;EC000234;EC000236;EC000438;EC000222"
"Valine, leucine and isoleucine degradation","25","25","4","3.4233","0.39042","0.62552","0.034637","480","0.048","P24","EC00082;EC00072;EC0001054;EC000182"
"Porphyrin metabolism","18","18","3","2.4648","0.40213","0.68145","0.035828","1484","0.1484","P25","EC000234;EC000236;EC000752"
"Electron transport chain","4","4","1","0.54773","0.41784","1","0.037501","3345","0.3345","P26","EC000214"
"Vitamin H (biotin) metabolism","4","4","1","0.54773","0.41784","1","0.037501","2127","0.2127","P27","EC00025"
