exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
dde_impute,c18,Arachidonic acid metabolism,24,24,10,3.2901,3.3981e-4,0.0016012,0.029297,46
dde_impute,c18,Fatty acid activation,38,38,12,5.2094,0.0016603,0.0052535,0.02938,6
dde_impute,c18,Vitamin A (retinol) metabolism,14,14,6,1.9192,0.0049178,0.023632,0.029586,37
dde_impute,c18,Putative anti-Inflammatory metabolites formation from EPA,11,11,5,1.508,0.0077471,0.04011,0.029766,22
dde_impute,c18,Leukotriene metabolism,35,35,10,4.7981,0.0090789,0.025244,0.029852,78
dde_impute,c18,Phosphatidylinositol phosphate metabolism,12,12,5,1.6451,0.011934,0.054392,0.030035,19
dde_impute,c18,Prostaglandin formation from arachidonate,48,48,11,6.5802,0.033613,0.071459,0.03147,77
dde_impute,c18,De novo fatty acid biosynthesis,20,20,5,2.7418,0.10068,0.24224,0.036411,1062
dde_impute,c18,Keratan sulfate degradation,5,5,2,0.68544,0.12533,0.49361,0.038438,5286
dde_impute,c18,Glycosphingolipid biosynthesis - lactoseries,1,1,1,0.13709,0.12798,1,0.038663,0
dde_impute,c18,Blood Group Biosynthesis,1,1,1,0.13709,0.12798,1,0.038663,0
dde_impute,c18,Glycosphingolipid biosynthesis - neolactoseries,1,1,1,0.13709,0.12798,1,0.038663,0
dde_impute,c18,3-Chloroacrylic acid degradation,1,1,1,0.13709,0.12798,1,0.038663,0
dde_impute,c18,O-Glycan biosynthesis,1,1,1,0.13709,0.12798,1,0.038663,0
dde_impute,c18,Benzoate degradation via CoA ligation,1,1,1,0.13709,0.12798,1,0.038663,0
dde_impute,c18,Linoleate metabolism,34,34,7,4.661,0.13247,0.25551,0.039048,849
dde_impute,c18,C21-steroid hormone biosynthesis and metabolism,48,48,9,6.5802,0.14836,0.25638,0.040446,499
dde_impute,c18,Drug metabolism - cytochrome P450,17,17,4,2.3305,0.16253,0.36889,0.041739,1212
