exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
hexachlorobenzene_impute,c18,Porphyrin metabolism,14,14,4,0.77365,0.0042978,0.029927,0.01082,6
hexachlorobenzene_impute,c18,Vitamin B9 (folate) metabolism,8,8,3,0.44208,0.0060401,0.057804,0.010871,2
hexachlorobenzene_impute,c18,TCA cycle,18,18,4,0.99469,0.01126,0.058181,0.011025,535
hexachlorobenzene_impute,c18,Purine metabolism,47,47,5,2.5972,0.088712,0.20976,0.013611,428
hexachlorobenzene_impute,c18,Propanoate metabolism,10,10,2,0.5526,0.090103,0.40643,0.013663,79
hexachlorobenzene_impute,c18,Butanoate metabolism,10,10,2,0.5526,0.090103,0.40643,0.013663,41
hexachlorobenzene_impute,c18,Chondroitin sulfate degradation,2,2,1,0.11052,0.10056,1,0.014062,1136
hexachlorobenzene_impute,c18,Heparan sulfate degradation,3,3,1,0.16578,0.14705,1,0.015991,620
hexachlorobenzene_impute,c18,Sphingolipid metabolism,3,3,1,0.16578,0.14705,1,0.015991,565
hexachlorobenzene_impute,c18,Selenoamino acid metabolism,14,14,2,0.77365,0.16001,0.51893,0.016578,1849
hexachlorobenzene_impute,c18,Tyrosine metabolism,89,89,7,4.9182,0.16662,0.29066,0.016887,2018
hexachlorobenzene_impute,c18,Hyaluronan Metabolism,4,4,1,0.22104,0.19119,1,0.018091,417
hexachlorobenzene_impute,c18,Nucleotide Sugar Metabolism,4,4,1,0.22104,0.19119,1,0.018091,673
hexachlorobenzene_impute,c18,Drug metabolism - cytochrome P450,17,17,2,0.93943,0.21724,0.58931,0.019471,1521
hexachlorobenzene_impute,c18,Ascorbate (Vitamin C) and Aldarate Metabolism,17,17,2,0.93943,0.21724,0.58931,0.019471,3797
hexachlorobenzene_impute,c18,Prostaglandin formation from arachidonate,48,48,4,2.6525,0.23118,0.44307,0.020256,1318
hexachlorobenzene_impute,c18,Vitamin B1 (thiamin) metabolism,5,5,1,0.2763,0.23308,1,0.020366,190
hexachlorobenzene_impute,c18,Vitamin B6 (pyridoxine) metabolism,5,5,1,0.2763,0.23308,1,0.020366,204
hexachlorobenzene_impute,c18,Aminosugars metabolism,19,19,2,1.0499,0.25639,0.63051,0.021768,1527
hexachlorobenzene_impute,c18,Omega-6 fatty acid metabolism,6,6,1,0.33156,0.27284,1,0.02282,460
hexachlorobenzene_impute,c18,Dynorphin metabolism,7,7,1,0.38682,0.31057,1,0.025456,24
hexachlorobenzene_impute,c18,Beta-Alanine metabolism,7,7,1,0.38682,0.31057,1,0.025456,98
