exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
hexachlorobenzene_impute,hilic,Tryptophan metabolism,113,113,32,19.326,2.5518e-4,5.4883e-4,0.022506,1099
hexachlorobenzene_impute,hilic,Tyrosine metabolism,151,151,33,25.825,0.02154,0.033564,0.023568,9859
hexachlorobenzene_impute,hilic,Histidine metabolism,38,38,10,6.4991,0.062199,0.12607,0.025753,172
hexachlorobenzene_impute,hilic,Glutamate metabolism,19,19,6,3.2496,0.064067,0.1636,0.025858,0
hexachlorobenzene_impute,hilic,Urea cycle/amino group metabolism,92,92,20,15.735,0.071714,0.11349,0.026296,9006
hexachlorobenzene_impute,hilic,Vitamin B3 (nicotinate and nicotinamide) metabolism,34,34,9,5.815,0.072714,0.14898,0.026354,449
hexachlorobenzene_impute,hilic,"Valine, leucine and isoleucine degradation",30,30,8,5.1309,0.085165,0.17676,0.027086,0
hexachlorobenzene_impute,hilic,Ascorbate (Vitamin C) and Aldarate Metabolism,16,16,5,2.7365,0.092147,0.23274,0.027506,3
hexachlorobenzene_impute,hilic,Arginine and Proline Metabolism,53,53,12,9.0646,0.11455,0.19446,0.028904,6155
hexachlorobenzene_impute,hilic,Aspartate and asparagine metabolism,109,109,22,18.642,0.11778,0.17126,0.029113,1294
hexachlorobenzene_impute,hilic,Lysine metabolism,44,44,10,7.5253,0.13991,0.24085,0.030584,8841
hexachlorobenzene_impute,hilic,Drug metabolism - cytochrome P450,34,34,8,5.815,0.15223,0.2752,0.03144,4156
hexachlorobenzene_impute,hilic,Vitamin B12 (cyanocobalamin) metabolism,1,1,1,0.17103,0.15743,1,0.031809,0
hexachlorobenzene_impute,hilic,Biopterin metabolism,14,14,4,2.3944,0.16578,0.37941,0.032412,6413
hexachlorobenzene_impute,hilic,Glutathione Metabolism,19,19,5,3.2496,0.16621,0.346,0.032443,15
hexachlorobenzene_impute,hilic,"Glycine, serine, alanine and threonine metabolism",69,69,14,11.801,0.18281,0.27432,0.033682,508
hexachlorobenzene_impute,hilic,Xenobiotics metabolism,47,47,10,8.0384,0.19206,0.30877,0.034395,1272
hexachlorobenzene_impute,hilic,Butanoate metabolism,42,42,9,7.1832,0.20321,0.33124,0.035278,531
hexachlorobenzene_impute,hilic,Methionine and cysteine metabolism,49,49,10,8.3805,0.231,0.35631,0.037593,29
hexachlorobenzene_impute,hilic,Pentose phosphate pathway,27,27,6,4.6178,0.24193,0.41946,0.03855,395
