exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
ocs,c18,Arachidonic acid metabolism,24,24,9,3.2901,0.0016958,0.0068045,0.02478,130
ocs,c18,Vitamin A (retinol) metabolism,14,14,6,1.9192,0.0049178,0.023632,0.024959,40
ocs,c18,Putative anti-Inflammatory metabolites formation from EPA,11,11,5,1.508,0.0077471,0.04011,0.025118,32
ocs,c18,Prostaglandin formation from arachidonate,48,48,12,6.5802,0.013582,0.031905,0.025448,29
ocs,c18,Fatty acid activation,38,38,10,5.2094,0.016637,0.041771,0.025623,105
ocs,c18,Leukotriene metabolism,35,35,9,4.7981,0.026456,0.064758,0.026194,176
ocs,c18,Phosphatidylinositol phosphate metabolism,12,12,4,1.6451,0.055751,0.18724,0.027983,233
ocs,c18,Linoleate metabolism,34,34,8,4.661,0.057956,0.12843,0.028123,297
ocs,c18,De novo fatty acid biosynthesis,20,20,5,2.7418,0.10068,0.24224,0.030992,920
ocs,c18,Keratan sulfate degradation,5,5,2,0.68544,0.12533,0.49361,0.032794,4895
ocs,c18,Glycosphingolipid biosynthesis - lactoseries,1,1,1,0.13709,0.12798,1,0.032994,0
ocs,c18,Blood Group Biosynthesis,1,1,1,0.13709,0.12798,1,0.032994,0
ocs,c18,Glycosphingolipid biosynthesis - neolactoseries,1,1,1,0.13709,0.12798,1,0.032994,0
ocs,c18,3-Chloroacrylic acid degradation,1,1,1,0.13709,0.12798,1,0.032994,0
ocs,c18,O-Glycan biosynthesis,1,1,1,0.13709,0.12798,1,0.032994,0
ocs,c18,Benzoate degradation via CoA ligation,1,1,1,0.13709,0.12798,1,0.032994,0
ocs,c18,C21-steroid hormone biosynthesis and metabolism,48,48,9,6.5802,0.14836,0.25638,0.034582,467
ocs,c18,Galactose metabolism,19,19,4,2.6047,0.21755,0.44156,0.040644,874
ocs,c18,Prostaglandin formation from dihomo gama-linoleic acid,7,7,2,0.95962,0.22233,0.61467,0.041104,702
ocs,c18,Fructose and mannose metabolism,13,13,3,1.7821,0.22564,0.50649,0.041427,4954
ocs,c18,Keratan sulfate biosynthesis,2,2,1,0.27418,0.23969,1,0.042827,1239
ocs,c18,Hexose phosphorylation,14,14,3,1.9192,0.26205,0.54788,0.04517,1160
ocs,c18,Omega-3 fatty acid metabolism,8,8,2,1.0967,0.27289,0.66394,0.046357,1160
