exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pbde_153_ngml_detect,hilic,Linoleate metabolism,43,43,7,2.1763,0.002853,0.011503,0.0040818,1607
pbde_153_ngml_detect,hilic,Androgen and estrogen biosynthesis and metabolism,28,28,5,1.4171,0.0079414,0.035567,0.004147,26
pbde_153_ngml_detect,hilic,Fructose and mannose metabolism,18,18,3,0.91099,0.047581,0.1977,0.0046942,224
pbde_153_ngml_detect,hilic,Phosphatidylinositol phosphate metabolism,18,18,3,0.91099,0.047581,0.1977,0.0046942,6
pbde_153_ngml_detect,hilic,Lysine metabolism,44,44,5,2.2269,0.049605,0.1378,0.0047241,3788
pbde_153_ngml_detect,hilic,Vitamin A (retinol) metabolism,19,19,3,0.96161,0.054678,0.2148,0.0048,140
pbde_153_ngml_detect,hilic,Glutathione Metabolism,19,19,3,0.96161,0.054678,0.2148,0.0048,18
pbde_153_ngml_detect,hilic,C21-steroid hormone biosynthesis and metabolism,52,52,5,2.6318,0.08951,0.2111,0.0053575,234
pbde_153_ngml_detect,hilic,N-Glycan Degradation,11,11,2,0.55672,0.089558,0.40407,0.0053583,434
pbde_153_ngml_detect,hilic,Electron transport chain,2,2,1,0.10122,0.091038,1,0.0053835,370
pbde_153_ngml_detect,hilic,Vitamin B6 (pyridoxine) metabolism,14,14,2,0.70855,0.13565,0.48296,0.0062052,4069
pbde_153_ngml_detect,hilic,Pyrimidine metabolism,63,63,5,3.1885,0.16482,0.3252,0.0068144,310
pbde_153_ngml_detect,hilic,Vitamin B3 (nicotinate and nicotinamide) metabolism,34,34,3,1.7208,0.20815,0.46761,0.0078417,2328
pbde_153_ngml_detect,hilic,Glycosphingolipid biosynthesis - globoseries,6,6,1,0.30366,0.24936,1,0.0089758,566
pbde_153_ngml_detect,hilic,Alanine and Aspartate Metabolism,21,21,2,1.0628,0.25577,0.62929,0.0091677,3503
pbde_153_ngml_detect,hilic,Starch and Sucrose Metabolism,7,7,1,0.35428,0.2845,1,0.010084,679
pbde_153_ngml_detect,hilic,Galactose metabolism,23,23,2,1.164,0.29116,0.66303,0.010311,725
pbde_153_ngml_detect,hilic,Putative anti-Inflammatory metabolites formation from EPA,8,8,1,0.40489000000000003,0.31802,1,0.011283,185
pbde_153_ngml_detect,hilic,Saturated fatty acids beta-oxidation,9,9,1,0.4555,0.35,1,0.012574,11
pbde_153_ngml_detect,hilic,Glycolysis and Gluconeogenesis,27,27,2,1.3665,0.36118,0.7217,0.013064,2284
pbde_153_ngml_detect,hilic,Glycosphingolipid metabolism,27,27,2,1.3665,0.36118,0.7217,0.013064,543
pbde_153_ngml_detect,hilic,Pentose phosphate pathway,27,27,2,1.3665,0.36118,0.7217,0.013064,1420
pbde_153_ngml_detect,hilic,Vitamin B9 (folate) metabolism,10,10,1,0.50611,0.3805,1,0.01396,2653
pbde_153_ngml_detect,hilic,Carbon fixation,10,10,1,0.50611,0.3805,1,0.01396,2727
pbde_153_ngml_detect,hilic,Nitrogen metabolism,10,10,1,0.50611,0.3805,1,0.01396,6052
pbde_153_ngml_detect,hilic,De novo fatty acid biosynthesis,29,29,2,1.4677,0.39533,0.74715,0.014694,337
pbde_153_ngml_detect,hilic,Aspartate and asparagine metabolism,109,109,6,5.5166,0.39816,0.56973,0.014839,4147
pbde_153_ngml_detect,hilic,N-Glycan biosynthesis,11,11,1,0.55672,0.40959,1,0.015441,1689
pbde_153_ngml_detect,hilic,Keratan sulfate degradation,11,11,1,0.55672,0.40959,1,0.015441,3111
pbde_153_ngml_detect,hilic,Fatty acid oxidation,11,11,1,0.55672,0.40959,1,0.015441,394
pbde_153_ngml_detect,hilic,TCA cycle,11,11,1,0.55672,0.40959,1,0.015441,1326
pbde_153_ngml_detect,hilic,"Valine, leucine and isoleucine degradation",30,30,2,1.5183,0.41211,0.759,0.015578,597
pbde_153_ngml_detect,hilic,Propanoate metabolism,12,12,1,0.60733,0.43734,1,0.01702,1047
pbde_153_ngml_detect,hilic,Arginine and Proline Metabolism,53,53,3,2.6824,0.45353,0.71097,0.018025,8402
pbde_153_ngml_detect,hilic,Omega-3 fatty acid metabolism,13,13,1,0.65794,0.46381,1,0.018698,1151
pbde_153_ngml_detect,hilic,Ubiquinone Biosynthesis,13,13,1,0.65794,0.46381,1,0.018698,6749
