exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pbde_154_impute,c18,Prostaglandin formation from arachidonate,48,48,11,5.356,0.007615,0.020003,0.027858,16
pbde_154_impute,c18,Vitamin B1 (thiamin) metabolism,5,5,2,0.55792,0.087183,0.42051,0.033189,7
pbde_154_impute,c18,Vitamin D3 (cholecalciferol) metabolism,17,17,4,1.8969,0.091325,0.25228,0.033496,108
pbde_154_impute,c18,Vitamin H (biotin) metabolism,1,1,1,0.11158,0.10417,1,0.034467,0
pbde_154_impute,c18,Prostaglandin formation from dihomo gama-linoleic acid,7,7,2,0.78108,0.15965,0.53451,0.039038,824
pbde_154_impute,c18,D4&E4-neuroprostanes formation,14,14,3,1.5622,0.17172,0.43247,0.04012,40
pbde_154_impute,c18,Selenoamino acid metabolism,14,14,3,1.5622,0.17172,0.43247,0.04012,2693
pbde_154_impute,c18,Arachidonic acid metabolism,24,24,4,2.678,0.23449,0.45793,0.046318,3892
pbde_154_impute,c18,Drug metabolism - cytochrome P450,17,17,3,1.8969,0.25702,0.53759,0.0488,2339
pbde_154_impute,c18,Propanoate metabolism,10,10,2,1.1158,0.27995,0.66516,0.051484,400
pbde_154_impute,c18,Alkaloid biosynthesis II,3,3,1,0.33475,0.28133,1,0.05165,0
pbde_154_impute,c18,Sphingolipid metabolism,3,3,1,0.33475,0.28133,1,0.05165,1358
pbde_154_impute,c18,TCA cycle,18,18,3,2.0085,0.28674,0.56958,0.052311,7007
pbde_154_impute,c18,Leukotriene metabolism,35,35,5,3.9054,0.29662,0.49621,0.053541,1961
pbde_154_impute,c18,Putative anti-Inflammatory metabolites formation from EPA,11,11,2,1.2274,0.32048,0.70006,0.056651,1331
pbde_154_impute,c18,Bile acid biosynthesis,29,29,4,3.2359,0.35717,0.59028,0.061849,48
pbde_154_impute,c18,Fatty acid activation,38,38,5,4.2402,0.36176,0.56421,0.062537,3820
pbde_154_impute,c18,Histidine metabolism,13,13,2,1.4506,0.39956,0.7594,0.06856,392
pbde_154_impute,c18,Hexose phosphorylation,14,14,2,1.5622,0.43753,0.78454,0.07531,2963
pbde_154_impute,c18,Vitamin A (retinol) metabolism,14,14,2,1.5622,0.43753,0.78454,0.07531,4691
pbde_154_impute,c18,Porphyrin metabolism,14,14,2,1.5622,0.43753,0.78454,0.07531,2248
pbde_154_impute,c18,Lysine metabolism,14,14,2,1.5622,0.43753,0.78454,0.07531,8167
pbde_154_impute,c18,Fatty Acid Metabolism,15,15,2,1.6738,0.47419,0.80709,0.08259,7888
pbde_154_impute,c18,Linoleate metabolism,34,34,4,3.7938,0.4804,0.70036,0.083907,4391
pbde_154_impute,c18,Parathio degradation,6,6,1,0.6695,0.48405,1,0.084692,6866
pbde_154_impute,c18,"Glycine, serine, alanine and threonine metabolism",44,44,5,4.9097,0.49178,0.68392,0.086384,3373
pbde_154_impute,c18,"Valine, leucine and isoleucine degradation",16,16,2,1.7853,0.50939,0.82729,0.090395,4085
pbde_154_impute,c18,Glycosphingolipid metabolism,26,26,3,2.9012,0.52,0.76865000000000006,0.092922,1198
pbde_154_impute,c18,Drug metabolism - other enzymes,26,26,3,2.9012,0.52,0.76865000000000006,0.092922,5711
pbde_154_impute,c18,Pyruvate Metabolism,7,7,1,0.78108,0.53812,1,0.09744,0
pbde_154_impute,c18,Biopterin metabolism,7,7,1,0.78108,0.53812,1,0.09744,1811
pbde_154_impute,c18,Saturated fatty acids beta-oxidation,7,7,1,0.78108,0.53812,1,0.09744,916
pbde_154_impute,c18,Dynorphin metabolism,7,7,1,0.78108,0.53812,1,0.09744,86
pbde_154_impute,c18,Ascorbate (Vitamin C) and Aldarate Metabolism,17,17,2,1.8969,0.54304,0.8454,0.098714,7434
pbde_154_impute,c18,Tryptophan metabolism,37,37,4,4.1286,0.55008,0.75495,0.10057,8128
pbde_154_impute,c18,C21-steroid hormone biosynthesis and metabolism,48,48,5,5.356,0.57328,0.75004,0.10702,3449
pbde_154_impute,c18,Omega-3 fatty acid metabolism,8,8,1,0.89267,0.58656,1,0.11094,4181
pbde_154_impute,c18,Methionine and cysteine metabolism,29,29,3,3.2359,0.59714,0.81984,0.11419,8185
pbde_154_impute,c18,Squalene and cholesterol biosynthesis,9,9,1,1.0043,0.62998,1,0.12511,4724
pbde_154_impute,c18,Caffeine metabolism,9,9,1,1.0043,0.62998,1,0.12511,1312
pbde_154_impute,c18,Glutamate metabolism,9,9,1,1.0043,0.62998,1,0.12511,3044
pbde_154_impute,c18,De novo fatty acid biosynthesis,20,20,2,2.2317,0.6342,0.88918,0.12661,7159
pbde_154_impute,c18,Arginine and Proline Metabolism,20,20,2,2.2317,0.6342,0.88918,0.12661,7049
pbde_154_impute,c18,N-Glycan biosynthesis,10,10,1,1.1158,0.66887,1,0.13987,8142
pbde_154_impute,c18,Butanoate metabolism,10,10,1,1.1158,0.66887,1,0.13987,3845
pbde_154_impute,c18,Ubiquinone Biosynthesis,10,10,1,1.1158,0.66887,1,0.13987,6074
pbde_154_impute,c18,Androgen and estrogen biosynthesis and metabolism,24,24,2,2.678,0.73307,0.92903,0.16985,7570
pbde_154_impute,c18,Purine metabolism,47,47,4,5.2444,0.74173,0.88189,0.17456,6411
