exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pbde_47_impute,hilic,Vitamin B6 (pyridoxine) metabolism,14,14,4,1.0384,0.011951,0.062784,0.0099234,421
pbde_47_impute,hilic,Linoleate metabolism,43,43,7,3.1894,0.02314,0.063949,0.01022,4883
pbde_47_impute,hilic,Prostaglandin formation from dihomo gama-linoleic acid,5,5,2,0.37086,0.040244,0.29521,0.010692,20
pbde_47_impute,hilic,Carnitine shuttle,32,32,5,2.3735,0.06147,0.16444,0.011311,0
pbde_47_impute,hilic,Putative anti-Inflammatory metabolites formation from EPA,8,8,2,0.59337,0.098588,0.42906,0.012488,0
pbde_47_impute,hilic,Glycosphingolipid metabolism,27,27,4,2.0026,0.10665,0.27261,0.012762,23
pbde_47_impute,hilic,Androgen and estrogen biosynthesis and metabolism,28,28,4,2.0768,0.11824,0.29159,0.013165,604
pbde_47_impute,hilic,Limonene and pinene degradation,9,9,2,0.66754,0.1213,0.46783,0.013274,5365
pbde_47_impute,hilic,Electron transport chain,2,2,1,0.14834,0.13194,1,0.013661,1021
pbde_47_impute,hilic,Dynorphin metabolism,2,2,1,0.14834,0.13194,1,0.013661,0
pbde_47_impute,hilic,C21-steroid hormone biosynthesis and metabolism,52,52,6,3.8569,0.13762,0.27039,0.013872,277
pbde_47_impute,hilic,Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation,3,3,1,0.22251,0.1913,1,0.016057,0
pbde_47_impute,hilic,Omega-3 fatty acid metabolism,13,13,2,0.96422,0.22095,0.59855,0.017425,33
pbde_47_impute,hilic,Polyunsaturated fatty acid biosynthesis,4,4,1,0.29668,0.24664,1,0.018715,15
pbde_47_impute,hilic,Prostaglandin formation from arachidonate,27,27,3,2.0026,0.27868,0.55458,0.020474,87
pbde_47_impute,hilic,Vitamin H (biotin) metabolism,5,5,1,0.37086,0.29824,1,0.021639,549
pbde_47_impute,hilic,Lipoate metabolism,6,6,1,0.44503,0.34635,1,0.024834,1960
pbde_47_impute,hilic,Lysine metabolism,44,44,4,3.2635,0.35331,0.58124,0.02534,9287
pbde_47_impute,hilic,Vitamin A (retinol) metabolism,19,19,2,1.4092,0.3765,0.73744,0.027108,1115
pbde_47_impute,hilic,Glutathione Metabolism,19,19,2,1.4092,0.3765,0.73744,0.027108,427
pbde_47_impute,hilic,Arachidonic acid metabolism,19,19,2,1.4092,0.3765,0.73744,0.027108,456
pbde_47_impute,hilic,"Fatty acid oxidation, peroxisome",8,8,1,0.59337,0.43299,1,0.032041,0
pbde_47_impute,hilic,Fatty acid activation,37,37,3,2.7443,0.46943,0.72719,0.035774,307
pbde_47_impute,hilic,Vitamin D3 (cholecalciferol) metabolism,9,9,1,0.66754,0.47195,1,0.036051,598
pbde_47_impute,hilic,3-oxo-10R-octadecatrienoate beta-oxidation,10,10,1,0.74171,0.50827,1,0.040328,1510
pbde_47_impute,hilic,Nitrogen metabolism,10,10,1,0.74171,0.50827,1,0.040328,7974
pbde_47_impute,hilic,Omega-6 fatty acid metabolism,10,10,1,0.74171,0.50827,1,0.040328,22
