exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pbde_num_detect,c18,Pyrimidine metabolism,57,57,7,3.1498,0.023011,0.061903,0.0076703,309
pbde_num_detect,c18,Leukotriene metabolism,35,35,5,1.9341,0.02998,0.095423,0.0078287,187
pbde_num_detect,c18,Prostaglandin formation from dihomo gama-linoleic acid,7,7,2,0.38682,0.046416,0.30549,0.0082161,123
pbde_num_detect,c18,N-Glycan biosynthesis,10,10,2,0.5526,0.090103,0.40643,0.0093491,1028
pbde_num_detect,c18,Aspartate and asparagine metabolism,37,37,4,2.0446,0.11804,0.2868,0.010161,1769
pbde_num_detect,c18,Alkaloid biosynthesis II,3,3,1,0.16578,0.14705,1,0.011084,0
pbde_num_detect,c18,Glycosylphosphatidylinositol(GPI)-anchor biosynthesis,3,3,1,0.16578,0.14705,1,0.011084,216
pbde_num_detect,c18,Nucleotide Sugar Metabolism,4,4,1,0.22104,0.19119,1,0.012668,431
pbde_num_detect,c18,Electron transport chain,5,5,1,0.2763,0.23308,1,0.0144,2915
pbde_num_detect,c18,Fatty acid oxidation,5,5,1,0.2763,0.23308,1,0.0144,381
pbde_num_detect,c18,Limonene and pinene degradation,5,5,1,0.2763,0.23308,1,0.0144,2622
pbde_num_detect,c18,Linoleate metabolism,34,34,3,1.8789,0.25383,0.52242,0.015352,2273
pbde_num_detect,c18,Glycerophospholipid metabolism,50,50,4,2.763,0.25427,0.47049,0.015373,3131
pbde_num_detect,c18,Aminosugars metabolism,19,19,2,1.0499,0.25639,0.63051,0.015475,1591
pbde_num_detect,c18,Parathio degradation,6,6,1,0.33156,0.27284,1,0.016286,5076
pbde_num_detect,c18,Biopterin metabolism,7,7,1,0.38682,0.31057,1,0.018328,1430
pbde_num_detect,c18,Fatty acid activation,38,38,3,2.0999,0.31171,0.58422,0.018394,2823
pbde_num_detect,c18,Carnitine shuttle,22,22,2,1.2157,0.31531,0.68483,0.018604,424
pbde_num_detect,c18,Pentose phosphate pathway,22,22,2,1.2157,0.31531,0.68483,0.018604,5806
pbde_num_detect,c18,Caffeine metabolism,9,9,1,0.49734,0.38038,1,0.022898,278
pbde_num_detect,c18,Glycosphingolipid metabolism,26,26,2,1.4368,0.39223,0.74523,0.023794,1015
pbde_num_detect,c18,Propanoate metabolism,10,10,1,0.5526,0.41263,1,0.025429,1584
pbde_num_detect,c18,Carbon fixation,10,10,1,0.5526,0.41263,1,0.025429,3689
pbde_num_detect,c18,Ubiquinone Biosynthesis,10,10,1,0.5526,0.41263,1,0.025429,2193
pbde_num_detect,c18,Starch and Sucrose Metabolism,11,11,1,0.60786,0.44323,1,0.028126,4917
pbde_num_detect,c18,Prostaglandin formation from arachidonate,48,48,3,2.6525,0.45604,0.71296,0.02935,3201
pbde_num_detect,c18,Phosphatidylinositol phosphate metabolism,12,12,1,0.66312,0.47227,1,0.03099,3609
pbde_num_detect,c18,Fructose and mannose metabolism,13,13,1,0.71838,0.49982,1,0.034019,7058
pbde_num_detect,c18,Hexose phosphorylation,14,14,1,0.77365,0.52596,1,0.037214,4124
pbde_num_detect,c18,D4&E4-neuroprostanes formation,14,14,1,0.77365,0.52596,1,0.037214,1563
pbde_num_detect,c18,Porphyrin metabolism,14,14,1,0.77365,0.52596,1,0.037214,3102
pbde_num_detect,c18,Fatty Acid Metabolism,15,15,1,0.82891,0.55076,1,0.040572,6911
pbde_num_detect,c18,Vitamin D3 (cholecalciferol) metabolism,17,17,1,0.93943,0.5966,1,0.04777,2444
pbde_num_detect,c18,Sialic acid metabolism,17,17,1,0.93943,0.5966,1,0.04777,5599
pbde_num_detect,c18,Urea cycle/amino group metabolism,39,39,2,2.1552,0.60965,0.8732,0.050092,6691
pbde_num_detect,c18,Glycolysis and Gluconeogenesis,18,18,1,0.99469,0.61777,1,0.051605,3144
pbde_num_detect,c18,TCA cycle,18,18,1,0.99469,0.61777,1,0.051605,8718
pbde_num_detect,c18,Galactose metabolism,19,19,1,1.0499,0.63785,1,0.055592,4594
pbde_num_detect,c18,Arginine and Proline Metabolism,20,20,1,1.1052,0.65689,1,0.059727,6594
pbde_num_detect,c18,"Glycine, serine, alanine and threonine metabolism",44,44,2,2.4315,0.67652,0.90329,0.064396,5988
pbde_num_detect,c18,C21-steroid hormone biosynthesis and metabolism,48,48,2,2.6525,0.72324,0.92221,0.07751,4702
pbde_num_detect,c18,Androgen and estrogen biosynthesis and metabolism,24,24,1,1.3262,0.72371,1,0.07766,6441
pbde_num_detect,c18,Arachidonic acid metabolism,24,24,1,1.3262,0.72371,1,0.07766,6980
pbde_num_detect,c18,Vitamin E metabolism,26,26,1,1.4368,0.75215,1,0.087391,896
pbde_num_detect,c18,Drug metabolism - other enzymes,26,26,1,1.4368,0.75215,1,0.087391,7680
pbde_num_detect,c18,Methionine and cysteine metabolism,29,29,1,1.6026,0.78952,1,0.10282,8865
pbde_num_detect,c18,Tyrosine metabolism,89,89,3,4.9182,0.85603,0.95085,0.14156,8817
pbde_num_detect,c18,Purine metabolism,47,47,1,2.5972,0.92189,1,0.20855,8660
pbde_num_detect,c18,Xenobiotics metabolism,48,48,1,2.6525,0.92612,1,0.21475,9805
