exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pbde_num_detect,hilic,Pyruvate Metabolism,6,6,2,0.25131,0.019779,0.20655,0.0045571,114
pbde_num_detect,hilic,Urea cycle/amino group metabolism,92,92,8,3.8534,0.021041,0.052407,0.0045749,4087
pbde_num_detect,hilic,Alanine and Aspartate Metabolism,21,21,3,0.87958,0.04391,0.18634,0.0049109,825
pbde_num_detect,hilic,Glyoxylate and Dicarboxylate Metabolism,9,9,2,0.37696,0.044087,0.29353,0.0049136,178
pbde_num_detect,hilic,Arginine and Proline Metabolism,53,53,5,2.2199,0.049103,0.13536,0.0049908,2779
pbde_num_detect,hilic,Leukotriene metabolism,24,24,3,1.0052,0.061656,0.22851,0.0051897,7
pbde_num_detect,hilic,Alkaloid biosynthesis II,11,11,2,0.46073,0.064137,0.34626,0.00523,53
pbde_num_detect,hilic,Proteoglycan biosynthesis,3,3,1,0.12565,0.11135,1,0.0060641,19
pbde_num_detect,hilic,Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation,3,3,1,0.12565,0.11135,1,0.0060641,0
pbde_num_detect,hilic,Aspartate and asparagine metabolism,109,109,7,4.5654,0.11899,0.22316,0.006212,1288
pbde_num_detect,hilic,"Glycine, serine, alanine and threonine metabolism",69,69,5,2.8901,0.12155,0.26052,0.0062624,419
pbde_num_detect,hilic,C21-steroid hormone biosynthesis and metabolism,52,52,4,2.178,0.1361,0.31261,0.0065574,339
pbde_num_detect,hilic,Fructose and mannose metabolism,18,18,2,0.75393,0.15065,0.50219,0.0068675,837
pbde_num_detect,hilic,Lysine metabolism,44,44,3,1.8429,0.2385,0.50219,0.0091096,7464
pbde_num_detect,hilic,Xenobiotics metabolism,47,47,3,1.9686,0.27033,0.53831,0.010109,1871
pbde_num_detect,hilic,Putative anti-Inflammatory metabolites formation from EPA,8,8,1,0.33508,0.27053,1,0.010116,191
pbde_num_detect,hilic,CoA Catabolism,8,8,1,0.33508,0.27053,1,0.010116,1485
pbde_num_detect,hilic,Glycolysis and Gluconeogenesis,27,27,2,1.1309,0.27956,0.65015,0.010421,1639
pbde_num_detect,hilic,Aminosugars metabolism,30,30,2,1.2565,0.32326,0.68913,0.012047,472
pbde_num_detect,hilic,Carbon fixation,10,10,1,0.41885,0.32607,1,0.012161,2885
pbde_num_detect,hilic,Keratan sulfate degradation,11,11,1,0.46073,0.35226,1,0.01328,2958
pbde_num_detect,hilic,TCA cycle,11,11,1,0.46073,0.35226,1,0.01328,1276
pbde_num_detect,hilic,N-Glycan Degradation,11,11,1,0.46073,0.35226,1,0.01328,3304
pbde_num_detect,hilic,Omega-3 fatty acid metabolism,13,13,1,0.5445,0.40169,1,0.015718,419
pbde_num_detect,hilic,Glycerophospholipid metabolism,60,60,3,2.5131,0.4109,0.67396,0.016225,1204
pbde_num_detect,hilic,Vitamin B5 - CoA biosynthesis from pantothenate,15,15,1,0.62827,0.44742,1,0.018427,1180
pbde_num_detect,hilic,Vitamin E metabolism,15,15,1,0.62827,0.44742,1,0.018427,2641
pbde_num_detect,hilic,Selenoamino acid metabolism,15,15,1,0.62827,0.44742,1,0.018427,55
pbde_num_detect,hilic,Butanoate metabolism,42,42,2,1.7592,0.48844,0.8068,0.021314,3578
pbde_num_detect,hilic,Porphyrin metabolism,17,17,1,0.71204,0.48973,1,0.021413,2692
pbde_num_detect,hilic,Phosphatidylinositol phosphate metabolism,18,18,1,0.75393,0.50967,1,0.02301,847
pbde_num_detect,hilic,Glutathione Metabolism,19,19,1,0.79581,0.52885,1,0.024676,1903
pbde_num_detect,hilic,Arachidonic acid metabolism,19,19,1,0.79581,0.52885,1,0.024676,1428
pbde_num_detect,hilic,Methionine and cysteine metabolism,49,49,2,2.0524,0.57314,0.85393,0.02909,1025
pbde_num_detect,hilic,Galactose metabolism,23,23,1,0.96335,0.5985,1,0.032036,2772
pbde_num_detect,hilic,Bile acid biosynthesis,24,24,1,1.0052,0.61427,1,0.034047,681
pbde_num_detect,hilic,Prostaglandin formation from arachidonate,27,27,1,1.1309,0.65803,1,0.040481,1380
pbde_num_detect,hilic,Pentose phosphate pathway,27,27,1,1.1309,0.65803,1,0.040481,3421
pbde_num_detect,hilic,"Valine, leucine and isoleucine degradation",30,30,1,1.2565,0.69692,1,0.047495,2823
pbde_num_detect,hilic,Carnitine shuttle,32,32,1,1.3403,0.7204,1,0.052478,178
pbde_num_detect,hilic,Vitamin B3 (nicotinate and nicotinamide) metabolism,34,34,1,1.4241,0.7421,1,0.057694,8018
pbde_num_detect,hilic,Fatty acid activation,37,37,1,1.5497,0.77159,1,0.065931,2395
pbde_num_detect,hilic,Linoleate metabolism,43,43,1,1.801,0.82101,1,0.083736,9843
pbde_num_detect,hilic,Purine metabolism,45,45,1,1.8848,0.83502,1,0.090018,5876
pbde_num_detect,hilic,Pyrimidine metabolism,63,63,1,2.6387,0.9213,1,0.15195,6728
pbde_num_detect,hilic,Tryptophan metabolism,113,113,2,4.733,0.94322,0.98955,0.18073,9881
pbde_num_detect,hilic,Tyrosine metabolism,151,151,3,6.3246,0.94465,0.98423,0.183,9999
