exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pcb_138_ngml_detect,hilic,Tryptophan metabolism,113,113,15,6.3106,3.2974e-4,9.4815e-4,0.0040781,295
pcb_138_ngml_detect,hilic,Electron transport chain,2,2,1,0.11169,0.10021,1,0.0055791,393
pcb_138_ngml_detect,hilic,Alkaloid biosynthesis II,11,11,2,0.61431,0.10611,0.43649,0.0056846,204
pcb_138_ngml_detect,hilic,Fatty acid oxidation,11,11,2,0.61431,0.10611,0.43649,0.0056846,41
pcb_138_ngml_detect,hilic,Omega-3 fatty acid metabolism,13,13,2,0.726,0.141,0.49258,0.0063533,24
pcb_138_ngml_detect,hilic,Prostaglandin formation from arachidonate,27,27,3,1.5079,0.15781,0.401,0.0067052,46
pcb_138_ngml_detect,hilic,Butanoate metabolism,42,42,4,2.3455,0.16522,0.35836,0.006867,891
pcb_138_ngml_detect,hilic,Linoleate metabolism,43,43,4,2.4014,0.1755,0.3726,0.0070983,7365
pcb_138_ngml_detect,hilic,Drug metabolism - cytochrome P450,34,34,3,1.8988,0.25241,0.52179,0.0091221,3309
pcb_138_ngml_detect,hilic,Vitamin B3 (nicotinate and nicotinamide) metabolism,34,34,3,1.8988,0.25241,0.52179,0.0091221,2964
pcb_138_ngml_detect,hilic,Caffeine metabolism,6,6,1,0.33508,0.27189,1,0.0097288,787
pcb_138_ngml_detect,hilic,Fatty acid activation,37,37,3,2.0663,0.2954,0.56852,0.010521,165
pcb_138_ngml_detect,hilic,"Fatty acid oxidation, peroxisome",8,8,1,0.44677,0.34519,1,0.012442,0
pcb_138_ngml_detect,hilic,Saturated fatty acids beta-oxidation,9,9,1,0.50262,0.37907,1,0.01397,17
pcb_138_ngml_detect,hilic,Limonene and pinene degradation,9,9,1,0.50262,0.37907,1,0.01397,7036
pcb_138_ngml_detect,hilic,Glycosphingolipid metabolism,27,27,2,1.5079,0.40884,0.75763,0.015487,620
pcb_138_ngml_detect,hilic,Vitamin B9 (folate) metabolism,10,10,1,0.55846,0.41122,1,0.015616,2669
pcb_138_ngml_detect,hilic,Nitrogen metabolism,10,10,1,0.55846,0.41122,1,0.015616,6063
pcb_138_ngml_detect,hilic,Omega-6 fatty acid metabolism,10,10,1,0.55846,0.41122,1,0.015616,19
pcb_138_ngml_detect,hilic,Squalene and cholesterol biosynthesis,11,11,1,0.61431,0.44174,1,0.017381,497
pcb_138_ngml_detect,hilic,TCA cycle,11,11,1,0.61431,0.44174,1,0.017381,1423
pcb_138_ngml_detect,hilic,De novo fatty acid biosynthesis,29,29,2,1.6195,0.44521,0.78207,0.017595,476
pcb_138_ngml_detect,hilic,Methionine and cysteine metabolism,49,49,3,2.7365,0.46697,0.72248,0.019012,625
pcb_138_ngml_detect,hilic,Ubiquinone Biosynthesis,13,13,1,0.726,0.49816,1,0.021274,7109
pcb_138_ngml_detect,hilic,Arginine and Proline Metabolism,53,53,3,2.9599,0.52068,0.76259,0.0231,8783
pcb_138_ngml_detect,hilic,Biopterin metabolism,14,14,1,0.78185,0.52423,1,0.023404,9057
pcb_138_ngml_detect,hilic,Selenoamino acid metabolism,15,15,1,0.8377,0.54897,1,0.025655,252
pcb_138_ngml_detect,hilic,Porphyrin metabolism,17,17,1,0.94939,0.5947,1,0.030523,3618
pcb_138_ngml_detect,hilic,Glycerophospholipid metabolism,60,60,3,3.3508,0.60738,0.82096,0.03206,2488
pcb_138_ngml_detect,hilic,Fatty Acid Metabolism,18,18,1,1.0052,0.61582,1,0.033136,830
pcb_138_ngml_detect,hilic,Phosphatidylinositol phosphate metabolism,18,18,1,1.0052,0.61582,1,0.033136,1111
pcb_138_ngml_detect,hilic,Glutamate metabolism,19,19,1,1.0611,0.63586,1,0.035867,3259
pcb_138_ngml_detect,hilic,Pyrimidine metabolism,63,63,3,3.5183,0.64131,0.84186,0.036656,2830
pcb_138_ngml_detect,hilic,Alanine and Aspartate Metabolism,21,21,1,1.1728,0.6729,1,0.041674,7493
pcb_138_ngml_detect,hilic,Aspartate and asparagine metabolism,109,109,5,6.0873,0.67579,0.82004,0.042175,6907
pcb_138_ngml_detect,hilic,Xenobiotics metabolism,47,47,2,2.6248,0.70884,0.91693,0.048463,6440
pcb_138_ngml_detect,hilic,Bile acid biosynthesis,24,24,1,1.3403,0.72161,1,0.05121,1352
pcb_138_ngml_detect,hilic,Androgen and estrogen biosynthesis and metabolism,28,28,1,1.5637,0.77561,1,0.065333,6186
pcb_138_ngml_detect,hilic,"Valine, leucine and isoleucine degradation",30,30,1,1.6754,0.7986,1,0.072936,4200
pcb_138_ngml_detect,hilic,Aminosugars metabolism,30,30,1,1.6754,0.7986,1,0.072936,4326
pcb_138_ngml_detect,hilic,Tyrosine metabolism,151,151,6,8.4328,0.81077,0.89943,0.077462,9998
pcb_138_ngml_detect,hilic,Carnitine shuttle,32,32,1,1.7871,0.81927,1,0.080859,347
pcb_138_ngml_detect,hilic,Lysine metabolism,44,44,1,2.4572,0.90598,1,0.13347,9948
pcb_138_ngml_detect,hilic,Purine metabolism,45,45,1,2.5131,0.91099,1,0.13813,7179
pcb_138_ngml_detect,hilic,C21-steroid hormone biosynthesis and metabolism,52,52,1,2.904,0.93941,1,0.17142,7193
pcb_138_ngml_detect,hilic,Urea cycle/amino group metabolism,92,92,2,5.1379,0.95885,0.99303,0.20527,9999
