exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pcb_num_detect,c18,Putative anti-Inflammatory metabolites formation from EPA,11,11,4,0.81828,0.0048567,0.034048,0.0098443,17
pcb_num_detect,c18,Glyoxylate and Dicarboxylate Metabolism,3,3,2,0.22317,0.013632,0.1918,0.010085,0
pcb_num_detect,c18,Carbon fixation,10,10,3,0.74389,0.027037,0.14562,0.010465,142
pcb_num_detect,c18,Leukotriene metabolism,35,35,6,2.6036,0.02932,0.084531,0.010531,182
pcb_num_detect,c18,N-Glycan Degradation,5,5,2,0.37194,0.041467,0.29902,0.010891,1368
pcb_num_detect,c18,Pentose phosphate pathway,22,22,4,1.6366,0.060175,0.18642,0.011471,1738
pcb_num_detect,c18,Benzoate degradation via CoA ligation,1,1,1,0.074389,0.069444,1,0.011771,0
pcb_num_detect,c18,Pyruvate Metabolism,7,7,2,0.52072,0.079547,0.39219,0.012107,0
pcb_num_detect,c18,Glycolysis and Gluconeogenesis,18,18,3,1.339,0.1236,0.35239,0.013699,103
pcb_num_detect,c18,Sphingolipid metabolism,3,3,1,0.22317,0.19438,1,0.016754,1356
pcb_num_detect,c18,Histidine metabolism,13,13,2,0.96706,0.22664,0.60447,0.018386,185
pcb_num_detect,c18,Fructose and mannose metabolism,13,13,2,0.96706,0.22664,0.60447,0.018386,3980
pcb_num_detect,c18,Nucleotide Sugar Metabolism,4,4,1,0.29756,0.25049,1,0.019706,576
pcb_num_detect,c18,Selenoamino acid metabolism,14,14,2,1.0414,0.25322,0.6319,0.019863,3212
pcb_num_detect,c18,Keratan sulfate degradation,5,5,1,0.37194,0.30275,1,0.022976,5758
pcb_num_detect,c18,Vitamin B6 (pyridoxine) metabolism,5,5,1,0.37194,0.30275,1,0.022976,170
pcb_num_detect,c18,Bile acid biosynthesis,29,29,3,2.1573,0.32686,0.60326,0.024685,114
pcb_num_detect,c18,Glycosphingolipid biosynthesis - ganglioseries,6,6,1,0.44633,0.35141,1,0.026572,3017
pcb_num_detect,c18,Galactose metabolism,19,19,2,1.4134,0.38492,0.74331,0.029415,1920
pcb_num_detect,c18,Aminosugars metabolism,19,19,2,1.4134,0.38492,0.74331,0.029415,2556
pcb_num_detect,c18,Beta-Alanine metabolism,7,7,1,0.52072,0.39672,1,0.030497,765
pcb_num_detect,c18,Arginine and Proline Metabolism,20,20,2,1.4878,0.41029,0.76122,0.031796,4004
pcb_num_detect,c18,Prostaglandin formation from arachidonate,48,48,4,3.5707,0.43107,0.6531,0.033911,2931
pcb_num_detect,c18,C21-steroid hormone biosynthesis and metabolism,48,48,4,3.5707,0.43107,0.6531,0.033911,2025
pcb_num_detect,c18,Pentose and Glucuronate Interconversions,8,8,1,0.59511,0.43891,1,0.03475,5251
pcb_num_detect,c18,Carnitine shuttle,22,22,2,1.6366,0.45946,0.79342,0.037066,944
pcb_num_detect,c18,Glycerophospholipid metabolism,50,50,4,3.7194,0.46332,0.68102,0.03752,5695
pcb_num_detect,c18,Squalene and cholesterol biosynthesis,9,9,1,0.6695,0.47819,1,0.039332,2192
pcb_num_detect,c18,Caffeine metabolism,9,9,1,0.6695,0.47819,1,0.039332,605
pcb_num_detect,c18,Androgen and estrogen biosynthesis and metabolism,24,24,2,1.7853,0.50624,0.82133,0.043035,4339
pcb_num_detect,c18,Arachidonic acid metabolism,24,24,2,1.7853,0.50624,0.82133,0.043035,5395
pcb_num_detect,c18,Propanoate metabolism,10,10,1,0.74389,0.51475,1,0.044236,2103
pcb_num_detect,c18,Ubiquinone Biosynthesis,10,10,1,0.74389,0.51475,1,0.044236,3029
pcb_num_detect,c18,3-oxo-10R-octadecatrienoate beta-oxidation,11,11,1,0.81828,0.54878,1,0.049458,6594
pcb_num_detect,c18,Vitamin E metabolism,26,26,2,1.9341,0.55039,0.84552,0.049723,198
pcb_num_detect,c18,"Glycine, serine, alanine and threonine metabolism",44,44,3,3.2731,0.60253,0.81951,0.059284,5113
pcb_num_detect,c18,Methionine and cysteine metabolism,29,29,2,2.1573,0.61139,0.87588,0.061122,7657
pcb_num_detect,c18,Vitamin A (retinol) metabolism,14,14,1,1.0414,0.63739,1,0.066938,6644
pcb_num_detect,c18,Vitamin B3 (nicotinate and nicotinamide) metabolism,14,14,1,1.0414,0.63739,1,0.066938,4068
pcb_num_detect,c18,Porphyrin metabolism,14,14,1,1.0414,0.63739,1,0.066938,4282
pcb_num_detect,c18,Lysine metabolism,14,14,1,1.0414,0.63739,1,0.066938,8843
pcb_num_detect,c18,Fatty Acid Metabolism,15,15,1,1.1158,0.66293,1,0.073331,7966
pcb_num_detect,c18,"Valine, leucine and isoleucine degradation",16,16,1,1.1902,0.68669,1,0.079986,5096
pcb_num_detect,c18,Linoleate metabolism,34,34,2,2.5292,0.69893,0.91394,0.083718,6846
pcb_num_detect,c18,Sialic acid metabolism,17,17,1,1.2646,0.7088,1,0.086888,6842
pcb_num_detect,c18,Drug metabolism - cytochrome P450,17,17,1,1.2646,0.7088,1,0.086888,6329
pcb_num_detect,c18,Aspartate and asparagine metabolism,37,37,2,2.7524,0.74333,0.93098,0.099315,8411
pcb_num_detect,c18,Glycosphingolipid metabolism,26,26,1,1.9341,0.8498,1,0.15759,5827
pcb_num_detect,c18,Drug metabolism - other enzymes,26,26,1,1.9341,0.8498,1,0.15759,8690
pcb_num_detect,c18,Purine metabolism,47,47,2,3.4963,0.85345,0.96709,0.16041,7726
pcb_num_detect,c18,Pyrimidine metabolism,57,57,2,4.2402,0.91925,0.98444,0.23067,9728
pcb_num_detect,c18,Tryptophan metabolism,37,37,1,2.7524,0.9337,1,0.2541,9745
pcb_num_detect,c18,Urea cycle/amino group metabolism,39,39,1,2.9012,0.94292,1,0.27177,9648
pcb_num_detect,c18,Tyrosine metabolism,89,89,3,6.6206,0.95817,0.98899,0.30792,9726
