exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
hexachlorobenzene_impute,hilic,Arginine and Proline Metabolism,44,44,9,6.0251,0.091864,0.17602,0.015287,289
hexachlorobenzene_impute,hilic,Fatty Acid Metabolism,26,26,6,3.5603,0.098606,0.21897,0.01556,136
hexachlorobenzene_impute,hilic,C21-steroid hormone biosynthesis and metabolism,58,58,11,7.9421,0.10277,0.17996,0.015732,87
hexachlorobenzene_impute,hilic,Di-unsaturated fatty acid beta-oxidation,5,5,2,0.68467,0.1226,0.48905,0.016577,54
hexachlorobenzene_impute,hilic,Drug metabolism - other enzymes,16,16,4,2.1909,0.13256,0.32473,0.017021,609
hexachlorobenzene_impute,hilic,Glycosphingolipid metabolism,23,23,5,3.1495,0.15443,0.32435,0.01804,1327
hexachlorobenzene_impute,hilic,Squalene and cholesterol biosynthesis,17,17,4,2.3279,0.15719,0.36126,0.018173,64
hexachlorobenzene_impute,hilic,Carnitine shuttle,30,30,6,4.108,0.16764,0.32052,0.018688,431
hexachlorobenzene_impute,hilic,Androgen and estrogen biosynthesis and metabolism,30,30,6,4.108,0.16764,0.32052,0.018688,1316
hexachlorobenzene_impute,hilic,Leukotriene metabolism,24,24,5,3.2864,0.17635,0.35469,0.019129,447
hexachlorobenzene_impute,hilic,Limonene and pinene degradation,12,12,3,1.6432,0.1853,0.45596,0.019594,7135
hexachlorobenzene_impute,hilic,Histidine metabolism,32,32,6,4.3819,0.2082,0.3735,0.020843,5825
hexachlorobenzene_impute,hilic,Prostaglandin formation from arachidonate,26,26,5,3.5603,0.22336,0.41524,0.021718,65
hexachlorobenzene_impute,hilic,Linoleate metabolism,47,47,8,6.4359,0.23354,0.37471,0.022328,7448
hexachlorobenzene_impute,hilic,Dynorphin metabolism,2,2,1,0.27387,0.23681,1,0.022528,348
hexachlorobenzene_impute,hilic,Sphingolipid metabolism,2,2,1,0.27387,0.23681,1,0.022528,454
hexachlorobenzene_impute,hilic,Aspartate and asparagine metabolism,83,83,13,11.365,0.23866,0.34241,0.022642,4643
hexachlorobenzene_impute,hilic,Alanine and Aspartate Metabolism,20,20,4,2.7387,0.23943,0.46809,0.02269,5466
hexachlorobenzene_impute,hilic,Bile acid biosynthesis,28,28,5,3.8341,0.27367,0.47453,0.024926,1228
hexachlorobenzene_impute,hilic,Fatty acid activation,36,36,6,4.9296,0.29785,0.47873,0.026654,211
hexachlorobenzene_impute,hilic,De novo fatty acid biosynthesis,30,30,5,4.108,0.3261,0.53148,0.028845,902
hexachlorobenzene_impute,hilic,Parathio degradation,3,3,1,0.4108,0.3334,1,0.029443,163
hexachlorobenzene_impute,hilic,Urea cycle/amino group metabolism,76,76,11,10.407,0.36106,0.48916,0.031843,7257
hexachlorobenzene_impute,hilic,"Valine, leucine and isoleucine degradation",25,25,4,3.4233,0.39042,0.62552,0.034637,480
hexachlorobenzene_impute,hilic,Porphyrin metabolism,18,18,3,2.4648,0.40213,0.68145,0.035828,1484
hexachlorobenzene_impute,hilic,Electron transport chain,4,4,1,0.54773,0.41784,1,0.037501,3345
hexachlorobenzene_impute,hilic,Vitamin H (biotin) metabolism,4,4,1,0.54773,0.41784,1,0.037501,2127
hexachlorobenzene_impute,hilic,"Glycine, serine, alanine and threonine metabolism",49,49,7,6.7097,0.42637,0.59355,0.038448,1790
hexachlorobenzene_impute,hilic,Glycerophospholipid metabolism,50,50,7,6.8467,0.44845,0.6144,0.041029,1453
hexachlorobenzene_impute,hilic,Alkaloid biosynthesis II,12,12,2,1.6432,0.45983,0.8015,0.042437,5510
hexachlorobenzene_impute,hilic,Glutamate metabolism,12,12,2,1.6432,0.45983,0.8015,0.042437,2343
hexachlorobenzene_impute,hilic,Lipoate metabolism,5,5,1,0.68467,0.49165,1,0.046686,3337
hexachlorobenzene_impute,hilic,Phytanic acid peroxisomal oxidation,5,5,1,0.68467,0.49165,1,0.046686,42
hexachlorobenzene_impute,hilic,Sialic acid metabolism,14,14,2,1.9171,0.54477,0.84867,0.054957,2542
hexachlorobenzene_impute,hilic,Glycosphingolipid biosynthesis - ganglioseries,6,6,1,0.8216,0.55616,1,0.056953,854
hexachlorobenzene_impute,hilic,Pentose and Glucuronate Interconversions,6,6,1,0.8216,0.55616,1,0.056953,140
hexachlorobenzene_impute,hilic,Prostaglandin formation from dihomo gama-linoleic acid,6,6,1,0.8216,0.55616,1,0.056953,361
hexachlorobenzene_impute,hilic,Drug metabolism - cytochrome P450,32,32,4,4.3819,0.59126,0.78746,0.063681,6246
