exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
ocs,c18,Pentose phosphate pathway,12,12,3,0.93793,0.05009,0.20954,0.014265,271
ocs,c18,"Fatty acid oxidation, peroxisome",1,1,1,0.078161,0.072572,1,0.015119,0
ocs,c18,Glycosphingolipid biosynthesis - ganglioseries,7,7,2,0.54713,0.085959,0.40611,0.015654,404
ocs,c18,Glycerophospholipid metabolism,45,45,6,3.5172,0.10002,0.21326,0.016239,197
ocs,c18,Drug metabolism - other enzymes,25,25,4,1.954,0.10086,0.2627,0.016274,618
ocs,c18,Galactose metabolism,17,17,3,1.3287,0.11955,0.34628,0.01709,51
ocs,c18,Glycosphingolipid metabolism,17,17,3,1.3287,0.11955,0.34628,0.01709,129
ocs,c18,Starch and Sucrose Metabolism,9,9,2,0.70345,0.13422,0.48864,0.017761,510
ocs,c18,Keratan sulfate biosynthesis,2,2,1,0.15632,0.13995,1,0.018031,1585
ocs,c18,Proteoglycan biosynthesis,2,2,1,0.15632,0.13995,1,0.018031,1585
ocs,c18,Vitamin B12 (cyanocobalamin) metabolism,2,2,1,0.15632,0.13995,1,0.018031,23
ocs,c18,Vitamin D3 (cholecalciferol) metabolism,10,10,2,0.78161,0.16019,0.52556,0.019022,279
ocs,c18,Ascorbate (Vitamin C) and Aldarate Metabolism,11,11,2,0.85977,0.18699,0.55985,0.020427,5529
ocs,c18,Vitamin E metabolism,21,21,3,1.6414,0.1908,0.45062,0.020636,143
ocs,c18,Fatty acid oxidation,3,3,1,0.23448,0.2025,1,0.021292,1749
ocs,c18,1- and 2-Methylnaphthalene degradation,3,3,1,0.23448,0.2025,1,0.021292,3844
ocs,c18,Fructose and mannose metabolism,12,12,2,0.93793,0.21437,0.5917,0.021981,2012
ocs,c18,Tyrosine metabolism,93,93,9,7.269,0.22365,0.34368,0.022537,6316
ocs,c18,Bile acid biosynthesis,23,23,3,1.7977,0.2298,0.49931,0.022914,13
ocs,c18,Chondroitin sulfate degradation,4,4,1,0.31264,0.26056,1,0.024909,838
ocs,c18,Glycosphingolipid biosynthesis - globoseries,4,4,1,0.31264,0.26056,1,0.024909,1074
ocs,c18,N-Glycan biosynthesis,14,14,2,1.0943,0.27002,0.64874,0.02556,976
ocs,c18,Methionine and cysteine metabolism,25,25,3,1.954,0.27017,0.54523,0.025571,1988
ocs,c18,Saturated fatty acids beta-oxidation,5,5,1,0.3908,0.31445,1,0.028889,520
ocs,c18,Heparan sulfate degradation,5,5,1,0.3908,0.31445,1,0.028889,1689
