exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
ocs,hilic,Glycosphingolipid metabolism,23,23,6,1.8852,0.0055559,0.023806,0.01053,33
ocs,hilic,Parathio degradation,3,3,2,0.2459,0.016133,0.20803,0.010831,0
ocs,hilic,Glycosphingolipid biosynthesis - ganglioseries,6,6,2,0.4918,0.069436,0.37319,0.012499,9
ocs,hilic,Histidine metabolism,32,32,5,2.623,0.087404,0.21221,0.013123,3790
ocs,hilic,Drug metabolism - cytochrome P450,32,32,5,2.623,0.087404,0.21221,0.013123,1012
ocs,hilic,Arginine and Proline Metabolism,44,44,6,3.6066,0.10807,0.22707,0.013881,484
ocs,hilic,Glycosphingolipid biosynthesis - globoseries,2,2,1,0.16393,0.14559,1,0.015383,788
ocs,hilic,Dynorphin metabolism,2,2,1,0.16393,0.14559,1,0.015383,267
ocs,hilic,Sphingolipid metabolism,2,2,1,0.16393,0.14559,1,0.015383,336
ocs,hilic,Urea cycle/amino group metabolism,76,76,8,6.2295,0.20903,0.33792,0.018343,5341
ocs,hilic,Starch and Sucrose Metabolism,3,3,1,0.2459,0.21032,1,0.018409,501
ocs,hilic,Glutamate metabolism,12,12,2,0.98361,0.22834,0.60814,0.019364,321
ocs,hilic,Hexose phosphorylation,13,13,2,1.0656,0.25737,0.63774,0.02102,5369
ocs,hilic,Sialic acid metabolism,14,14,2,1.1475,0.28647,0.66513,0.022838,879
ocs,hilic,"Glycine, serine, alanine and threonine metabolism",49,49,5,4.0164,0.30976,0.50614,0.024419,1099
ocs,hilic,Prostaglandin formation from arachidonate,26,26,3,2.1311,0.31329,0.59151,0.02467,189
ocs,hilic,Chondroitin sulfate degradation,5,5,1,0.40984,0.32558,1,0.025564,1657
ocs,hilic,Di-unsaturated fatty acid beta-oxidation,5,5,1,0.40984,0.32558,1,0.025564,599
ocs,hilic,Caffeine metabolism,5,5,1,0.40984,0.32558,1,0.025564,5771
ocs,hilic,Lipoate metabolism,5,5,1,0.40984,0.32558,1,0.025564,2822
ocs,hilic,Drug metabolism - other enzymes,16,16,2,1.3115,0.34421,0.71392,0.026989,2135
