exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pbde_85_ngml_detect,hilic,Carnitine shuttle,30,30,12,3.298,1.2101e-5,6.9345e-5,0.01984,0
pbde_85_ngml_detect,hilic,Fatty acid oxidation,12,12,6,1.3192,5.3172e-4,0.0041856,0.019864,0
pbde_85_ngml_detect,hilic,Fatty acid activation,36,36,10,3.9576,0.0020277,0.0069524,0.019932,0
pbde_85_ngml_detect,hilic,Glycosphingolipid metabolism,23,23,7,2.5284,0.0056822,0.021878,0.020099,22
pbde_85_ngml_detect,hilic,De novo fatty acid biosynthesis,30,30,8,3.298,0.0075885,0.024742,0.020187,1
pbde_85_ngml_detect,hilic,Glycosphingolipid biosynthesis - ganglioseries,6,6,3,0.65959,0.016182,0.11488,0.020588,0
pbde_85_ngml_detect,hilic,R Group Synthesis,3,3,2,0.3298,0.028579,0.27251,0.021182,0
pbde_85_ngml_detect,hilic,Prostaglandin formation from arachidonate,26,26,6,2.8582,0.040371,0.11133,0.021764,0
pbde_85_ngml_detect,hilic,"Fatty acid oxidation, peroxisome",4,4,2,0.43973,0.053386,0.34585,0.022427,0
pbde_85_ngml_detect,hilic,Biopterin metabolism,9,9,3,0.98939,0.054171,0.22669,0.022468,103
pbde_85_ngml_detect,hilic,Omega-6 fatty acid metabolism,9,9,3,0.98939,0.054171,0.22669,0.022468,0
pbde_85_ngml_detect,hilic,Glycerophospholipid metabolism,50,50,9,5.4966,0.057933,0.11997,0.022664,17
pbde_85_ngml_detect,hilic,Androgen and estrogen biosynthesis and metabolism,30,30,6,3.298,0.074577,0.1757,0.023555,578
pbde_85_ngml_detect,hilic,Phytanic acid peroxisomal oxidation,5,5,2,0.54966,0.083154,0.41185,0.024029,0
pbde_85_ngml_detect,hilic,Glycosphingolipid biosynthesis - lactoseries,1,1,1,0.10993,0.10142,1,0.025075,0
pbde_85_ngml_detect,hilic,Blood Group Biosynthesis,1,1,1,0.10993,0.10142,1,0.025075,0
pbde_85_ngml_detect,hilic,Glycosphingolipid biosynthesis - neolactoseries,1,1,1,0.10993,0.10142,1,0.025075,0
pbde_85_ngml_detect,hilic,Keratan sulfate biosynthesis,1,1,1,0.10993,0.10142,1,0.025075,0
pbde_85_ngml_detect,hilic,O-Glycan biosynthesis,1,1,1,0.10993,0.10142,1,0.025075,0
pbde_85_ngml_detect,hilic,Vitamin D3 (cholecalciferol) metabolism,12,12,3,1.3192,0.11351,0.34367,0.025794,363
pbde_85_ngml_detect,hilic,Polyunsaturated fatty acid biosynthesis,6,6,2,0.65959,0.11664,0.47124,0.025984,89
pbde_85_ngml_detect,hilic,Prostaglandin formation from dihomo gama-linoleic acid,6,6,2,0.65959,0.11664,0.47124,0.025984,6
pbde_85_ngml_detect,hilic,C21-steroid hormone biosynthesis and metabolism,58,58,9,6.3761,0.12363,0.2198,0.026414,112
pbde_85_ngml_detect,hilic,Vitamin A (retinol) metabolism,13,13,3,1.4291,0.1371,0.38172,0.027265,23
pbde_85_ngml_detect,hilic,Bile acid biosynthesis,28,28,5,3.0781,0.14583,0.30807,0.027833,753
pbde_85_ngml_detect,hilic,Saturated fatty acids beta-oxidation,8,8,2,0.87946,0.19075,0.57277,0.03097,1092
pbde_85_ngml_detect,hilic,Glycosphingolipid biosynthesis - globoseries,2,2,1,0.21986,0.19264,1,0.031111,1145
pbde_85_ngml_detect,hilic,Mono-unsaturated fatty acid beta-oxidation,2,2,1,0.21986,0.19264,1,0.031111,0
pbde_85_ngml_detect,hilic,Sphingolipid metabolism,2,2,1,0.21986,0.19264,1,0.031111,722
pbde_85_ngml_detect,hilic,Leukotriene metabolism,24,24,4,2.6384,0.22008,0.4402,0.033231,534
pbde_85_ngml_detect,hilic,Butanoate metabolism,29,29,4,3.188,0.33817,0.5714,0.044439,1605
pbde_85_ngml_detect,hilic,Alkaloid biosynthesis II,12,12,2,1.3192,0.34778,0.72142,0.045528,3480
pbde_85_ngml_detect,hilic,Vitamin B9 (folate) metabolism,12,12,2,1.3192,0.34778,0.72142,0.045528,675
pbde_85_ngml_detect,hilic,Vitamin H (biotin) metabolism,4,4,1,0.43973,0.34843,1,0.045603,661
pbde_85_ngml_detect,hilic,Glutathione Metabolism,13,13,2,1.4291,0.38608,0.74973,0.050185,1274
pbde_85_ngml_detect,hilic,Vitamin E metabolism,22,22,3,2.4185,0.38919,0.66657,0.050587,1563
pbde_85_ngml_detect,hilic,Chondroitin sulfate degradation,5,5,1,0.54966,0.41475,1,0.054036,3161
pbde_85_ngml_detect,hilic,Di-unsaturated fatty acid beta-oxidation,5,5,1,0.54966,0.41475,1,0.054036,1649
pbde_85_ngml_detect,hilic,Lipoate metabolism,5,5,1,0.54966,0.41475,1,0.054036,5304
pbde_85_ngml_detect,hilic,Sialic acid metabolism,14,14,2,1.5391,0.4234,0.77519,0.055265,1571
pbde_85_ngml_detect,hilic,Vitamin B6 (pyridoxine) metabolism,15,15,2,1.649,0.45953,0.79807,0.060772,8930
pbde_85_ngml_detect,hilic,Vitamin B3 (nicotinate and nicotinamide) metabolism,25,25,3,2.7483,0.47386,0.73497,0.063138,5333
pbde_85_ngml_detect,hilic,Fatty Acid Metabolism,26,26,3,2.8582,0.50095,0.75498,0.067915,2287
pbde_85_ngml_detect,hilic,Urea cycle/amino group metabolism,76,76,8,8.3549,0.51433,0.65994,0.070436,8203
pbde_85_ngml_detect,hilic,Arachidonic acid metabolism,27,27,3,2.9682,0.52732,0.7737,0.072996,2012
pbde_85_ngml_detect,hilic,N-Glycan biosynthesis,7,7,1,0.76953,0.52797,1,0.073127,830
pbde_85_ngml_detect,hilic,Keratan sulfate degradation,7,7,1,0.76953,0.52797,1,0.073127,7424
pbde_85_ngml_detect,hilic,Heparan sulfate degradation,7,7,1,0.76953,0.52797,1,0.073127,4321
pbde_85_ngml_detect,hilic,Linoleate metabolism,47,47,5,5.1668,0.52798,0.71412,0.073129,9495
pbde_85_ngml_detect,hilic,Methionine and cysteine metabolism,28,28,3,3.0781,0.55293,0.79116,0.078381,3473
pbde_85_ngml_detect,hilic,Porphyrin metabolism,18,18,2,1.9788,0.55956,0.85377,0.079857,3082
pbde_85_ngml_detect,hilic,Nitrogen metabolism,8,8,1,0.87946,0.57615,1,0.083698,7568
pbde_85_ngml_detect,hilic,Ascorbate (Vitamin C) and Aldarate Metabolism,19,19,2,2.0887,0.58989,0.86871,0.087057,5434
pbde_85_ngml_detect,hilic,Aminosugars metabolism,19,19,2,2.0887,0.58989,0.86871,0.087057,3408
pbde_85_ngml_detect,hilic,Omega-3 fatty acid metabolism,9,9,1,0.98939,0.61945,1,0.094882,5869
pbde_85_ngml_detect,hilic,Aspartate and asparagine metabolism,83,83,8,9.1244,0.62079,0.75061,0.095259,8330
pbde_85_ngml_detect,hilic,Tyrosine metabolism,125,125,12,13.742,0.6335,0.73646,0.098921,9711
pbde_85_ngml_detect,hilic,Drug metabolism - cytochrome P450,32,32,3,3.5178,0.64676,0.84975,0.10294,7080
pbde_85_ngml_detect,hilic,Selenoamino acid metabolism,10,10,1,1.0993,0.65835,1,0.10662,1240
pbde_85_ngml_detect,hilic,Pyrimidine metabolism,44,44,4,4.837,0.66962,0.83789,0.11038,3781
pbde_85_ngml_detect,hilic,Limonene and pinene degradation,12,12,1,1.3192,0.72473,1,0.13154,9957
pbde_85_ngml_detect,hilic,Glutamate metabolism,12,12,1,1.3192,0.72473,1,0.13154,4460
pbde_85_ngml_detect,hilic,"Valine, leucine and isoleucine degradation",25,25,2,2.7483,0.73963,0.93138,0.13822,2235
pbde_85_ngml_detect,hilic,Phosphatidylinositol phosphate metabolism,15,15,1,1.649,0.80107,1,0.17163,7698
pbde_85_ngml_detect,hilic,TCA cycle,16,16,1,1.7589,0.82152,1,0.18548,4608
pbde_85_ngml_detect,hilic,Squalene and cholesterol biosynthesis,17,17,1,1.8689,0.83988,1,0.19951,4015
pbde_85_ngml_detect,hilic,Arginine and Proline Metabolism,44,44,3,4.837,0.84244,0.94737,0.2016,7302
pbde_85_ngml_detect,hilic,Histidine metabolism,32,32,2,3.5178,0.85337,0.96796,0.21095,9804
