exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pbde_num_detect,hilic,C21-steroid hormone biosynthesis and metabolism,58,58,12,5.9286,0.0057345,0.014775,0.013358,1
pbde_num_detect,hilic,Bile acid biosynthesis,28,28,7,2.8621,0.012152,0.039507,0.013577,53
pbde_num_detect,hilic,Porphyrin metabolism,18,18,5,1.8399,0.021439,0.079048,0.0139,11
pbde_num_detect,hilic,Linoleate metabolism,47,47,9,4.8042,0.026811,0.063788,0.01409,3392
pbde_num_detect,hilic,Glycerophospholipid metabolism,50,50,9,5.1109,0.038744,0.086149,0.014524,15
pbde_num_detect,hilic,Vitamin H (biotin) metabolism,4,4,2,0.40887,0.046592,0.32486,0.014817,0
pbde_num_detect,hilic,Lipoate metabolism,5,5,2,0.51109,0.072929,0.38816,0.015847,506
pbde_num_detect,hilic,Vitamin D3 (cholecalciferol) metabolism,12,12,3,1.2266,0.095694,0.31067,0.016802,272
pbde_num_detect,hilic,N-Glycan Degradation,6,6,2,0.61331,0.10279,0.44557,0.017112,1067
pbde_num_detect,hilic,Hexose phosphorylation,13,13,3,1.3288,0.11619,0.34648,0.017714,2842
pbde_num_detect,hilic,N-Glycan biosynthesis,7,7,2,0.71553,0.13529,0.49764,0.018614,73
pbde_num_detect,hilic,Keratan sulfate degradation,7,7,2,0.71553,0.13529,0.49764,0.018614,2093
pbde_num_detect,hilic,Heparan sulfate degradation,7,7,2,0.71553,0.13529,0.49764,0.018614,471
pbde_num_detect,hilic,Glycosphingolipid biosynthesis - globoseries,2,2,1,0.20444,0.17979,1,0.020911,965
pbde_num_detect,hilic,Omega-3 fatty acid metabolism,9,9,2,0.91996,0.20531,0.58768,0.022368,1165
pbde_num_detect,hilic,Squalene and cholesterol biosynthesis,17,17,3,1.7377,0.21099,0.48185,0.022707,139
pbde_num_detect,hilic,Fatty acid activation,36,36,5,3.6798,0.2468,0.43838,0.024983000000000002,122
pbde_num_detect,hilic,Parathio degradation,3,3,1,0.30665,0.25728,1,0.025697,5
pbde_num_detect,hilic,Starch and Sucrose Metabolism,3,3,1,0.30665,0.25728,1,0.025697,687
pbde_num_detect,hilic,Lysine metabolism,47,47,6,4.8042,0.27799,0.4519,0.027174,5799
pbde_num_detect,hilic,Androgen and estrogen biosynthesis and metabolism,30,30,4,3.0665,0.31158,0.54294,0.029777,2618
pbde_num_detect,hilic,De novo fatty acid biosynthesis,30,30,4,3.0665,0.31158,0.54294,0.029777,775
pbde_num_detect,hilic,Alkaloid biosynthesis II,12,12,2,1.2266,0.3148,0.69363,0.030041000000000002,3113
pbde_num_detect,hilic,Fatty acid oxidation,12,12,2,1.2266,0.3148,0.69363,0.030041000000000002,94
pbde_num_detect,hilic,Hyaluronan Metabolism,4,4,1,0.40887,0.32751,1,0.03111,1910
pbde_num_detect,hilic,"Fatty acid oxidation, peroxisome",4,4,1,0.40887,0.32751,1,0.03111,0
pbde_num_detect,hilic,Fructose and mannose metabolism,13,13,2,1.3288,0.35091,0.72256,0.033191,3261
pbde_num_detect,hilic,Aspartate and asparagine metabolism,83,83,9,8.4841,0.38045,0.52129,0.036049,6412
pbde_num_detect,hilic,Sialic acid metabolism,14,14,2,1.4311,0.38637,0.74878,0.036655,1418
pbde_num_detect,hilic,Chondroitin sulfate degradation,5,5,1,0.51109,0.39116,1,0.037153,2076
pbde_num_detect,hilic,Di-unsaturated fatty acid beta-oxidation,5,5,1,0.51109,0.39116,1,0.037153,928
pbde_num_detect,hilic,Caffeine metabolism,5,5,1,0.51109,0.39116,1,0.037153,6701
pbde_num_detect,hilic,Phytanic acid peroxisomal oxidation,5,5,1,0.51109,0.39116,1,0.037153,27
pbde_num_detect,hilic,Arginine and Proline Metabolism,44,44,5,4.4976,0.40187,0.60221,0.038297,2617
pbde_num_detect,hilic,Galactose metabolism,15,15,2,1.5333,0.42098,0.77254,0.040441,4716
pbde_num_detect,hilic,Vitamin B3 (nicotinate and nicotinamide) metabolism,25,25,3,2.5554,0.42459,0.69524,0.040862,5676
pbde_num_detect,hilic,Urea cycle/amino group metabolism,76,76,8,7.7686,0.42769,0.57846,0.041227,7887
pbde_num_detect,hilic,Glycosphingolipid biosynthesis - ganglioseries,6,6,1,0.61331,0.44883,1,0.04382,906
pbde_num_detect,hilic,Propanoate metabolism,6,6,1,0.61331,0.44883,1,0.04382,4407
pbde_num_detect,hilic,Polyunsaturated fatty acid biosynthesis,6,6,1,0.61331,0.44883,1,0.04382,2186
pbde_num_detect,hilic,Fatty Acid Metabolism,26,26,3,2.6577,0.4507,0.71616,0.044058,1751
pbde_num_detect,hilic,Drug metabolism - other enzymes,16,16,2,1.6355,0.45458,0.79408,0.044558,3354
pbde_num_detect,hilic,Pentose phosphate pathway,17,17,2,1.7377,0.48706,0.81359,0.049011,2379
pbde_num_detect,hilic,Purine metabolism,38,38,4,3.8843,0.48933,0.7067,0.049342,2112
pbde_num_detect,hilic,"Glycine, serine, alanine and threonine metabolism",49,49,5,5.0087,0.49876,0.68898,0.050741,2352
pbde_num_detect,hilic,Vitamin B5 - CoA biosynthesis from pantothenate,8,8,1,0.81774,0.54844,1,0.058957,7102
pbde_num_detect,hilic,Omega-6 fatty acid metabolism,9,9,1,0.91996,0.59133,1,0.067376,683
pbde_num_detect,hilic,Vitamin E metabolism,22,22,2,2.2488,0.63035,0.88685,0.076363,3312
pbde_num_detect,hilic,Xenobiotics metabolism,46,46,4,4.702,0.64631,0.82207,0.080469,7906
pbde_num_detect,hilic,Glycosphingolipid metabolism,23,23,2,2.351,0.65502,0.89763,0.082831,6735
pbde_num_detect,hilic,Glycolysis and Gluconeogenesis,11,11,1,1.1244,0.66537,1,0.085751,5206
pbde_num_detect,hilic,Ubiquinone Biosynthesis,11,11,1,1.1244,0.66537,1,0.085751,4466
pbde_num_detect,hilic,Vitamin B9 (folate) metabolism,12,12,1,1.2266,0.69724,1,0.095632,6164
pbde_num_detect,hilic,Limonene and pinene degradation,12,12,1,1.2266,0.69724,1,0.095632,9908
pbde_num_detect,hilic,Glutamate metabolism,12,12,1,1.2266,0.69724,1,0.095632,6216
pbde_num_detect,hilic,Glutathione Metabolism,13,13,1,1.3288,0.7261,1,0.10592,6568
pbde_num_detect,hilic,Arachidonic acid metabolism,27,27,2,2.7599,0.74086,0.93148,0.11176,4277
pbde_num_detect,hilic,Tyrosine metabolism,125,125,10,12.777,0.76639,0.85089,0.12297,9777
pbde_num_detect,hilic,Phosphatidylinositol phosphate metabolism,15,15,1,1.5333,0.77589,1,0.12755,7269
pbde_num_detect,hilic,Carnitine shuttle,30,30,2,3.0665,0.79277,0.94935,0.13631,6381
pbde_num_detect,hilic,Histidine metabolism,32,32,2,3.271,0.82213,0.95861,0.15379,9620
pbde_num_detect,hilic,Drug metabolism - cytochrome P450,32,32,2,3.271,0.82213,0.95861,0.15379,8409
pbde_num_detect,hilic,Beta-Alanine metabolism,18,18,1,1.8399,0.83425,1,0.16203,7805
pbde_num_detect,hilic,Aminosugars metabolism,19,19,1,1.9421,0.85014,1,0.17391,7554
pbde_num_detect,hilic,Alanine and Aspartate Metabolism,20,20,1,2.0444,0.86452,1,0.18592,9950
pbde_num_detect,hilic,Leukotriene metabolism,24,24,1,2.4532,0.90958,1,0.23473,8235
pbde_num_detect,hilic,Pyrimidine metabolism,44,44,2,4.4976,0.93235,0.98778,0.26972,9155
pbde_num_detect,hilic,Tryptophan metabolism,93,93,5,9.5063,0.95241,0.98208,0.31139,9828
