exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pcb_180_ngml_detect,c18,Prostaglandin formation from dihomo gama-linoleic acid,8,8,2,0.14713,0.0072151,0.12155,5.6671e-4,81
pcb_180_ngml_detect,c18,Arachidonic acid metabolism,31,31,3,0.57011,0.013722,0.085126,5.8242e-4,144
pcb_180_ngml_detect,c18,Fructose and mannose metabolism,12,12,2,0.22069,0.01634,0.17701,5.8888e-4,197
pcb_180_ngml_detect,c18,Fatty Acid Metabolism,15,15,2,0.27586,0.02523,0.21644,6.1134e-4,110
pcb_180_ngml_detect,c18,Leukotriene metabolism,41,41,3,0.75402,0.029291,0.13696,6.219e-4,126
pcb_180_ngml_detect,c18,Prostaglandin formation from arachidonate,44,44,3,0.8092,0.035259,0.15374,6.3776e-4,425
pcb_180_ngml_detect,c18,C21-steroid hormone biosynthesis and metabolism,49,49,3,0.90115,0.046534,0.18261,6.6888e-4,397
pcb_180_ngml_detect,c18,Carbon fixation,5,5,1,0.091954,0.082683,1,7.7978e-4,31
pcb_180_ngml_detect,c18,Fatty acid activation,29,29,2,0.53333,0.084893,0.37824,7.8715e-4,188
pcb_180_ngml_detect,c18,Glyoxylate and Dicarboxylate Metabolism,6,6,1,0.11034,0.098431,1,8.3394e-4,8
pcb_180_ngml_detect,c18,Pyruvate Metabolism,8,8,1,0.14713,0.12917,1,9.5128e-4,17
pcb_180_ngml_detect,c18,Butanoate metabolism,9,9,1,0.16552,0.14417,1,0.0010147,444
pcb_180_ngml_detect,c18,Pentose phosphate pathway,12,12,1,0.22069,0.18772,1,0.0012252,1327
pcb_180_ngml_detect,c18,Galactose metabolism,17,17,1,0.31264,0.25573,1,0.0016509,929
pcb_180_ngml_detect,c18,Glycolysis and Gluconeogenesis,18,18,1,0.33103,0.26867,1,0.0017483,1803
pcb_180_ngml_detect,c18,Carnitine shuttle,25,25,1,0.45977,0.35354,1,0.0025593,1450
pcb_180_ngml_detect,c18,Linoleate metabolism,31,31,1,0.57011,0.41884,1,0.0034558,3840
pcb_180_ngml_detect,c18,Urea cycle/amino group metabolism,33,33,1,0.6069,0.4392,1,0.0038006,4050
pcb_180_ngml_detect,c18,Aspartate and asparagine metabolism,37,37,1,0.68046,0.47792,1,0.0045643,3876
pcb_180_ngml_detect,c18,Glycerophospholipid metabolism,45,45,1,0.82759,0.54797,1,0.0064105,3339
