exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pcb_180_ngml_detect,hilic,Histidine metabolism,32,32,4,1.0183,0.012399,0.05938,0.001178,1070
pcb_180_ngml_detect,hilic,Glycosphingolipid metabolism,23,23,3,0.73192,0.027366,0.13717,0.0012508,292
pcb_180_ngml_detect,hilic,"Valine, leucine and isoleucine degradation",25,25,3,0.79556,0.034149,0.15712,0.0012854,51
pcb_180_ngml_detect,hilic,Porphyrin metabolism,18,18,2,0.57281,0.095442,0.40781,0.0016463,172
pcb_180_ngml_detect,hilic,Beta-Alanine metabolism,18,18,2,0.57281,0.095442,0.40781,0.0016463,447
pcb_180_ngml_detect,hilic,3-oxo-10R-octadecatrienoate beta-oxidation,5,5,1,0.15911,0.13866,1,0.0019635,134
pcb_180_ngml_detect,hilic,Polyunsaturated fatty acid biosynthesis,6,6,1,0.19094,0.16406,1,0.0021794,604
pcb_180_ngml_detect,hilic,Prostaglandin formation from dihomo gama-linoleic acid,6,6,1,0.19094,0.16406,1,0.0021794,152
pcb_180_ngml_detect,hilic,"Glycine, serine, alanine and threonine metabolism",49,49,3,1.5593,0.17048,0.41127,0.0022378,1166
pcb_180_ngml_detect,hilic,Prostaglandin formation from arachidonate,26,26,2,0.82739,0.17565,0.53213,0.0022861,220
pcb_180_ngml_detect,hilic,Arachidonic acid metabolism,27,27,2,0.85921,0.18637,0.54576,0.0023895,637
pcb_180_ngml_detect,hilic,Butanoate metabolism,29,29,2,0.92285,0.20807,0.57189,0.0026146,1782
pcb_180_ngml_detect,hilic,Androgen and estrogen biosynthesis and metabolism,30,30,2,0.95468,0.21904,0.5844,0.0027367,1570
pcb_180_ngml_detect,hilic,De novo fatty acid biosynthesis,30,30,2,0.95468,0.21904,0.5844,0.0027367,701
pcb_180_ngml_detect,hilic,Fatty acid activation,36,36,2,1.1456,0.2856,0.65235,0.0036203,552
pcb_180_ngml_detect,hilic,Tryptophan metabolism,93,93,4,2.9595,0.28861,0.50254,0.0036668,3705
pcb_180_ngml_detect,hilic,Glutamate metabolism,12,12,1,0.38187,0.30189,1,0.0038797,2326
pcb_180_ngml_detect,hilic,Vitamin B6 (pyridoxine) metabolism,15,15,1,0.47734,0.36227,1,0.0050292,4170
pcb_180_ngml_detect,hilic,Xenobiotics metabolism,46,46,2,1.4638,0.39517,0.7424,0.0058053,3525
pcb_180_ngml_detect,hilic,Glycerophospholipid metabolism,50,50,2,1.5911,0.43718,0.77169,0.0069905,2575
pcb_180_ngml_detect,hilic,Leukotriene metabolism,24,24,1,0.76374,0.51457,1,0.0099271,3524
pcb_180_ngml_detect,hilic,C21-steroid hormone biosynthesis and metabolism,58,58,2,1.8457,0.51652,0.82091,0.010017,1810
pcb_180_ngml_detect,hilic,Fatty Acid Metabolism,26,26,1,0.82739,0.54327,1,0.011344,2724
pcb_180_ngml_detect,hilic,Carnitine shuttle,30,30,1,0.95468,0.59582,1,0.014563,3919
pcb_180_ngml_detect,hilic,Drug metabolism - cytochrome P450,32,32,1,1.0183,0.61984,1,0.016371,5058
pcb_180_ngml_detect,hilic,Urea cycle/amino group metabolism,76,76,2,2.4185,0.66759,0.89699,0.020786,8654
pcb_180_ngml_detect,hilic,Purine metabolism,38,38,1,1.2093,0.68391,1,0.022604,5421
pcb_180_ngml_detect,hilic,Pyrimidine metabolism,44,44,1,1.4002,0.73745,1,0.030049,7339
pcb_180_ngml_detect,hilic,Linoleate metabolism,47,47,1,1.4957,0.76081,1,0.034215,8455
pcb_180_ngml_detect,hilic,Aspartate and asparagine metabolism,83,83,1,2.6413,0.92344,1,0.10279,9628
pcb_180_ngml_detect,hilic,Tyrosine metabolism,125,125,1,3.9778,0.98076,1,0.20418,9819
