exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pcb_num_detect,c18,TCA cycle,16,16,3,0.73563,0.027435,0.1404,0.0052174,125
pcb_num_detect,c18,Xenobiotics metabolism,37,37,4,1.7011,0.067876,0.19604,0.0059214,2859
pcb_num_detect,c18,Hexose phosphorylation,11,11,2,0.50575,0.076614,0.37513,0.0060864,97
pcb_num_detect,c18,C5-Branched dibasic acid metabolism,2,2,1,0.091954,0.0836,1,0.0062219,153
pcb_num_detect,c18,Mono-unsaturated fatty acid beta-oxidation,2,2,1,0.091954,0.0836,1,0.0062219,0
pcb_num_detect,c18,Methionine and cysteine metabolism,25,25,3,1.1494,0.086445,0.2794,0.0062779,507
pcb_num_detect,c18,Tyrosine metabolism,93,93,7,4.2759,0.091918,0.1817,0.0063873,3152
pcb_num_detect,c18,C21-steroid hormone biosynthesis and metabolism,49,49,4,2.2529,0.15107,0.33412,0.0077091,1542
pcb_num_detect,c18,Pyrimidine metabolism,39,39,3,1.7931,0.22934,0.49085,0.0099284,554
pcb_num_detect,c18,Vitamin B1 (thiamin) metabolism,6,6,1,0.27586,0.23086,1,0.0099776,514
pcb_num_detect,c18,Omega-6 fatty acid metabolism,6,6,1,0.27586,0.23086,1,0.0099776,91
pcb_num_detect,c18,Phytanic acid peroxisomal oxidation,6,6,1,0.27586,0.23086,1,0.0099776,140
pcb_num_detect,c18,Omega-3 fatty acid metabolism,7,7,1,0.32184,0.26391,1,0.011121,2744
pcb_num_detect,c18,Porphyrin metabolism,7,7,1,0.32184,0.26391,1,0.011121,1865
pcb_num_detect,c18,Carnitine shuttle,25,25,2,1.1494,0.28955,0.65938,0.012106,422
pcb_num_detect,c18,Drug metabolism - other enzymes,25,25,2,1.1494,0.28955,0.65938,0.012106,2252
pcb_num_detect,c18,D4&E4-neuroprostanes formation,8,8,1,0.36782,0.29557,1,0.012351000000000001,1762
pcb_num_detect,c18,Putative anti-Inflammatory metabolites formation from EPA,10,10,1,0.45977,0.35495,1,0.015081,2607
pcb_num_detect,c18,Biopterin metabolism,10,10,1,0.45977,0.35495,1,0.015081,1880
pcb_num_detect,c18,Squalene and cholesterol biosynthesis,11,11,1,0.50575,0.38279,1,0.016585,1360
pcb_num_detect,c18,Ascorbate (Vitamin C) and Aldarate Metabolism,11,11,1,0.50575,0.38279,1,0.016585,6699
pcb_num_detect,c18,Linoleate metabolism,31,31,2,1.4253,0.3856,0.73814,0.016746,4922
pcb_num_detect,c18,Purine metabolism,54,54,3,2.4828,0.40917,0.67181,0.018167,2801
pcb_num_detect,c18,Fructose and mannose metabolism,12,12,1,0.55172,0.40945,1,0.018184,3348
pcb_num_detect,c18,Urea cycle/amino group metabolism,33,33,2,1.5172,0.41655,0.76021,0.018639,5739
pcb_num_detect,c18,Arginine and Proline Metabolism,14,14,1,0.64368,0.45944,1,0.02167,2604
pcb_num_detect,c18,Phosphatidylinositol phosphate metabolism,14,14,1,0.64368,0.45944,1,0.02167,2915
pcb_num_detect,c18,Galactose metabolism,17,17,1,0.78161,0.52679,1,0.02763,1983
pcb_num_detect,c18,Aminosugars metabolism,17,17,1,0.78161,0.52679,1,0.02763,1646
pcb_num_detect,c18,Glycolysis and Gluconeogenesis,18,18,1,0.82759,0.54736,1,0.029812,4428
pcb_num_detect,c18,Drug metabolism - cytochrome P450,19,19,1,0.87356,0.56707,1,0.032092,6445
pcb_num_detect,c18,Prostaglandin formation from arachidonate,44,44,2,2.023,0.57147,0.85279,0.03263,4384
pcb_num_detect,c18,Androgen and estrogen biosynthesis and metabolism,25,25,1,1.1494,0.66886,1,0.047774,4655
pcb_num_detect,c18,Leukotriene metabolism,41,41,1,1.8851,0.83942,1,0.10394,4439
pcb_num_detect,c18,Tryptophan metabolism,54,54,1,2.4828,0.91168,1,0.15964,9452
