exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pcb_num_detect,hilic,Sialic acid metabolism,14,14,5,0.93153,9.7966e-4,0.0077404,0.0032271,1
pcb_num_detect,hilic,Glycosphingolipid biosynthesis - globoseries,2,2,2,0.13308,0.0037172,0.11739,0.003257,0
pcb_num_detect,hilic,N-Glycan Degradation,6,6,3,0.39923,0.0038782,0.046186,0.0032587,42
pcb_num_detect,hilic,Keratan sulfate degradation,7,7,3,0.46577,0.0064893,0.06217,0.0032875,131
pcb_num_detect,hilic,Heparan sulfate degradation,7,7,3,0.46577,0.0064893,0.06217,0.0032875,11
pcb_num_detect,hilic,Galactose metabolism,15,15,4,0.99807,0.010613,0.057081,0.0033335,144
pcb_num_detect,hilic,Phosphatidylinositol phosphate metabolism,15,15,4,0.99807,0.010613,0.057081,0.0033335,91
pcb_num_detect,hilic,Urea cycle/amino group metabolism,76,76,10,5.0569,0.014201,0.034274,0.0033741,889
pcb_num_detect,hilic,Pentose phosphate pathway,17,17,4,1.1311,0.016854,0.078277,0.0034045,80
pcb_num_detect,hilic,Hyaluronan Metabolism,4,4,2,0.26615,0.020566,0.22117,0.0034474,109
pcb_num_detect,hilic,Lysine metabolism,47,47,7,3.1273,0.021114,0.058819,0.0034538,673
pcb_num_detect,hilic,Butanoate metabolism,29,29,5,1.9296,0.028215,0.092715,0.0035377,154
pcb_num_detect,hilic,Glycerophospholipid metabolism,50,50,7,3.3269,0.028925,0.075487,0.0035462,49
pcb_num_detect,hilic,Lipoate metabolism,5,5,2,0.33269,0.032925,0.26846,0.0035945,65
pcb_num_detect,hilic,Arginine and Proline Metabolism,44,44,6,2.9277,0.047437,0.12118,0.0037758,678
pcb_num_detect,hilic,Glycosphingolipid biosynthesis - ganglioseries,6,6,2,0.39923,0.047449,0.31291,0.0037759,6
pcb_num_detect,hilic,Glycosphingolipid metabolism,23,23,4,1.5304,0.047467,0.158,0.0037762,478
pcb_num_detect,hilic,Glycosphingolipid biosynthesis - lactoseries,1,1,1,0.066538,0.061388,1,0.0039591,0
pcb_num_detect,hilic,Blood Group Biosynthesis,1,1,1,0.066538,0.061388,1,0.0039591,0
pcb_num_detect,hilic,Glycosphingolipid biosynthesis - neolactoseries,1,1,1,0.066538,0.061388,1,0.0039591,0
pcb_num_detect,hilic,Keratan sulfate biosynthesis,1,1,1,0.066538,0.061388,1,0.0039591,0
pcb_num_detect,hilic,O-Glycan biosynthesis,1,1,1,0.066538,0.061388,1,0.0039591,0
pcb_num_detect,hilic,N-Glycan biosynthesis,7,7,2,0.46577,0.063833,0.3547,0.0039922,67
pcb_num_detect,hilic,Ascorbate (Vitamin C) and Aldarate Metabolism,19,19,3,1.2642,0.10592,0.32094,0.0046102,829
pcb_num_detect,hilic,Aminosugars metabolism,19,19,3,1.2642,0.10592,0.32094,0.0046102,437
