"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Arachidonic acid metabolism","24","24","9","3.2901","0.0016958","0.0068045","0.02478","130","0.013","P1","EC000654;EC000257;EC000149;EC000815;EC000816;EC000813;EC000814;EC000586;EC000788"
"Vitamin A (retinol) metabolism","14","14","6","1.9192","0.0049178","0.023632","0.024959","40","0.004","P2","EC000679;EC000837;EC000867;EC000838;EC000730;EC00019"
"Putative anti-Inflammatory metabolites formation from EPA","11","11","5","1.508","0.0077471","0.04011","0.025118","32","0.0032","P3","EC000788;EC000837;EC000813;EC000814;EC000463"
"Prostaglandin formation from arachidonate","48","48","12","6.5802","0.013582","0.031905","0.025448","29","0.0029","P4","EC000145;EC000149;EC000564;EC000257;EC000645;EC000743;EC000813;EC000814;EC000568;EC000566;EC000626;EC000837"
"Fatty acid activation","38","38","10","5.2094","0.016637","0.041771","0.025623","105","0.0105","P5","EC000856;EC000988;EC000985;EC000220;EC0001008;EC00014;EC000586;EC000583;EC00094;EC000412"
"Leukotriene metabolism","35","35","9","4.7981","0.026456","0.064758","0.026194","176","0.0176","P6","EC000257;EC000788;EC000813;EC000814;EC000878;EC000149;EC000743;EC000955;EC000844"
"Phosphatidylinositol phosphate metabolism","12","12","4","1.6451","0.055751","0.18724","0.027983","233","0.0233","P7","EC000456;EC00019;EC000313;EC000682"
"Linoleate metabolism","34","34","8","4.661","0.057956","0.12843","0.028123","297","0.0297","P8","EC000467;EC000948;EC00019;EC000652;EC000649;EC000650;EC000903;EC000586"
"De novo fatty acid biosynthesis","20","20","5","2.7418","0.10068","0.24224","0.030992","920","0.092","P9","EC000220;EC000586;EC000589;EC000616;EC000412"
"Keratan sulfate degradation","5","5","2","0.68544","0.12533","0.49361","0.032794","4895","0.4895","P10","EC00019;EC000264"
"Glycosphingolipid biosynthesis - lactoseries","1","1","1","0.13709","0.12798","1","0.032994","0","0","P11","EC00019"
"Blood Group Biosynthesis","1","1","1","0.13709","0.12798","1","0.032994","0","0","P12","EC00019"
"Glycosphingolipid biosynthesis - neolactoseries","1","1","1","0.13709","0.12798","1","0.032994","0","0","P13","EC00019"
"3-Chloroacrylic acid degradation","1","1","1","0.13709","0.12798","1","0.032994","0","0","P14","EC000599"
"O-Glycan biosynthesis","1","1","1","0.13709","0.12798","1","0.032994","0","0","P15","EC00019"
"Benzoate degradation via CoA ligation","1","1","1","0.13709","0.12798","1","0.032994","0","0","P16","EC00059"
"C21-steroid hormone biosynthesis and metabolism","48","48","9","6.5802","0.14836","0.25638","0.034582","467","0.0467","P17","EC000513;EC000354;EC000510;EC00019;EC000226;EC000515;EC000457;EC000485;EC000486"
"Galactose metabolism","19","19","4","2.6047","0.21755","0.44156","0.040644","874","0.0874","P18","EC000237;EC00048;EC00019;EC00036"
