"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Tyrosine metabolism","151","151","30","17.656","0.00027862","0.0005837","0.014539","6833","0.6833","P1","EC0001078;EC000373;EC000375;EC00019;EC000339;EC000661;EC000571;EC000310;EC00052;EC00055;EC000909;EC0001194;EC00040;EC000663;EC00057;EC0001175;EC000279;EC00035;EC000772;EC000223;EC000927;EC000322;EC00089;EC000508;EC000783;EC000782;EC000789;EC000326;EC0001103;EC0001105"
"TCA cycle","11","11","4","1.2862","0.023195","0.10379","0.015362","4","4e-04","P2","EC000241;EC00046;EC000167;EC00025"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","34","34","8","3.9756","0.023471","0.06199","0.015372","128","0.0128","P3","EC00019;EC00035;EC0002;EC000625;EC000835;EC000114;EC000116;EC00030"
"Tryptophan metabolism","113","113","19","13.213","0.026513","0.046604","0.015486","4735","0.4735","P4","EC00019;EC000204;EC000811;EC000367;EC000567;EC000819;EC000240;EC000342;EC00050;EC000488;EC000804;EC0001078;EC0001099;EC000528;EC0001228;EC000797;EC000421;EC000335;EC000514"
"Urea cycle/amino group metabolism","92","92","16","10.757","0.030649","0.056285","0.015641","7184","0.7184","P5","EC00019;EC000508;EC000260;EC000279;EC00043;EC000212;EC0001130;EC000255;EC000483;EC000484;EC000373;EC000375;EC00030;EC00049;EC000243;EC000244"
"Pyrimidine metabolism","63","63","12","7.3665","0.031117","0.063864","0.015658","2","2e-04","P6","EC00068;EC000455;EC00035;EC000241;EC00019;EC000410;EC000249;EC000212;EC000402;EC00046;EC00025;EC00030"
"Biopterin metabolism","14","14","4","1.637","0.054524","0.18146","0.016571","3100","0.31","P7","EC000625;EC00052;EC00055;EC00057"
"Glycine, serine, alanine and threonine metabolism","69","69","12","8.0681","0.058213","0.1083","0.01672","86","0.0086","P8","EC00019;EC000212;EC0001150;EC00043;EC000255;EC00049;EC000167;EC000859;EC000126;EC000319;EC0001058;EC000560"
"Nitrogen metabolism","10","10","3","1.1693","0.083151","0.29037","0.017767","3974","0.3974","P9","EC00019;EC00035;EC00030"
"Vitamin H (biotin) metabolism","5","5","2","0.58464","0.092511","0.43212","0.018178","35","0.0035","P10","EC00027;EC00029"
"Histidine metabolism","38","38","7","4.4433","0.10485","0.21271","0.018736","1095","0.1095","P11","EC00019;EC000652;EC000369;EC000828;EC00092;EC000724;EC000239"
"Sphingolipid metabolism","1","1","1","0.11693","0.10763","1","0.018864","0","0","P12","EC000311"
"Lipoate metabolism","6","6","2","0.70157","0.12921","0.49303","0.019894","512","0.0512","P13","EC00027;EC00029"
"Arachidonic acid metabolism","19","19","4","2.2216","0.13905","0.33138","0.020384","41","0.0041","P14","EC00019;EC000977;EC000338;EC00089"
"Glutamate metabolism","19","19","4","2.2216","0.13905","0.33138","0.020384","42","0.0042","P15","EC00019;EC00089;EC000212;EC00035"
"Beta-Alanine metabolism","20","20","4","2.3386","0.16007","0.36216","0.021477","0","0","P16","EC00019;EC000212;EC00092;EC00030"
"Aspartate and asparagine metabolism","109","109","15","12.745","0.1831","0.2661","0.022749","2240","0.224","P17","EC00019;EC000260;EC000255;EC000442;EC00049;EC000212;EC00030;EC000243;EC000244;EC00035;EC000619;EC000641;EC00089;EC00027;EC00029"
"Arginine and Proline Metabolism","53","53","8","6.1972","0.20234","0.33459","0.023877","7570","0.757","P18","EC00019;EC00043;EC000255;EC00035;EC00030;EC000850;EC000243;EC000244"
"Glycosphingolipid biosynthesis - lactoseries","2","2","1","0.23386","0.20375","1","0.023962","0","0","P19","EC00025"
"Blood Group Biosynthesis","2","2","1","0.23386","0.20375","1","0.023962","0","0","P20","EC00025"
"Electron transport chain","2","2","1","0.23386","0.20375","1","0.023962","1733","0.1733","P21","EC000241"
"Glycosphingolipid biosynthesis - neolactoseries","2","2","1","0.23386","0.20375","1","0.023962","0","0","P22","EC00025"
"Benzoate degradation via CoA ligation","2","2","1","0.23386","0.20375","1","0.023962","0","0","P23","EC000104"
"Valine, leucine and isoleucine degradation","30","30","5","3.5079","0.21424","0.40125","0.024605","7","7e-04","P24","EC00019;EC00085;EC000159;EC000167;EC000212"
"Ascorbate (Vitamin C) and Aldarate Metabolism","16","16","3","1.8709","0.24327","0.52331","0.026489","353","0.0353","P25","EC00089;EC000326;EC00040"
"Vitamin B9 (folate) metabolism","10","10","2","1.1693","0.29351","0.67829","0.030147","1632","0.1632","P26","EC00019;EC000249"
"Carbon fixation","10","10","2","1.1693","0.29351","0.67829","0.030147","2482","0.2482","P27","EC00046;EC00030"
"Drug metabolism - cytochrome P450","34","34","5","3.9756","0.29962","0.50076","0.03063","5447","0.5447","P28","EC0001026;EC0001035;EC000797;EC0001032;EC0001039"
"Linoleate metabolism","43","43","6","5.0279","0.31357","0.49354","0.031764","9574","0.9574","P29","EC00089;EC0001095;EC0001213;EC0001215;EC000920;EC00040"
"Glycolysis and Gluconeogenesis","27","27","4","3.1571","0.32971","0.56416","0.033139","2309","0.2309","P30","EC00025;EC000407;EC00046;EC000167"
"Lysine metabolism","44","44","6","5.1449","0.33363","0.51489","0.033482","9552","0.9552","P31","EC00019;EC00027;EC00029;EC000243;EC000244;EC000167"
"Alkaloid biosynthesis II","11","11","2","1.2862","0.33526","0.71293","0.033626","667","0.0667","P32","EC000520;EC000137"
"Fatty acid oxidation","11","11","2","1.2862","0.33526","0.71293","0.033626","139","0.0139","P33","EC000241;EC0001143"
"Glutathione Metabolism","19","19","3","2.2216","0.33578","0.61948","0.033673","216","0.0216","P34","EC00019;EC00089;EC000520"
"Purine metabolism","45","45","6","5.2618","0.35385","0.53587","0.035323","1305","0.1305","P35","EC00019;EC00025;EC00046;EC00035;EC00030;EC00040"
"Alanine and Aspartate Metabolism","21","21","3","2.4555","0.39756","0.67495","0.039714","6575","0.6575","P36","EC00019;EC00035;EC00030"
"C5-Branched dibasic acid metabolism","5","5","1","0.58464","0.43467","1","0.043948","0","0","P37","EC00025"
"D4&E4-neuroprostanes formation","5","5","1","0.58464","0.43467","1","0.043948","343","0.0343","P38","EC00040"
