"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Pentose phosphate pathway","12","12","3","0.93793","0.05009","0.20954","0.014265","271","0.0271","P1","EC000593;EC000594;EC00018"
"Fatty acid oxidation, peroxisome","1","1","1","0.078161","0.072572","1","0.015119","0","0","P2","EC000333"
"Glycosphingolipid biosynthesis - ganglioseries","7","7","2","0.54713","0.085959","0.40611","0.015654","404","0.0404","P3","EC00018;EC00023"
"Glycerophospholipid metabolism","45","45","6","3.5172","0.10002","0.21326","0.016239","197","0.0197","P4","EC000289;EC000538;EC00035;EC000208;EC000209;EC00018"
"Drug metabolism - other enzymes","25","25","4","1.954","0.10086","0.2627","0.016274","618","0.0618","P5","EC000671;EC000668;EC000663;EC000572"
"Galactose metabolism","17","17","3","1.3287","0.11955","0.34628","0.01709","51","0.0051","P6","EC00018;EC00046;EC000319"
"Glycosphingolipid metabolism","17","17","3","1.3287","0.11955","0.34628","0.01709","129","0.0129","P7","EC00018;EC000538;EC00023"
"Starch and Sucrose Metabolism","9","9","2","0.70345","0.13422","0.48864","0.017761","510","0.051","P8","EC000319;EC00018"
"Keratan sulfate biosynthesis","2","2","1","0.15632","0.13995","1","0.018031","1585","0.1585","P9","EC00023"
"Proteoglycan biosynthesis","2","2","1","0.15632","0.13995","1","0.018031","1585","0.1585","P10","EC00023"
"Vitamin B12 (cyanocobalamin) metabolism","2","2","1","0.15632","0.13995","1","0.018031","23","0.0023","P11","EC000238"
"Vitamin D3 (cholecalciferol) metabolism","10","10","2","0.78161","0.16019","0.52556","0.019022","279","0.0279","P12","EC000683;EC000738"
"Ascorbate (Vitamin C) and Aldarate Metabolism","11","11","2","0.85977","0.18699","0.55985","0.020427","5529","0.5529","P13","EC000341;EC000905"
"Vitamin E metabolism","21","21","3","1.6414","0.1908","0.45062","0.020636","143","0.0143","P14","EC000869;EC000785;EC000903"
"Fatty acid oxidation","3","3","1","0.23448","0.2025","1","0.021292","1749","0.1749","P15","EC000333"
"1- and 2-Methylnaphthalene degradation","3","3","1","0.23448","0.2025","1","0.021292","3844","0.3844","P16","EC000379"
"Fructose and mannose metabolism","12","12","2","0.93793","0.21437","0.5917","0.021981","2012","0.2012","P17","EC00018;EC000758"
"Tyrosine metabolism","93","93","9","7.269","0.22365","0.34368","0.022537","6316","0.6316","P18","EC000830;EC000490;EC000540;EC000766;EC00097;EC000544;EC000692;EC000501;EC00023"
"Bile acid biosynthesis","23","23","3","1.7977","0.2298","0.49931","0.022914","13","0.0013","P19","EC000401;EC000465;EC000683"
"Chondroitin sulfate degradation","4","4","1","0.31264","0.26056","1","0.024909","838","0.0838","P20","EC00018"
"Glycosphingolipid biosynthesis - globoseries","4","4","1","0.31264","0.26056","1","0.024909","1074","0.1074","P21","EC00018"
"N-Glycan biosynthesis","14","14","2","1.0943","0.27002","0.64874","0.02556","976","0.0976","P22","EC00046;EC00018"
"Methionine and cysteine metabolism","25","25","3","1.954","0.27017","0.54523","0.025571","1988","0.1988","P23","EC00023;EC000163;EC000518"
"Saturated fatty acids beta-oxidation","5","5","1","0.3908","0.31445","1","0.028889","520","0.052","P24","EC000333"
"Heparan sulfate degradation","5","5","1","0.3908","0.31445","1","0.028889","1689","0.1689","P25","EC00018"
"Fatty acid activation","29","29","3","2.2667","0.35269","0.62819","0.032149","1215","0.1215","P26","EC000333;EC000545;EC000386"
"Tryptophan metabolism","54","54","5","4.2207","0.35363","0.55036","0.032234","5645","0.5645","P27","EC000701;EC000498;EC000501;EC00097;EC00018"
"Keratan sulfate degradation","6","6","1","0.46897","0.36447","1","0.033235","3364","0.3364","P28","EC00018"
"Glycolysis and Gluconeogenesis","18","18","2","1.4069","0.38026","0.74028","0.034758","2597","0.2597","P29","EC00084;EC00018"
"De novo fatty acid biosynthesis","19","19","2","1.4851","0.4069","0.75922","0.037512","2041","0.2041","P30","EC000333;EC000386"
"N-Glycan Degradation","7","7","1","0.54713","0.41089","1","0.037946","1659","0.1659","P31","EC00018"
"Pyruvate Metabolism","8","8","1","0.62529","0.45397","1","0.043017","57","0.0057","P32","EC000180"
"Vitamin B5 - CoA biosynthesis from pantothenate","8","8","1","0.62529","0.45397","1","0.043017","2398","0.2398","P33","EC00046"
"Caffeine metabolism","8","8","1","0.62529","0.45397","1","0.043017","5585","0.5585","P34","EC00018"
"Vitamin B6 (pyridoxine) metabolism","8","8","1","0.62529","0.45397","1","0.043017","5630","0.563","P35","EC000191"
"Selenoamino acid metabolism","8","8","1","0.62529","0.45397","1","0.043017","4600","0.46","P36","EC000191"
"C21-steroid hormone biosynthesis and metabolism","49","49","4","3.8299","0.48277","0.69744","0.04685","4957","0.4957","P37","EC000401;EC000907;EC000338;EC00023"
"Xenobiotics metabolism","37","37","3","2.892","0.51225","0.75875","0.051197","8910","0.891","P38","EC000232;EC00023;EC000623"
"Aspartate and asparagine metabolism","37","37","3","2.892","0.51225","0.75875","0.051197","6543","0.6543","P39","EC00058;EC000715;EC000522"
"Biopterin metabolism","10","10","1","0.78161","0.53102","1","0.054215","2445","0.2445","P40","EC00097"
"Carnitine shuttle","25","25","2","1.954","0.55357","0.84739","0.058129","1359","0.1359","P41","EC00015;EC000686"
"Sialic acid metabolism","11","11","1","0.85977","0.56542","1","0.060322","1644","0.1644","P42","EC00018"
"Hexose phosphorylation","11","11","1","0.85977","0.56542","1","0.060322","1948","0.1948","P43","EC00018"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","11","11","1","0.85977","0.56542","1","0.060322","1726","0.1726","P44","EC000290"
"Valine, leucine and isoleucine degradation","12","12","1","0.93793","0.59733","1","0.066752","4780","0.478","P45","EC000452"
"Arginine and Proline Metabolism","14","14","1","1.0943","0.65439","1","0.080517","5142","0.5142","P46","EC00058"
"Phosphatidylinositol phosphate metabolism","14","14","1","1.0943","0.65439","1","0.080517","5493","0.5493","P47","EC00018"
"Histidine metabolism","15","15","1","1.1724","0.67985","1","0.087821","5600","0.56","P48","EC000728"
"Fatty Acid Metabolism","15","15","1","1.1724","0.67985","1","0.087821","6018","0.6018","P49","EC000333"
"Lysine metabolism","16","16","1","1.2506","0.70346","1","0.095383","9052","0.9052","P50","EC000289"
"Pyrimidine metabolism","39","39","2","3.0483","0.79174","0.94798","0.13295","5178","0.5178","P51","EC000215;EC00046"
"Androgen and estrogen biosynthesis and metabolism","25","25","1","1.954","0.85177","1","0.17206","6961","0.6961","P52","EC00023"
"Linoleate metabolism","31","31","1","2.423","0.90701","1","0.22781","9455","0.9455","P53","EC000575"
"Urea cycle/amino group metabolism","33","33","1","2.5793","0.92045","1","0.24659","9753","0.9753","P54","EC00058"
"Glycine, serine, alanine and threonine metabolism","37","37","1","2.892","0.94185","1","0.28398","7861","0.7861","P55","EC000720"
"Prostaglandin formation from arachidonate","44","44","1","3.4391","0.96651","1","0.3477","8930","0.893","P56","EC000530"
"Purine metabolism","54","54","1","4.2207","0.9849","1","0.43254","9584","0.9584","P57","EC000103"
