"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Glycosphingolipid metabolism","23","23","6","1.8852","0.0055559","0.023806","0.01053","33","0.0033","P1","EC000291;EC00020;EC000171;EC000537;EC000856;EC000546"
"Parathio degradation","3","3","2","0.2459","0.016133","0.20803","0.010831","0","0","P2","EC000810;EC000371"
"Glycosphingolipid biosynthesis - ganglioseries","6","6","2","0.4918","0.069436","0.37319","0.012499","9","9e-04","P3","EC00020;EC000537"
"Histidine metabolism","32","32","5","2.623","0.087404","0.21221","0.013123","3790","0.379","P4","EC000345;EC000756;EC00076;EC000666;EC000213"
"Drug metabolism - cytochrome P450","32","32","5","2.623","0.087404","0.21221","0.013123","1012","0.1012","P5","EC000926;EC000813;EC000918;EC000934;EC000731"
"Arginine and Proline Metabolism","44","44","6","3.6066","0.10807","0.22707","0.013881","484","0.0484","P6","EC000176;EC000583;EC000584;EC00038;EC000234;EC000236"
"Glycosphingolipid biosynthesis - globoseries","2","2","1","0.16393","0.14559","1","0.015383","788","0.0788","P7","EC00020"
"Dynorphin metabolism","2","2","1","0.16393","0.14559","1","0.015383","267","0.0267","P8","EC0001031"
"Sphingolipid metabolism","2","2","1","0.16393","0.14559","1","0.015383","336","0.0336","P9","EC000537"
"Urea cycle/amino group metabolism","76","76","8","6.2295","0.20903","0.33792","0.018343","5341","0.5341","P10","EC000176;EC000612;EC000583;EC00038;EC000182;EC000234;EC000236;EC000438"
"Starch and Sucrose Metabolism","3","3","1","0.2459","0.21032","1","0.018409","501","0.0501","P11","EC00020"
"Glutamate metabolism","12","12","2","0.98361","0.22834","0.60814","0.019364","321","0.0321","P12","EC000182;EC000583"
"Hexose phosphorylation","13","13","2","1.0656","0.25737","0.63774","0.02102","5369","0.5369","P13","EC00020;EC000178"
"Sialic acid metabolism","14","14","2","1.1475","0.28647","0.66513","0.022838","879","0.0879","P14","EC00020;EC000537"
"Glycine, serine, alanine and threonine metabolism","49","49","5","4.0164","0.30976","0.50614","0.024419","1099","0.1099","P15","EC000182;EC000985;EC00038;EC000234;EC000236"
"Prostaglandin formation from arachidonate","26","26","3","2.1311","0.31329","0.59151","0.02467","189","0.0189","P16","EC000232;EC000773;EC000849"
"Chondroitin sulfate degradation","5","5","1","0.40984","0.32558","1","0.025564","1657","0.1657","P17","EC00020"
"Di-unsaturated fatty acid beta-oxidation","5","5","1","0.40984","0.32558","1","0.025564","599","0.0599","P18","EC0001007"
"Caffeine metabolism","5","5","1","0.40984","0.32558","1","0.025564","5771","0.5771","P19","EC00020"
"Lipoate metabolism","5","5","1","0.40984","0.32558","1","0.025564","2822","0.2822","P20","EC000332"
"Drug metabolism - other enzymes","16","16","2","1.3115","0.34421","0.71392","0.026989","2135","0.2135","P21","EC000814;EC000818"
"Squalene and cholesterol biosynthesis","17","17","2","1.3934","0.37257","0.73561","0.029335","440","0.044","P22","EC000659;EC000900"
"Propanoate metabolism","6","6","1","0.4918","0.37681","1","0.029705","3464","0.3464","P23","EC000332"
"Polyunsaturated fatty acid biosynthesis","6","6","1","0.4918","0.37681","1","0.029705","1596","0.1596","P24","EC000902"
"N-Glycan Degradation","6","6","1","0.4918","0.37681","1","0.029705","6960","0.696","P25","EC00020"
"Porphyrin metabolism","18","18","2","1.4754","0.40045","0.75567","0.031868","1600","0.16","P26","EC000234;EC000236"
"Beta-Alanine metabolism","18","18","2","1.4754","0.40045","0.75567","0.031868","2049","0.2049","P27","EC000182;EC00076"
"N-Glycan biosynthesis","7","7","1","0.57377","0.42419","1","0.034224","1127","0.1127","P28","EC00020"
"Keratan sulfate degradation","7","7","1","0.57377","0.42419","1","0.034224","7641","0.7641","P29","EC00020"
"Heparan sulfate degradation","7","7","1","0.57377","0.42419","1","0.034224","4984","0.4984","P30","EC00020"
"Ascorbate (Vitamin C) and Aldarate Metabolism","19","19","2","1.5574","0.42775","0.77423","0.034594","3647","0.3647","P31","EC000332;EC000496"
"Aminosugars metabolism","19","19","2","1.5574","0.42775","0.77423","0.034594","2459","0.2459","P32","EC000178;EC000576"
"Aspartate and asparagine metabolism","83","83","7","6.8033","0.44098","0.60059","0.036011","7132","0.7132","P33","EC000234;EC000236;EC000758;EC000411;EC000182;EC000769;EC000176"
"Alanine and Aspartate Metabolism","20","20","2","1.6393","0.4544","0.79139","0.037517","8393","0.8393","P34","EC000415;EC000176"
"Saturated fatty acids beta-oxidation","8","8","1","0.65574","0.46801","1","0.039119","3098","0.3098","P35","EC000675"
"Biopterin metabolism","9","9","1","0.7377","0.50853","1","0.044384","4914","0.4914","P36","EC00048"
"Omega-6 fatty acid metabolism","9","9","1","0.7377","0.50853","1","0.044384","455","0.0455","P37","EC0001007"
"Glycerophospholipid metabolism","50","50","4","4.0984","0.53241","0.73834","0.047877","2112","0.2112","P38","EC000636;EC000171;EC000291;EC00020"
