"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Aminosugars metabolism","17","17","3","0.52759","0.011092","0.078008","0.0011031","3","3e-04","P1","EC000552;EC000396;EC000397"
"Prostaglandin formation from dihomo gama-linoleic acid","8","8","2","0.24828","0.020127","0.20227","0.0011435","120","0.012","P2","EC000198;EC000793"
"Beta-Alanine metabolism","9","9","2","0.27931","0.025421","0.22459","0.0011679","6","6e-04","P3","EC00052;EC000175"
"Glycerophospholipid metabolism","45","45","4","1.3966","0.036228","0.12445","0.0012194","99","0.0099","P4","EC000207;EC000552;EC000396;EC000397"
"Arachidonic acid metabolism","31","31","3","0.96207","0.056015","0.21116","0.00132","389","0.0389","P5","EC000255;EC000198;EC000245"
"Arginine and Proline Metabolism","14","14","2","0.43448","0.058806","0.32751","0.0013348","217","0.0217","P6","EC000399;EC000175"
"Urea cycle/amino group metabolism","33","33","3","1.0241","0.065439","0.23201","0.0013709","1003","0.1003","P7","EC000399;EC000175;EC000350"
"1- and 2-Methylnaphthalene degradation","3","3","1","0.093103","0.084066","1","0.0014776","904","0.0904","P8","EC000380"
"Leukotriene metabolism","41","41","3","1.2724","0.10979","0.3163","0.0016395","346","0.0346","P9","EC000793;EC000255;EC000245"
"Prostaglandin formation from arachidonate","44","44","3","1.3655","0.12886","0.34769","0.0017715","1136","0.1136","P10","EC000255;EC000198;EC000847"
"Glutamate metabolism","5","5","1","0.15517","0.13628","1","0.0018259","940","0.094","P11","EC000399"
"Phytanic acid peroxisomal oxidation","6","6","1","0.18621","0.16131","1","0.0020224","357","0.0357","P12","EC000689"
"Vitamin B6 (pyridoxine) metabolism","8","8","1","0.24828","0.20927","1","0.002464","2020","0.202","P13","EC000236"
"Ascorbate (Vitamin C) and Aldarate Metabolism","11","11","1","0.34138","0.2763","1","0.0032597","3719","0.3719","P14","EC000340"
"Histidine metabolism","15","15","1","0.46552","0.35721","1","0.0046015","1682","0.1682","P15","EC00052"
"Lysine metabolism","16","16","1","0.49655","0.37604","1","0.0049921","4630","0.463","P16","EC000156"
"C21-steroid hormone biosynthesis and metabolism","49","49","2","1.5207","0.41794","0.75732","0.0059962","3600","0.36","P17","EC000907;EC000468"
"Drug metabolism - cytochrome P450","19","19","1","0.58966","0.42938","1","0.006307","4330","0.433","P18","EC000654"
"Fatty acid activation","29","29","1","0.9","0.57728","1","0.012417","3004","0.3004","P19","EC000689"
"Glycine, serine, alanine and threonine metabolism","37","37","1","1.1483","0.66829","1","0.01942","4060","0.406","P20","EC000789"
"Xenobiotics metabolism","37","37","1","1.1483","0.66829","1","0.01942","8441","0.8441","P21","EC000368"
"Aspartate and asparagine metabolism","37","37","1","1.1483","0.66829","1","0.01942","6409","0.6409","P22","EC000175"
"Tyrosine metabolism","93","93","2","2.8862","0.76797","0.9365","0.03314","8664","0.8664","P23","EC000716;EC000350"
"Purine metabolism","54","54","1","1.6759","0.80329","1","0.040754","6474","0.6474","P24","EC000303"
