"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Vitamin B2 (riboflavin) metabolism","3","3","2","0.1649","0.0073385","0.14226","0.0032304","2","2e-04","P1","EC000148;EC000149"
"Glycosphingolipid biosynthesis - ganglioseries","6","6","2","0.3298","0.033236","0.2646","0.003527","2","2e-04","P2","EC00020;EC000218"
"Tryptophan metabolism","93","93","8","5.1119","0.090762","0.17324","0.0042934","2113","0.2113","P3","EC000742;EC0001095;EC000441;EC000737;EC000626;EC00020;EC000606;EC000146"
"Glycosphingolipid biosynthesis - globoseries","2","2","1","0.10993","0.098895","1","0.0044152","314","0.0314","P4","EC00020"
"Alkaloid biosynthesis II","12","12","2","0.65959","0.12039","0.4601","0.0047551","1424","0.1424","P5","EC000793;EC000110"
"Parathio degradation","3","3","1","0.1649","0.14467","1","0.005173","28","0.0028","P6","EC000810"
"Starch and Sucrose Metabolism","3","3","1","0.1649","0.14467","1","0.005173","2042","0.2042","P7","EC00020"
"Tyrosine metabolism","125","125","9","6.8708","0.1727","0.27765","0.0057043","5074","0.5074","P8","EC000358;EC000281;EC000713;EC0001076;EC000196;EC000291;EC000955;EC000457;EC000720"
"Hyaluronan Metabolism","4","4","1","0.21986","0.18816","1","0.0060221","1639","0.1639","P9","EC000265"
"Androgen and estrogen biosynthesis and metabolism","30","30","3","1.649","0.19141","0.44669","0.0060911","1433","0.1433","P10","EC000669;EC000391;EC0009"
"Pentose phosphate pathway","17","17","2","0.93443","0.21172","0.58323","0.0065432","1564","0.1564","P11","EC000479;EC00020"
"Chondroitin sulfate degradation","5","5","1","0.27483","0.22948","1","0.0069681","2443","0.2443","P12","EC00020"
"Di-unsaturated fatty acid beta-oxidation","5","5","1","0.27483","0.22948","1","0.0069681","711","0.0711","P13","EC0001008"
"Caffeine metabolism","5","5","1","0.27483","0.22948","1","0.0069681","4772","0.4772","P14","EC00020"
"Glycerophospholipid metabolism","50","50","4","2.7483","0.24473","0.45976","0.0073564","859","0.0859","P15","EC000430;EC000479;EC000291;EC00020"
"Propanoate metabolism","6","6","1","0.3298","0.26873","1","0.0080158","1387","0.1387","P16","EC000777"
"N-Glycan Degradation","6","6","1","0.3298","0.26873","1","0.0080158","3708","0.3708","P17","EC00020"
"Purine metabolism","38","38","3","2.0887","0.30238","0.57508","0.00905","1661","0.1661","P18","EC000199;EC000637;EC000650"
"N-Glycan biosynthesis","7","7","1","0.38476","0.30601","1","0.0091699","510","0.051","P19","EC00020"
"Keratan sulfate degradation","7","7","1","0.38476","0.30601","1","0.0091699","3842","0.3842","P20","EC00020"
"Heparan sulfate degradation","7","7","1","0.38476","0.30601","1","0.0091699","1896","0.1896","P21","EC00020"
"Glycosphingolipid metabolism","23","23","2","1.2642","0.32715","0.69499","0.0099033","3067","0.3067","P22","EC000291;EC00020"
"Vitamin B5 - CoA biosynthesis from pantothenate","8","8","1","0.43973","0.34143","1","0.010435","3235","0.3235","P23","EC000624"
"Selenoamino acid metabolism","10","10","1","0.54966","0.40701","1","0.013312","503","0.0503","P24","EC000153"
