"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Purine metabolism","47","47","8","3.1467","0.0066678","0.021021","0.0071104","29","0.0029","P1","EC000964;EC000339;EC000216;EC000342;EC00036;EC000101;EC000211;EC000204"
"Glycosphingolipid metabolism","26","26","5","1.7407","0.019236","0.069951","0.0073782","1","1e-04","P2","EC000186;EC000285;EC000286;EC000577;EC00025"
"Glycosphingolipid biosynthesis - ganglioseries","6","6","2","0.4017","0.048995","0.31741","0.0080559","376","0.0376","P3","EC000577;EC00025"
"Parathio degradation","6","6","2","0.4017","0.048995","0.31741","0.0080559","891","0.0891","P4","EC000595;EC000594"
"Androgen and estrogen biosynthesis and metabolism","24","24","4","1.6068","0.057259","0.17908","0.0082556","322","0.0322","P5","EC000495;EC00011;EC00025;EC000459"
"C21-steroid hormone biosynthesis and metabolism","48","48","6","3.2136","0.072468","0.16658","0.0086373","157","0.0157","P6","EC000980;EC000519;EC000227;EC00011;EC000459;EC00025"
"Ascorbate (Vitamin C) and Aldarate Metabolism","17","17","3","1.1382","0.084453","0.28139","0.0089513","1538","0.1538","P7","EC00098;EC000357;EC000146"
"Caffeine metabolism","9","9","2","0.60255","0.1042","0.43655","0.0094958","0","0","P8","EC00098;EC000692"
"Keratan sulfate biosynthesis","2","2","1","0.1339","0.12115","1","0.0099915","416","0.0416","P9","EC00025"
"Carnitine shuttle","22","22","3","1.4729","0.15364","0.39694","0.011021","83","0.0083","P10","EC00018;EC000403;EC000990"
"Pentose phosphate pathway","22","22","3","1.4729","0.15364","0.39694","0.011021","3592","0.3592","P11","EC00098;EC000640;EC000211"
"Proteoglycan biosynthesis","3","3","1","0.20085","0.17619","1","0.011803","585","0.0585","P12","EC00025"
"Hexose phosphorylation","14","14","2","0.9373","0.21624","0.59127","0.013344","930","0.093","P13","EC00036;EC000276"
"Porphyrin metabolism","14","14","2","0.9373","0.21624","0.59127","0.013344","728","0.0728","P14","EC000167;EC000146"
"Methionine and cysteine metabolism","29","29","3","1.9416","0.26994","0.54304","0.015763","3835","0.3835","P15","EC00025;EC00031;EC000779"
