"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Linoleate metabolism","43","43","7","2.1763","0.002853","0.011503","0.0040818","1607","0.1607","P1","EC0001214;EC0001118;EC000921;EC0001121;EC000975;EC0001190;EC000717"
"Androgen and estrogen biosynthesis and metabolism","28","28","5","1.4171","0.0079414","0.035567","0.004147","26","0.0026","P2","EC000729;EC000727;EC000736;EC000419;EC0001109"
"Fructose and mannose metabolism","18","18","3","0.91099","0.047581","0.1977","0.0046942","224","0.0224","P3","EC000221;EC000438;EC00021"
"Phosphatidylinositol phosphate metabolism","18","18","3","0.91099","0.047581","0.1977","0.0046942","6","6e-04","P4","EC000221;EC000494;EC00021"
"Lysine metabolism","44","44","5","2.2269","0.049605","0.1378","0.0047241","3788","0.3788","P5","EC00018;EC000763;EC000608;EC000426;EC000668"
"Vitamin A (retinol) metabolism","19","19","3","0.96161","0.054678","0.2148","0.0048","140","0.014","P6","EC000232;EC000365;EC000550"
"Glutathione Metabolism","19","19","3","0.96161","0.054678","0.2148","0.0048","18","0.0018","P7","EC000540;EC00018;EC00066"
"C21-steroid hormone biosynthesis and metabolism","52","52","5","2.6318","0.08951","0.2111","0.0053575","234","0.0234","P8","EC000748;EC000419;EC000756;EC000729;EC000727"
"N-Glycan Degradation","11","11","2","0.55672","0.089558","0.40407","0.0053583","434","0.0434","P9","EC00021;EC000438"
"Electron transport chain","2","2","1","0.10122","0.091038","1","0.0053835","370","0.037","P10","EC000242"
"Vitamin B6 (pyridoxine) metabolism","14","14","2","0.70855","0.13565","0.48296","0.0062052","4069","0.4069","P11","EC000171;EC000302"
"Pyrimidine metabolism","63","63","5","3.1885","0.16482","0.3252","0.0068144","310","0.031","P12","EC000454;EC000242;EC00018;EC00080;EC000299"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","34","34","3","1.7208","0.20815","0.46761","0.0078417","2328","0.2328","P13","EC00018;EC000174;EC00080"
"Glycosphingolipid biosynthesis - globoseries","6","6","1","0.30366","0.24936","1","0.0089758","566","0.0566","P14","EC00021"
"Alanine and Aspartate Metabolism","21","21","2","1.0628","0.25577","0.62929","0.0091677","3503","0.3503","P15","EC00018;EC000415"
"Starch and Sucrose Metabolism","7","7","1","0.35428","0.2845","1","0.010084","679","0.0679","P16","EC00021"
"Galactose metabolism","23","23","2","1.164","0.29116","0.66303","0.010311","725","0.0725","P17","EC000221;EC00021"
"Putative anti-Inflammatory metabolites formation from EPA","8","8","1","0.40489","0.31802","1","0.011283","185","0.0185","P18","EC00018"
"Saturated fatty acids beta-oxidation","9","9","1","0.4555","0.35","1","0.012574","11","0.0011","P19","EC000733"
"Glycolysis and Gluconeogenesis","27","27","2","1.3665","0.36118","0.7217","0.013064","2284","0.2284","P20","EC000221;EC00021"
"Glycosphingolipid metabolism","27","27","2","1.3665","0.36118","0.7217","0.013064","543","0.0543","P21","EC00021;EC000950"
"Pentose phosphate pathway","27","27","2","1.3665","0.36118","0.7217","0.013064","1420","0.142","P22","EC00080;EC00021"
"Vitamin B9 (folate) metabolism","10","10","1","0.50611","0.3805","1","0.01396","2653","0.2653","P23","EC00018"
"Carbon fixation","10","10","1","0.50611","0.3805","1","0.01396","2727","0.2727","P24","EC000221"
"Nitrogen metabolism","10","10","1","0.50611","0.3805","1","0.01396","6052","0.6052","P25","EC00018"
"De novo fatty acid biosynthesis","29","29","2","1.4677","0.39533","0.74715","0.014694","337","0.0337","P26","EC000894;EC000550"
"Aspartate and asparagine metabolism","109","109","6","5.5166","0.39816","0.56973","0.014839","4147","0.4147","P27","EC00018;EC000328;EC000481;EC00066;EC000540;EC000608"
"N-Glycan biosynthesis","11","11","1","0.55672","0.40959","1","0.015441","1689","0.1689","P28","EC00021"
"Keratan sulfate degradation","11","11","1","0.55672","0.40959","1","0.015441","3111","0.3111","P29","EC000438"
"Fatty acid oxidation","11","11","1","0.55672","0.40959","1","0.015441","394","0.0394","P30","EC000242"
"TCA cycle","11","11","1","0.55672","0.40959","1","0.015441","1326","0.1326","P31","EC000242"
"Valine, leucine and isoleucine degradation","30","30","2","1.5183","0.41211","0.759","0.015578","597","0.0597","P32","EC00018;EC000720"
"Propanoate metabolism","12","12","1","0.60733","0.43734","1","0.01702","1047","0.1047","P33","EC000683"
"Arginine and Proline Metabolism","53","53","3","2.6824","0.45353","0.71097","0.018025","8402","0.8402","P34","EC00018;EC000608;EC000540"
"Omega-3 fatty acid metabolism","13","13","1","0.65794","0.46381","1","0.018698","1151","0.1151","P35","EC000717"
"Ubiquinone Biosynthesis","13","13","1","0.65794","0.46381","1","0.018698","6749","0.6749","P36","EC000242"
"Vitamin B5 - CoA biosynthesis from pantothenate","15","15","1","0.75916","0.51313","1","0.022352","2162","0.2162","P37","EC00066"
"Selenoamino acid metabolism","15","15","1","0.75916","0.51313","1","0.022352","176","0.0176","P38","EC000824"
"Hexose phosphorylation","16","16","1","0.80977","0.53608","1","0.024328","6736","0.6736","P39","EC00021"
"Tyrosine metabolism","151","151","7","7.6422","0.56888","0.7101","0.027516","9985","0.9985","P40","EC00018;EC000382;EC000777;EC000526;EC00066;EC0001195;EC0001177"
"Fatty Acid Metabolism","18","18","1","0.91099","0.57886","1","0.02858","607","0.0607","P41","EC000733"
"Butanoate metabolism","42","42","2","2.1257","0.59286","0.86497","0.030159","4676","0.4676","P42","EC00018;EC000857"
"Arachidonic acid metabolism","19","19","1","0.96161","0.59876","1","0.030855","1491","0.1491","P43","EC00018"
"Glutamate metabolism","19","19","1","0.96161","0.59876","1","0.030855","2905","0.2905","P44","EC00018"
"Beta-Alanine metabolism","20","20","1","1.0122","0.61774","1","0.033227","564","0.0564","P45","EC00018"
"Purine metabolism","45","45","2","2.2775","0.63128","0.88328","0.035053","3417","0.3417","P46","EC00018;EC00080"
"Sialic acid metabolism","23","23","1","1.164","0.66955","1","0.040915","1747","0.1747","P47","EC00021"
"Methionine and cysteine metabolism","49","49","2","2.4799","0.67814","0.90395","0.042393","1748","0.1748","P48","EC00018;EC00066"
"Bile acid biosynthesis","24","24","1","1.2147","0.68523","1","0.043663","1210","0.121","P49","EC000721"
"Aminosugars metabolism","30","30","1","1.5183","0.76509","1","0.06195","3636","0.3636","P50","EC00018"
"Urea cycle/amino group metabolism","92","92","3","4.6562","0.81855","0.93458","0.080246","9969","0.9969","P51","EC00018;EC000608;EC000483"
"Fatty acid activation","37","37","1","1.8726","0.83334","1","0.086639","3492","0.3492","P52","EC000889"
"Histidine metabolism","38","38","1","1.9232","0.84134","1","0.090409","8160","0.816","P53","EC00018"
