"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Prostaglandin formation from arachidonate","48","48","11","5.356","0.007615","0.020003","0.027858","16","0.0016","P1","EC000917;EC000146;EC000148;EC000149;EC000564;EC000565;EC000568;EC000197;EC000626;EC000928;EC000929"
"Vitamin B1 (thiamin) metabolism","5","5","2","0.55792","0.087183","0.42051","0.033189","7","7e-04","P2","EC000118;EC00039"
"Vitamin D3 (cholecalciferol) metabolism","17","17","4","1.8969","0.091325","0.25228","0.033496","108","0.0108","P3","EC000873;EC000959;EC000734;EC000795"
"Vitamin H (biotin) metabolism","1","1","1","0.11158","0.10417","1","0.034467","0","0","P4","EC000522"
"Prostaglandin formation from dihomo gama-linoleic acid","7","7","2","0.78108","0.15965","0.53451","0.039038","824","0.0824","P5","EC000197;EC000811"
"D4&E4-neuroprostanes formation","14","14","3","1.5622","0.17172","0.43247","0.04012","40","0.004","P6","EC000968;EC000738;EC000146"
"Selenoamino acid metabolism","14","14","3","1.5622","0.17172","0.43247","0.04012","2693","0.2693","P7","EC000543;EC000546;EC000102"
"Arachidonic acid metabolism","24","24","4","2.678","0.23449","0.45793","0.046318","3892","0.3892","P8","EC000148;EC000149;EC000197;EC000788"
"Drug metabolism - cytochrome P450","17","17","3","1.8969","0.25702","0.53759","0.0488","2339","0.2339","P9","EC000729;EC000612;EC000702"
"Propanoate metabolism","10","10","2","1.1158","0.27995","0.66516","0.051484","400","0.04","P10","EC00039;EC00064"
"Alkaloid biosynthesis II","3","3","1","0.33475","0.28133","1","0.05165","0","0","P11","EC00078"
"Sphingolipid metabolism","3","3","1","0.33475","0.28133","1","0.05165","1358","0.1358","P12","EC000180"
"TCA cycle","18","18","3","2.0085","0.28674","0.56958","0.052311","7007","0.7007","P13","EC00039;EC00036;EC000146"
"Leukotriene metabolism","35","35","5","3.9054","0.29662","0.49621","0.053541","1961","0.1961","P14","EC000788;EC000956;EC000148;EC000149;EC000877"
"Putative anti-Inflammatory metabolites formation from EPA","11","11","2","1.2274","0.32048","0.70006","0.056651","1331","0.1331","P15","EC000788;EC000465"
"Bile acid biosynthesis","29","29","4","3.2359","0.35717","0.59028","0.061849","48","0.0048","P16","EC000437;EC000734;EC000374;EC00064"
"Fatty acid activation","38","38","5","4.2402","0.36176","0.56421","0.062537","3820","0.382","P17","EC000989;EC000220;EC0001010;EC00014;EC000738"
"Histidine metabolism","13","13","2","1.4506","0.39956","0.7594","0.06856","392","0.0392","P18","EC000136;EC000137"
"Hexose phosphorylation","14","14","2","1.5622","0.43753","0.78454","0.07531","2963","0.2963","P19","EC00036;EC000277"
"Vitamin A (retinol) metabolism","14","14","2","1.5622","0.43753","0.78454","0.07531","4691","0.4691","P20","EC000838;EC000730"
"Porphyrin metabolism","14","14","2","1.5622","0.43753","0.78454","0.07531","2248","0.2248","P21","EC00039;EC000146"
"Lysine metabolism","14","14","2","1.5622","0.43753","0.78454","0.07531","8167","0.8167","P22","EC000118;EC000311"
"Fatty Acid Metabolism","15","15","2","1.6738","0.47419","0.80709","0.08259","7888","0.7888","P23","EC000492;EC0001017"
"Linoleate metabolism","34","34","4","3.7938","0.4804","0.70036","0.083907","4391","0.4391","P24","EC000467;EC000950;EC000650;EC000904"
"Parathio degradation","6","6","1","0.6695","0.48405","1","0.084692","6866","0.6866","P25","EC000595"
"Glycine, serine, alanine and threonine metabolism","44","44","5","4.9097","0.49178","0.68392","0.086384","3373","0.3373","P26","EC00063;EC00039;EC000780;EC000571;EC00064"
"Valine, leucine and isoleucine degradation","16","16","2","1.7853","0.50939","0.82729","0.090395","4085","0.4085","P27","EC00039;EC000870"
"Glycosphingolipid metabolism","26","26","3","2.9012","0.52","0.76865","0.092922","1198","0.1198","P28","EC000187;EC000117;EC000180"
"Drug metabolism - other enzymes","26","26","3","2.9012","0.52","0.76865","0.092922","5711","0.5711","P29","EC000725;EC000720;EC000613"
"Pyruvate Metabolism","7","7","1","0.78108","0.53812","1","0.09744","0","0","P30","EC00064"
"Biopterin metabolism","7","7","1","0.78108","0.53812","1","0.09744","1811","0.1811","P31","EC000177"
"Saturated fatty acids beta-oxidation","7","7","1","0.78108","0.53812","1","0.09744","916","0.0916","P32","EC000492"
"Dynorphin metabolism","7","7","1","0.78108","0.53812","1","0.09744","86","0.0086","P33","EC000849"
"Ascorbate (Vitamin C) and Aldarate Metabolism","17","17","2","1.8969","0.54304","0.8454","0.098714","7434","0.7434","P34","EC000357;EC000146"
