"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Urea cycle/amino group metabolism","33","33","2","0.53103","0.084056","0.37448","0.0013202","1132","0.1132","P1","EC000350;EC000311"
"Caffeine metabolism","8","8","1","0.12874","0.11387","1","0.0014924","615","0.0615","P2","EC000642"
"Beta-Alanine metabolism","9","9","1","0.14483","0.12722","1","0.001577","72","0.0072","P3","EC000331"
"3-oxo-10R-octadecatrienoate beta-oxidation","11","11","1","0.17701","0.15337","1","0.0017576","695","0.0695","P4","EC000823"
"Histidine metabolism","15","15","1","0.24138","0.2035","1","0.0021674","1181","0.1181","P5","EC000331"
"Fatty Acid Metabolism","15","15","1","0.24138","0.2035","1","0.0021674","1262","0.1262","P6","EC000361"
"Carnitine shuttle","25","25","1","0.4023","0.31702","1","0.0035169","792","0.0792","P7","EC000686"
"Fatty acid activation","29","29","1","0.46667","0.35807","1","0.0042058","1641","0.1641","P8","EC000918"
"Tyrosine metabolism","93","93","2","1.4966","0.41233","0.74543","0.0053475","5730","0.573","P9","EC000812;EC000350"
"Glycine, serine, alanine and threonine metabolism","37","37","1","0.5954","0.43338","1","0.0058774","1974","0.1974","P10","EC000331"
"Xenobiotics metabolism","37","37","1","0.5954","0.43338","1","0.0058774","6478","0.6478","P11","EC000601"
"Aspartate and asparagine metabolism","37","37","1","0.5954","0.43338","1","0.0058774","4182","0.4182","P12","EC000361"
"Glycerophospholipid metabolism","45","45","1","0.72414","0.50042","1","0.0079842","3311","0.3311","P13","EC000208"
"Tryptophan metabolism","54","54","1","0.86897","0.567","1","0.010931","5825","0.5825","P14","EC000421"
"Purine metabolism","54","54","1","0.86897","0.567","1","0.010931","4048","0.4048","P15","EC000588"
