"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Vitamin B6 (pyridoxine) metabolism","14","14","4","1.0384","0.011951","0.062784","0.0099234","421","0.0421","P1","EC000170;EC000301;EC000302;EC000192"
"Linoleate metabolism","43","43","7","3.1894","0.02314","0.063949","0.01022","4883","0.4883","P2","EC0001213;EC0001087;EC0001117;EC000920;EC0001120;EC0001190;EC000516"
"Prostaglandin formation from dihomo gama-linoleic acid","5","5","2","0.37086","0.040244","0.29521","0.010692","20","0.002","P3","EC0001113;EC000338"
"Carnitine shuttle","32","32","5","2.3735","0.06147","0.16444","0.011311","0","0","P4","EC0001017;EC0001056;EC0001247;EC0001276;EC0001252"
"Putative anti-Inflammatory metabolites formation from EPA","8","8","2","0.59337","0.098588","0.42906","0.012488","0","0","P5","EC0001134;EC000706"
"Glycosphingolipid metabolism","27","27","4","2.0026","0.10665","0.27261","0.012762","23","0.0023","P6","EC000322;EC000195;EC000951;EC000600"
"Androgen and estrogen biosynthesis and metabolism","28","28","4","2.0768","0.11824","0.29159","0.013165","604","0.0604","P7","EC000730;EC000727;EC000419;EC0001110"
"Limonene and pinene degradation","9","9","2","0.66754","0.1213","0.46783","0.013274","5365","0.5365","P8","EC000431;EC000576"
"Electron transport chain","2","2","1","0.14834","0.13194","1","0.013661","1021","0.1021","P9","EC000242"
"Dynorphin metabolism","2","2","1","0.14834","0.13194","1","0.013661","0","0","P10","EC0001127"
"C21-steroid hormone biosynthesis and metabolism","52","52","6","3.8569","0.13762","0.27039","0.013872","277","0.0277","P11","EC000748;EC000419;EC0001;EC000730;EC000364;EC000727"
"Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation","3","3","1","0.22251","0.1913","1","0.016057","0","0","P12","EC0001144"
"Omega-3 fatty acid metabolism","13","13","2","0.96422","0.22095","0.59855","0.017425","33","0.0033","P13","EC0001017;EC0001012"
"Polyunsaturated fatty acid biosynthesis","4","4","1","0.29668","0.24664","1","0.018715","15","0.0015","P14","EC0001017"
"Prostaglandin formation from arachidonate","27","27","3","2.0026","0.27868","0.55458","0.020474","87","0.0087","P15","EC000338;EC000942;EC0001134"
"Vitamin H (biotin) metabolism","5","5","1","0.37086","0.29824","1","0.021639","549","0.0549","P16","EC00028"
"Lipoate metabolism","6","6","1","0.44503","0.34635","1","0.024834","1960","0.196","P17","EC00028"
"Lysine metabolism","44","44","4","3.2635","0.35331","0.58124","0.02534","9287","0.9287","P18","EC000763;EC000764;EC000611;EC00028"
"Vitamin A (retinol) metabolism","19","19","2","1.4092","0.3765","0.73744","0.027108","1115","0.1115","P19","EC0001134;EC0001154"
"Glutathione Metabolism","19","19","2","1.4092","0.3765","0.73744","0.027108","427","0.0427","P20","EC000520;EC000345"
"Arachidonic acid metabolism","19","19","2","1.4092","0.3765","0.73744","0.027108","456","0.0456","P21","EC000977;EC000338"
"Fatty acid oxidation, peroxisome","8","8","1","0.59337","0.43299","1","0.032041","0","0","P22","EC0001017"
"Fatty acid activation","37","37","3","2.7443","0.46943","0.72719","0.035774","307","0.0307","P23","EC0001017;EC0007;EC000888"
