"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Pentose phosphate pathway","17","17","4","1.2131","0.021389","0.092683","0.0044757","94","0.0094","P1","EC00070;EC000478;EC000479;EC00020"
"Butanoate metabolism","29","29","5","2.0694","0.036925","0.11337","0.0047057","224","0.0224","P2","EC000112;EC000114;EC000182;EC000543;EC000134"
"Chondroitin sulfate degradation","5","5","2","0.3568","0.03756","0.28565","0.0047153","1","1e-04","P3","EC00020;EC00070"
"Glycosphingolipid biosynthesis - ganglioseries","6","6","2","0.42816","0.053967","0.33225","0.0049725","8","8e-04","P4","EC00020;EC000218"
"Pentose and Glucuronate Interconversions","6","6","2","0.42816","0.053967","0.33225","0.0049725","0","0","P5","EC000208;EC00070"
"Urea cycle/amino group metabolism","76","76","9","5.4233","0.055096","0.11207","0.0049907","2443","0.2443","P6","EC000457;EC00031;EC000176;EC000553;EC000106;EC000182;EC0001033;EC000166;EC00027"
"Heparan sulfate degradation","7","7","2","0.49952","0.072386","0.37585","0.0052789","473","0.0473","P7","EC00020;EC00070"
"Lysine metabolism","47","47","6","3.3539","0.082319","0.18424","0.0054525","2104","0.2104","P8","EC000246;EC000553;EC000422;EC000790;EC000603;EC000604"
"Glycine, serine, alanine and threonine metabolism","49","49","6","3.4966","0.096645","0.20762","0.0057135","369","0.0369","P9","EC000182;EC00031;EC000112;EC000114;EC00036;EC000497"
"Glycosphingolipid biosynthesis - globoseries","2","2","1","0.14272","0.12739","1","0.0063199","389","0.0389","P10","EC00020"
"Alanine and Aspartate Metabolism","20","20","3","1.4272","0.13956","0.37708","0.0065784","4597","0.4597","P11","EC00031;EC000176;EC00027"
"Drug metabolism - cytochrome P450","32","32","4","2.2835","0.15402","0.34517","0.0069007","1464","0.1464","P12","EC000926;EC000934;EC000731;EC000920"
"Arginine and Proline Metabolism","44","44","5","3.1398","0.15761","0.31875","0.0069832","2039","0.2039","P13","EC00031;EC000176;EC000553;EC000106;EC00027"
"Alkaloid biosynthesis II","12","12","2","0.85632","0.1843","0.55511","0.0076311","1996","0.1996","P14","EC000791;EC000861"
"Parathio degradation","3","3","1","0.21408","0.18494","1","0.0076476","39","0.0039","P15","EC000810"
