"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Carnitine shuttle","30","30","12","3.298","1.2101e-05","6.9345e-05","0.01984","0","0","P1","EC0001142;EC0001125;EC0001008;EC000561;EC00012;EC0001126;EC000953;EC000557;EC000526;EC0001152;EC0001146;EC0001042"
"Fatty acid oxidation","12","12","6","1.3192","0.00053172","0.0041856","0.019864","0","0","P2","EC000561;EC0001142;EC000953;EC000526;EC0001008;EC0001042"
"Fatty acid activation","36","36","10","3.9576","0.0020277","0.0069524","0.019932","0","0","P3","EC000561;EC000463;EC000331;EC000526;EC0001008;EC000953;EC000799;EC000450;EC0001042;EC0001142"
"Glycosphingolipid metabolism","23","23","7","2.5284","0.0056822","0.021878","0.020099","22","0.0022","P4","EC000293;EC000787;EC000537;EC00029;EC000855;EC000361;EC00030"
"De novo fatty acid biosynthesis","30","30","8","3.298","0.0075885","0.024742","0.020187","1","1e-04","P5","EC000561;EC000450;EC000331;EC000526;EC000463;EC000953;EC0001042;EC000126"
"Glycosphingolipid biosynthesis - ganglioseries","6","6","3","0.65959","0.016182","0.11488","0.020588","0","0","P6","EC000787;EC00029;EC000537"
"R Group Synthesis","3","3","2","0.3298","0.028579","0.27251","0.021182","0","0","P7","EC000561;EC000526"
"Prostaglandin formation from arachidonate","26","26","6","2.8582","0.040371","0.11133","0.021764","0","0","P8","EC000772;EC000397;EC000776;EC000316;EC0001047;EC000126"
"Fatty acid oxidation, peroxisome","4","4","2","0.43973","0.053386","0.34585","0.022427","0","0","P9","EC000561;EC0001042"
"Biopterin metabolism","9","9","3","0.98939","0.054171","0.22669","0.022468","103","0.0103","P10","EC0001025;EC00044;EC000242"
"Omega-6 fatty acid metabolism","9","9","3","0.98939","0.054171","0.22669","0.022468","0","0","P11","EC000126;EC0001042;EC000561"
"Glycerophospholipid metabolism","50","50","9","5.4966","0.057933","0.11997","0.022664","17","0.0017","P12","EC000618;EC000230;EC000636;EC000623;EC000327;EC000293;EC000361;EC00029;EC000126"
"Androgen and estrogen biosynthesis and metabolism","30","30","6","3.298","0.074577","0.1757","0.023555","578","0.0578","P13","EC000270;EC000391;EC0001060;EC000250;EC00030;EC0001003"
"Phytanic acid peroxisomal oxidation","5","5","2","0.54966","0.083154","0.41185","0.024029","0","0","P14","EC000463;EC000953"
"Glycosphingolipid biosynthesis - lactoseries","1","1","1","0.10993","0.10142","1","0.025075","0","0","P15","EC00029"
"Blood Group Biosynthesis","1","1","1","0.10993","0.10142","1","0.025075","0","0","P16","EC00029"
"Glycosphingolipid biosynthesis - neolactoseries","1","1","1","0.10993","0.10142","1","0.025075","0","0","P17","EC00029"
"Keratan sulfate biosynthesis","1","1","1","0.10993","0.10142","1","0.025075","0","0","P18","EC00029"
"O-Glycan biosynthesis","1","1","1","0.10993","0.10142","1","0.025075","0","0","P19","EC00029"
"Vitamin D3 (cholecalciferol) metabolism","12","12","3","1.3192","0.11351","0.34367","0.025794","363","0.0363","P20","EC000467;EC000298;EC000951"
