"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Pyrimidine metabolism","57","57","7","3.1498","0.023011","0.061903","0.0076703","309","0.0309","P1","EC000141;EC000154;EC000320;EC000171;EC000172;EC000211;EC00038"
"Leukotriene metabolism","35","35","5","1.9341","0.02998","0.095423","0.0078287","187","0.0187","P2","EC000866;EC000792;EC000956;EC000954;EC000902"
"Prostaglandin formation from dihomo gama-linoleic acid","7","7","2","0.38682","0.046416","0.30549","0.0082161","123","0.0123","P3","EC000811;EC000866"
"N-Glycan biosynthesis","10","10","2","0.5526","0.090103","0.40643","0.0093491","1028","0.1028","P4","EC000454;EC00038"
"Aspartate and asparagine metabolism","37","37","4","2.0446","0.11804","0.2868","0.010161","1769","0.1769","P5","EC000152;EC000304;EC000305;EC000306"
"Alkaloid biosynthesis II","3","3","1","0.16578","0.14705","1","0.011084","0","0","P6","EC000322"
"Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","3","3","1","0.16578","0.14705","1","0.011084","216","0.0216","P7","EC00038"
"Nucleotide Sugar Metabolism","4","4","1","0.22104","0.19119","1","0.012668","431","0.0431","P8","EC00038"
"Electron transport chain","5","5","1","0.2763","0.23308","1","0.0144","2915","0.2915","P9","EC000141"
"Fatty acid oxidation","5","5","1","0.2763","0.23308","1","0.0144","381","0.0381","P10","EC000141"
"Limonene and pinene degradation","5","5","1","0.2763","0.23308","1","0.0144","2622","0.2622","P11","EC000259"
"Linoleate metabolism","34","34","3","1.8789","0.25383","0.52242","0.015352","2273","0.2273","P12","EC000950;EC000787;EC000903"
"Glycerophospholipid metabolism","50","50","4","2.763","0.25427","0.47049","0.015373","3131","0.3131","P13","EC000285;EC000206;EC00038;EC000428"
"Aminosugars metabolism","19","19","2","1.0499","0.25639","0.63051","0.015475","1591","0.1591","P14","EC00038;EC000428"
"Parathio degradation","6","6","1","0.33156","0.27284","1","0.016286","5076","0.5076","P15","EC000595"
"Biopterin metabolism","7","7","1","0.38682","0.31057","1","0.018328","1430","0.143","P16","EC000177"
"Fatty acid activation","38","38","3","2.0999","0.31171","0.58422","0.018394","2823","0.2823","P17","EC000985;EC0001010;EC0001008"
"Carnitine shuttle","22","22","2","1.2157","0.31531","0.68483","0.018604","424","0.0424","P18","EC0001007;EC0001002"
"Pentose phosphate pathway","22","22","2","1.2157","0.31531","0.68483","0.018604","5806","0.5806","P19","EC00038;EC000211"
"Caffeine metabolism","9","9","1","0.49734","0.38038","1","0.022898","278","0.0278","P20","EC000694"
"Glycosphingolipid metabolism","26","26","2","1.4368","0.39223","0.74523","0.023794","1015","0.1015","P21","EC000285;EC000341"
"Propanoate metabolism","10","10","1","0.5526","0.41263","1","0.025429","1584","0.1584","P22","EC000441"
"Carbon fixation","10","10","1","0.5526","0.41263","1","0.025429","3689","0.3689","P23","EC00038"
"Ubiquinone Biosynthesis","10","10","1","0.5526","0.41263","1","0.025429","2193","0.2193","P24","EC000141"
"Starch and Sucrose Metabolism","11","11","1","0.60786","0.44323","1","0.028126","4917","0.4917","P25","EC00038"
"Prostaglandin formation from arachidonate","48","48","3","2.6525","0.45604","0.71296","0.02935","3201","0.3201","P26","EC000917;EC000866;EC000929"
"Phosphatidylinositol phosphate metabolism","12","12","1","0.66312","0.47227","1","0.03099","3609","0.3609","P27","EC00038"
"Fructose and mannose metabolism","13","13","1","0.71838","0.49982","1","0.034019","7058","0.7058","P28","EC00038"
"Hexose phosphorylation","14","14","1","0.77365","0.52596","1","0.037214","4124","0.4124","P29","EC00038"
"D4&E4-neuroprostanes formation","14","14","1","0.77365","0.52596","1","0.037214","1563","0.1563","P30","EC000974"
"Porphyrin metabolism","14","14","1","0.77365","0.52596","1","0.037214","3102","0.3102","P31","EC000152"
"Fatty Acid Metabolism","15","15","1","0.82891","0.55076","1","0.040572","6911","0.6911","P32","EC000985"
"Vitamin D3 (cholecalciferol) metabolism","17","17","1","0.93943","0.5966","1","0.04777","2444","0.2444","P33","EC000873"
"Sialic acid metabolism","17","17","1","0.93943","0.5966","1","0.04777","5599","0.5599","P34","EC00038"
"Urea cycle/amino group metabolism","39","39","2","2.1552","0.60965","0.8732","0.050092","6691","0.6691","P35","EC000152;EC000234"
"Glycolysis and Gluconeogenesis","18","18","1","0.99469","0.61777","1","0.051605","3144","0.3144","P36","EC00038"
"TCA cycle","18","18","1","0.99469","0.61777","1","0.051605","8718","0.8718","P37","EC000141"
"Galactose metabolism","19","19","1","1.0499","0.63785","1","0.055592","4594","0.4594","P38","EC00038"
"Arginine and Proline Metabolism","20","20","1","1.1052","0.65689","1","0.059727","6594","0.6594","P39","EC000152"
"Glycine, serine, alanine and threonine metabolism","44","44","2","2.4315","0.67652","0.90329","0.064396","5988","0.5988","P40","EC000152;EC000571"
