"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Pyruvate Metabolism","6","6","2","0.25131","0.019779","0.20655","0.0045571","114","0.0114","P1","EC00074;EC00024"
"Urea cycle/amino group metabolism","92","92","8","3.8534","0.021041","0.052407","0.0045749","4087","0.4087","P2","EC00033;EC000203;EC000608;EC00044;EC00024;EC000372;EC000376;EC000244"
"Alanine and Aspartate Metabolism","21","21","3","0.87958","0.04391","0.18634","0.0049109","825","0.0825","P3","EC00033;EC00024;EC000203"
"Glyoxylate and Dicarboxylate Metabolism","9","9","2","0.37696","0.044087","0.29353","0.0049136","178","0.0178","P4","EC00074;EC00024"
"Arginine and Proline Metabolism","53","53","5","2.2199","0.049103","0.13536","0.0049908","2779","0.2779","P5","EC00033;EC000203;EC000608;EC00044;EC000244"
"Leukotriene metabolism","24","24","3","1.0052","0.061656","0.22851","0.0051897","7","7e-04","P6","EC0001114;EC0001139;EC0001223"
"Alkaloid biosynthesis II","11","11","2","0.46073","0.064137","0.34626","0.00523","53","0.0053","P7","EC000957;EC000135"
"Proteoglycan biosynthesis","3","3","1","0.12565","0.11135","1","0.0060641","19","0.0019","P8","EC00024"
"Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation","3","3","1","0.12565","0.11135","1","0.0060641","0","0","P9","EC0001144"
"Aspartate and asparagine metabolism","109","109","7","4.5654","0.11899","0.22316","0.006212","1288","0.1288","P10","EC000481;EC000244;EC00033;EC000502;EC000203;EC000608;EC00024"
"Glycine, serine, alanine and threonine metabolism","69","69","5","2.8901","0.12155","0.26052","0.0062624","419","0.0419","P11","EC00033;EC00044;EC000502;EC000144;EC00024"
"C21-steroid hormone biosynthesis and metabolism","52","52","4","2.178","0.1361","0.31261","0.0065574","339","0.0339","P12","EC000755;EC0001158;EC000280;EC00024"
"Fructose and mannose metabolism","18","18","2","0.75393","0.15065","0.50219","0.0068675","837","0.0837","P13","EC000438;EC00074"
"Lysine metabolism","44","44","3","1.8429","0.2385","0.50219","0.0091096","7464","0.7464","P14","EC000608;EC000460;EC000244"
"Xenobiotics metabolism","47","47","3","1.9686","0.27033","0.53831","0.010109","1871","0.1871","P15","EC000945;EC000335;EC000880"
"Putative anti-Inflammatory metabolites formation from EPA","8","8","1","0.33508","0.27053","1","0.010116","191","0.0191","P16","EC0001114"
"CoA Catabolism","8","8","1","0.33508","0.27053","1","0.010116","1485","0.1485","P17","EC000395"
"Glycolysis and Gluconeogenesis","27","27","2","1.1309","0.27956","0.65015","0.010421","1639","0.1639","P18","EC00074;EC00024"
"Aminosugars metabolism","30","30","2","1.2565","0.32326","0.68913","0.012047","472","0.0472","P19","EC00024;EC000895"
"Carbon fixation","10","10","1","0.41885","0.32607","1","0.012161","2885","0.2885","P20","EC00074"
"Keratan sulfate degradation","11","11","1","0.46073","0.35226","1","0.01328","2958","0.2958","P21","EC000438"
"TCA cycle","11","11","1","0.46073","0.35226","1","0.01328","1276","0.1276","P22","EC00024"
"N-Glycan Degradation","11","11","1","0.46073","0.35226","1","0.01328","3304","0.3304","P23","EC000438"
"Omega-3 fatty acid metabolism","13","13","1","0.5445","0.40169","1","0.015718","419","0.0419","P24","EC000717"
"Glycerophospholipid metabolism","60","60","3","2.5131","0.4109","0.67396","0.016225","1204","0.1204","P25","EC000895;EC00074;EC00024"
"Vitamin B5 - CoA biosynthesis from pantothenate","15","15","1","0.62827","0.44742","1","0.018427","1180","0.118","P26","EC000395"
"Vitamin E metabolism","15","15","1","0.62827","0.44742","1","0.018427","2641","0.2641","P27","EC0001114"
"Selenoamino acid metabolism","15","15","1","0.62827","0.44742","1","0.018427","55","0.0055","P28","EC000824"
"Butanoate metabolism","42","42","2","1.7592","0.48844","0.8068","0.021314","3578","0.3578","P29","EC000857;EC00024"
"Porphyrin metabolism","17","17","1","0.71204","0.48973","1","0.021413","2692","0.2692","P30","EC000280"
"Phosphatidylinositol phosphate metabolism","18","18","1","0.75393","0.50967","1","0.02301","847","0.0847","P31","EC00024"
"Glutathione Metabolism","19","19","1","0.79581","0.52885","1","0.024676","1903","0.1903","P32","EC000502"
"Arachidonic acid metabolism","19","19","1","0.79581","0.52885","1","0.024676","1428","0.1428","P33","EC0001114"
"Methionine and cysteine metabolism","49","49","2","2.0524","0.57314","0.85393","0.02909","1025","0.1025","P34","EC00044;EC00024"
"Galactose metabolism","23","23","1","0.96335","0.5985","1","0.032036","2772","0.2772","P35","EC00074"
"Bile acid biosynthesis","24","24","1","1.0052","0.61427","1","0.034047","681","0.0681","P36","EC000353"
"Prostaglandin formation from arachidonate","27","27","1","1.1309","0.65803","1","0.040481","1380","0.138","P37","EC0001114"
"Pentose phosphate pathway","27","27","1","1.1309","0.65803","1","0.040481","3421","0.3421","P38","EC00074"
"Valine, leucine and isoleucine degradation","30","30","1","1.2565","0.69692","1","0.047495","2823","0.2823","P39","EC0001007"
"Carnitine shuttle","32","32","1","1.3403","0.7204","1","0.052478","178","0.0178","P40","EC0001265"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","34","34","1","1.4241","0.7421","1","0.057694","8018","0.8018","P41","EC00033"
"Fatty acid activation","37","37","1","1.5497","0.77159","1","0.065931","2395","0.2395","P42","EC000887"
"Linoleate metabolism","43","43","1","1.801","0.82101","1","0.083736","9843","0.9843","P43","EC000717"
"Purine metabolism","45","45","1","1.8848","0.83502","1","0.090018","5876","0.5876","P44","EC000877"
"Pyrimidine metabolism","63","63","1","2.6387","0.9213","1","0.15195","6728","0.6728","P45","EC000299"
"Tryptophan metabolism","113","113","2","4.733","0.94322","0.98955","0.18073","9881","0.9881","P46","EC000335;EC000514"
"Tyrosine metabolism","151","151","3","6.3246","0.94465","0.98423","0.183","9999","0.9999","P47","EC000372;EC000376;EC000927"
