"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"TCA cycle","16","16","4","0.71724","0.0032572","0.023924","0.0062137","8","8e-04","P1","EC000460;EC000285;EC00032;EC00021"
"Fructose and mannose metabolism","12","12","3","0.53793","0.011312","0.081829","0.0063637","79","0.0079","P2","EC000758;EC00021;EC000757"
"Pyrimidine metabolism","39","39","5","1.7483","0.019513","0.068161","0.0065204","8","8e-04","P3","EC000151;EC00032;EC000146;EC00021;EC00059"
"Tryptophan metabolism","54","54","6","2.4207","0.020579","0.061643","0.006541","606","0.0606","P4","EC000299;EC00098;EC000777;EC000322;EC000775;EC000495"
"Aminosugars metabolism","17","17","3","0.76207","0.030256","0.14868","0.0067318","3","3e-04","P5","EC00032;EC000396;EC000397"
"Beta-Alanine metabolism","9","9","2","0.40345","0.050525","0.31219","0.007151","6","6e-04","P6","EC00052;EC000175"
"Biopterin metabolism","10","10","2","0.44828","0.061522","0.34035","0.00739","280","0.028","P7","EC00098;EC00021"
"Squalene and cholesterol biosynthesis","11","11","2","0.4931","0.073253","0.36739","0.0076545","97","0.0097","P8","EC000450;EC000282"
"C5-Branched dibasic acid metabolism","2","2","1","0.089655","0.081555","1","0.0078477","209","0.0209","P9","EC00021"
"Keratan sulfate biosynthesis","2","2","1","0.089655","0.081555","1","0.0078477","1007","0.1007","P10","EC00023"
"Proteoglycan biosynthesis","2","2","1","0.089655","0.081555","1","0.0078477","1007","0.1007","P11","EC00023"
"Glycerophospholipid metabolism","45","45","4","2.0172","0.11174","0.27353","0.0085958","276","0.0276","P12","EC000289;EC00036;EC000396;EC000397"
"Arginine and Proline Metabolism","14","14","2","0.62759","0.11211","0.4422","0.0086052","335","0.0335","P13","EC000399;EC000175"
"1- and 2-Methylnaphthalene degradation","3","3","1","0.13448","0.11986","1","0.0088098","1528","0.1528","P14","EC000380"
"Lysine metabolism","16","16","2","0.71724","0.1404","0.4872","0.009377","3515","0.3515","P15","EC000156;EC000289"
"Urea cycle/amino group metabolism","33","33","3","1.4793","0.15395","0.39104","0.0097729","2608","0.2608","P16","EC000411;EC000399;EC000175"
"Purine metabolism","54","54","4","2.4207","0.18194","0.37679","0.010649","1083","0.1083","P17","EC000409;EC00021;EC000188;EC00032"
"Drug metabolism - cytochrome P450","19","19","2","0.85172","0.18528","0.54816","0.010759","2227","0.2227","P18","EC000495;EC000562"
"Vitamin B9 (folate) metabolism","5","5","1","0.22414","0.19187","1","0.01098","985","0.0985","P19","EC000409"
"Glutamate metabolism","5","5","1","0.22414","0.19187","1","0.01098","853","0.0853","P20","EC000399"
"Nitrogen metabolism","5","5","1","0.22414","0.19187","1","0.01098","490","0.049","P21","EC00059"
"Xenobiotics metabolism","37","37","3","1.6586","0.19604","0.44899","0.011122","5624","0.5624","P22","EC00023;EC000367;EC000322"
"Aspartate and asparagine metabolism","37","37","3","1.6586","0.19604","0.44899","0.011122","2885","0.2885","P23","EC00059;EC000175;EC000522"
"Alanine and Aspartate Metabolism","6","6","1","0.26897","0.22569","1","0.012193","490","0.049","P24","EC00059"
"Glycosphingolipid biosynthesis - ganglioseries","7","7","1","0.31379","0.25812","1","0.013495","2011","0.2011","P25","EC00023"
"Sialic acid metabolism","11","11","1","0.4931","0.37513","1","0.019632","703","0.0703","P26","EC000445"
"Hexose phosphorylation","11","11","1","0.4931","0.37513","1","0.019632","873","0.0873","P27","EC00032"
"Valine, leucine and isoleucine degradation","12","12","1","0.53793","0.40145","1","0.021406","2745","0.2745","P28","EC00055"
"Phosphatidylinositol phosphate metabolism","14","14","1","0.62759","0.45088","1","0.025249","3399","0.3399","P29","EC000427"
"Histidine metabolism","15","15","1","0.67241","0.47409","1","0.027319","3280","0.328","P30","EC00052"
"Galactose metabolism","17","17","1","0.76207","0.51766","1","0.031756","1637","0.1637","P31","EC00032"
"Glycosphingolipid metabolism","17","17","1","0.76207","0.51766","1","0.031756","1925","0.1925","P32","EC00023"
"Glycolysis and Gluconeogenesis","18","18","1","0.8069","0.53811","1","0.034123","3789","0.3789","P33","EC00021"
"Tyrosine metabolism","93","93","4","4.169","0.5536","0.74741","0.036054","8413","0.8413","P34","EC000716;EC000693;EC00098;EC00023"
"Androgen and estrogen biosynthesis and metabolism","25","25","1","1.1207","0.65938","1","0.053374","4408","0.4408","P35","EC00023"
"Methionine and cysteine metabolism","25","25","1","1.1207","0.65938","1","0.053374","5765","0.5765","P36","EC00023"
"Glycine, serine, alanine and threonine metabolism","37","37","1","1.6586","0.79905","1","0.095968","5254","0.5254","P37","EC000789"
"C21-steroid hormone biosynthesis and metabolism","49","49","1","2.1966","0.8823","1","0.14711","8642","0.8642","P38","EC00023"
