"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Androgen and estrogen biosynthesis and metabolism","24","24","6","1.9639","0.0072403","0.029155","0.0097814","43","0.0043","P1","EC000378;EC000170;EC00011;EC000620;EC00012;EC000459"
"C21-steroid hormone biosynthesis and metabolism","48","48","9","3.9277","0.0079983","0.022936","0.0098018","9","9e-04","P2","EC000518;EC000226;EC000170;EC00012;EC000378;EC0001015;EC00011;EC000459;EC000620"
"Vitamin E metabolism","26","26","5","2.1275","0.042098","0.12578","0.010772","0","0","P3","EC000942;EC000926;EC000944;EC000768;EC000771"
"Selenoamino acid metabolism","14","14","3","1.1456","0.084647","0.28525","0.012129","1180","0.118","P4","EC000497;EC000282;EC000283"
"Linoleate metabolism","34","34","5","2.7821","0.11058","0.25018","0.013046","855","0.0855","P5","EC000793;EC000267;EC000651;EC000587;EC000328"
"Omega-3 fatty acid metabolism","8","8","2","0.65462","0.11944","0.46709","0.013377","259","0.0259","P6","EC000687;EC000587"
"Drug metabolism - other enzymes","26","26","4","2.1275","0.13036","0.31157","0.013796","1231","0.1231","P7","EC000720;EC000721;EC000722;EC000719"
"Vitamin B2 (riboflavin) metabolism","2","2","1","0.16366","0.14701","1","0.014463","2027","0.2027","P8","EC00097"
"N-Glycan biosynthesis","10","10","2","0.81828","0.17406","0.54505","0.015624","2243","0.2243","P9","EC00050;EC000455"
"Sphingolipid metabolism","3","3","1","0.24548","0.2123","1","0.01744","3066","0.3066","P10","EC000388"
"Di-unsaturated fatty acid beta-oxidation","4","4","1","0.32731","0.27265","1","0.020796","1159","0.1159","P11","EC000328"
"Arachidonic acid metabolism","24","24","3","1.9639","0.27552","0.55213","0.020972","3698","0.3698","P12","EC000257;EC000587;EC000248"
"D4&E4-neuroprostanes formation","14","14","2","1.1456","0.2906","0.66876","0.021927","264","0.0264","P13","EC000973;EC000267"
"Porphyrin metabolism","14","14","2","1.1456","0.2906","0.66876","0.021927","1092","0.1092","P14","EC000548;EC000167"
"Lysine metabolism","14","14","2","1.1456","0.2906","0.66876","0.021927","5601","0.5601","P15","EC000290;EC000312"
"Prostaglandin formation from arachidonate","48","48","5","3.9277","0.30159","0.49689","0.022653","1857","0.1857","P16","EC000564;EC000257;EC000865;EC000267;EC000566"
"Fatty Acid Metabolism","15","15","2","1.2274","0.31989","0.69408","0.023923","5354","0.5354","P17","EC0001016;EC000328"
"Lipoate metabolism","5","5","1","0.40914","0.32843","1","0.024542","6784","0.6784","P18","EC000224"
"Glycerophospholipid metabolism","50","50","5","4.0914","0.33303","0.53034","0.024883","4239","0.4239","P19","EC000286;EC000587;EC00052;EC000428;EC000328"
"Drug metabolism - cytochrome P450","17","17","2","1.3911","0.37752","0.73914","0.028469","3316","0.3316","P20","EC000614;EC000703"
"Ascorbate (Vitamin C) and Aldarate Metabolism","17","17","2","1.3911","0.37752","0.73914","0.028469","6583","0.6583","P21","EC000267;EC000224"
"Glycosphingolipid biosynthesis - ganglioseries","6","6","1","0.49097","0.37999","1","0.028685","2894","0.2894","P22","EC000388"
"Vitamin B5 - CoA biosynthesis from pantothenate","6","6","1","0.49097","0.37999","1","0.028685","3133","0.3133","P23","EC00050"
"Parathio degradation","6","6","1","0.49097","0.37999","1","0.028685","5955","0.5955","P24","EC000598"
"Dynorphin metabolism","7","7","1","0.57279","0.42764","1","0.033226","216","0.0216","P25","EC000848"
"Beta-Alanine metabolism","7","7","1","0.57279","0.42764","1","0.033226","779","0.0779","P26","EC000133"
"De novo fatty acid biosynthesis","20","20","2","1.6366","0.45994","0.79472","0.036772","4481","0.4481","P27","EC000587;EC000328"
"Leukotriene metabolism","35","35","3","2.864","0.50921","0.75737","0.043058","3228","0.3228","P28","EC000257;EC000955;EC000248"
"Carnitine shuttle","22","22","2","1.8002","0.51134","0.8251","0.043357","1196","0.1196","P29","EC0001012;EC000996"
"Aspartate and asparagine metabolism","37","37","3","3.0276","0.54806","0.78463","0.048911","6787","0.6787","P30","EC000760;EC000913;EC000393"
"Propanoate metabolism","10","10","1","0.81828","0.54993","1","0.049217","2419","0.2419","P31","EC000224"
"3-oxo-10R-octadecatrienoate beta-oxidation","11","11","1","0.90011","0.58466","1","0.055309","6596","0.6596","P32","EC000898"
"Glycosphingolipid metabolism","26","26","2","2.1275","0.60427","0.87317","0.059152","2237","0.2237","P33","EC000286;EC000388"
"Phosphatidylinositol phosphate metabolism","12","12","1","0.98193","0.61674","1","0.061762","4721","0.4721","P34","EC000313"
"Histidine metabolism","13","13","1","1.0638","0.64636","1","0.068561","2414","0.2414","P35","EC000133"
"Bile acid biosynthesis","29","29","2","2.373","0.66495","0.90042","0.073302","712","0.0712","P36","EC000506;EC000377"
"Vitamin A (retinol) metabolism","14","14","1","1.1456","0.67373","1","0.075688","7098","0.7098","P37","EC000618"
"Purine metabolism","47","47","3","3.8459","0.71335","0.88456","0.087767","5935","0.5935","P38","EC000267;EC000318;EC000345"
"Xenobiotics metabolism","48","48","3","3.9277","0.72707","0.89178","0.092528","8928","0.8928","P39","EC000238;EC000661;EC000642"
"Sialic acid metabolism","17","17","1","1.3911","0.7439","1","0.098846","7122","0.7122","P40","EC000388"
"Glycolysis and Gluconeogenesis","18","18","1","1.4729","0.7638","1","0.10709","4323","0.4323","P41","EC000160"
"Galactose metabolism","19","19","1","1.5547","0.78217","1","0.11556","5908","0.5908","P42","EC00050"
"Aminosugars metabolism","19","19","1","1.5547","0.78217","1","0.11556","6765","0.6765","P43","EC000428"
"Tryptophan metabolism","37","37","2","3.0276","0.79094","0.94796","0.11994","8999","0.8999","P44","EC000540;EC000794"
"Arginine and Proline Metabolism","20","20","1","1.6366","0.79913","1","0.12424","8069","0.8069","P45","EC000393"
"Fatty acid activation","38","38","2","3.1095","0.80339","0.95203","0.12657","8029","0.8029","P46","EC000587;EC000328"
"Glycine, serine, alanine and threonine metabolism","44","44","2","3.6004","0.86529","0.97064","0.16921","8238","0.8238","P47","EC000262;EC00052"
"Methionine and cysteine metabolism","29","29","1","2.373","0.90352","1","0.20842","9649","0.9649","P48","EC000179"
"Pyrimidine metabolism","57","57","1","4.6642","0.99059","1","0.4631","9981","0.9981","P49","EC00050"
"Tyrosine metabolism","89","89","1","7.2827","0.9994","1","0.67021","9996","0.9996","P50","EC000914"
