"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Tryptophan metabolism","113","113","15","6.3106","0.00032974","0.00094815","0.0040781","295","0.0295","P1","EC000204;EC000367;EC000368;EC000567;EC000628;EC000819;EC000433;EC000678;EC0001209;EC0001078;EC0001228;EC000333;EC000209;EC000421;EC000335"
"Electron transport chain","2","2","1","0.11169","0.10021","1","0.0055791","393","0.0393","P2","EC000242"
"Alkaloid biosynthesis II","11","11","2","0.61431","0.10611","0.43649","0.0056846","204","0.0204","P3","EC000956;EC000135"
"Fatty acid oxidation","11","11","2","0.61431","0.10611","0.43649","0.0056846","41","0.0041","P4","EC000242;EC0001143"
"Omega-3 fatty acid metabolism","13","13","2","0.726","0.141","0.49258","0.0063533","24","0.0024","P5","EC000716;EC0001143"
"Prostaglandin formation from arachidonate","27","27","3","1.5079","0.15781","0.401","0.0067052","46","0.0046","P6","EC0001202;EC000942;EC000944"
"Butanoate metabolism","42","42","4","2.3455","0.16522","0.35836","0.006867","891","0.0891","P7","EC000620;EC000621;EC000594;EC000596"
"Linoleate metabolism","43","43","4","2.4014","0.1755","0.3726","0.0070983","7365","0.7365","P8","EC0001237;EC0001117;EC0001120;EC000716"
"Drug metabolism - cytochrome P450","34","34","3","1.8988","0.25241","0.52179","0.0091221","3309","0.3309","P9","EC000904;EC000913;EC0001027"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","34","34","3","1.8988","0.25241","0.52179","0.0091221","2964","0.2964","P10","EC00036;EC000836;EC000838"
"Caffeine metabolism","6","6","1","0.33508","0.27189","1","0.0097288","787","0.0787","P11","EC000911"
"Fatty acid activation","37","37","3","2.0663","0.2954","0.56852","0.010521","165","0.0165","P12","EC000888;EC000168;EC0001143"
"Fatty acid oxidation, peroxisome","8","8","1","0.44677","0.34519","1","0.012442","0","0","P13","EC0001143"
"Saturated fatty acids beta-oxidation","9","9","1","0.50262","0.37907","1","0.01397","17","0.0017","P14","EC000168"
"Limonene and pinene degradation","9","9","1","0.50262","0.37907","1","0.01397","7036","0.7036","P15","EC000576"
"Glycosphingolipid metabolism","27","27","2","1.5079","0.40884","0.75763","0.015487","620","0.062","P16","EC000168;EC000869"
"Vitamin B9 (folate) metabolism","10","10","1","0.55846","0.41122","1","0.015616","2669","0.2669","P17","EC000269"
"Nitrogen metabolism","10","10","1","0.55846","0.41122","1","0.015616","6063","0.6063","P18","EC00036"
"Omega-6 fatty acid metabolism","10","10","1","0.55846","0.41122","1","0.015616","19","0.0019","P19","EC0001143"
"Squalene and cholesterol biosynthesis","11","11","1","0.61431","0.44174","1","0.017381","497","0.0497","P20","EC000573"
"TCA cycle","11","11","1","0.61431","0.44174","1","0.017381","1423","0.1423","P21","EC000242"
"De novo fatty acid biosynthesis","29","29","2","1.6195","0.44521","0.78207","0.017595","476","0.0476","P22","EC000168;EC0001143"
"Methionine and cysteine metabolism","49","49","3","2.7365","0.46697","0.72248","0.019012","625","0.0625","P23","EC0001165;EC000269;EC000762"
"Ubiquinone Biosynthesis","13","13","1","0.726","0.49816","1","0.021274","7109","0.7109","P24","EC000242"
"Arginine and Proline Metabolism","53","53","3","2.9599","0.52068","0.76259","0.0231","8783","0.8783","P25","EC000593;EC00036;EC000850"
"Biopterin metabolism","14","14","1","0.78185","0.52423","1","0.023404","9057","0.9057","P26","EC000269"
"Selenoamino acid metabolism","15","15","1","0.8377","0.54897","1","0.025655","252","0.0252","P27","EC000269"
"Porphyrin metabolism","17","17","1","0.94939","0.5947","1","0.030523","3618","0.3618","P28","EC000412"
"Glycerophospholipid metabolism","60","60","3","3.3508","0.60738","0.82096","0.03206","2488","0.2488","P29","EC000573;EC000869;EC000476"
"Fatty Acid Metabolism","18","18","1","1.0052","0.61582","1","0.033136","830","0.083","P30","EC000168"
"Phosphatidylinositol phosphate metabolism","18","18","1","1.0052","0.61582","1","0.033136","1111","0.1111","P31","EC000168"
"Glutamate metabolism","19","19","1","1.0611","0.63586","1","0.035867","3259","0.3259","P32","EC00036"
"Pyrimidine metabolism","63","63","3","3.5183","0.64131","0.84186","0.036656","2830","0.283","P33","EC00036;EC000242;EC000154"
"Alanine and Aspartate Metabolism","21","21","1","1.1728","0.6729","1","0.041674","7493","0.7493","P34","EC00036"
"Aspartate and asparagine metabolism","109","109","5","6.0873","0.67579","0.82004","0.042175","6907","0.6907","P35","EC000259;EC00036;EC000641;EC0001197;EC000593"
"Xenobiotics metabolism","47","47","2","2.6248","0.70884","0.91693","0.048463","6440","0.644","P36","EC000168;EC000335"
"Bile acid biosynthesis","24","24","1","1.3403","0.72161","1","0.05121","1352","0.1352","P37","EC000573"
"Androgen and estrogen biosynthesis and metabolism","28","28","1","1.5637","0.77561","1","0.065333","6186","0.6186","P38","EC0001173"
"Valine, leucine and isoleucine degradation","30","30","1","1.6754","0.7986","1","0.072936","4200","0.42","P39","EC00086"
"Aminosugars metabolism","30","30","1","1.6754","0.7986","1","0.072936","4326","0.4326","P40","EC00036"
"Tyrosine metabolism","151","151","6","8.4328","0.81077","0.89943","0.077462","9998","0.9998","P41","EC0001078;EC000339;EC000678;EC00036;EC000789;EC0001027"
"Carnitine shuttle","32","32","1","1.7871","0.81927","1","0.080859","347","0.0347","P42","EC0001143"
"Lysine metabolism","44","44","1","2.4572","0.90598","1","0.13347","9948","0.9948","P43","EC000763"
"Purine metabolism","45","45","1","2.5131","0.91099","1","0.13813","7179","0.7179","P44","EC00036"
"C21-steroid hormone biosynthesis and metabolism","52","52","1","2.904","0.93941","1","0.17142","7193","0.7193","P45","EC000573"
"Urea cycle/amino group metabolism","92","92","2","5.1379","0.95885","0.99303","0.20527","9999","0.9999","P46","EC000259;EC000331"
