"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Arginine and Proline Metabolism","14","14","4","1.0299","0.011794","0.061899","0.038384","1","1e-04","P1","EC00068;EC000412;EC00028;EC00029"
"TCA cycle","16","16","4","1.177","0.019329","0.086555","0.038957","52","0.0052","P2","EC000460;EC000136;EC00032;EC000143"
"Methionine and cysteine metabolism","25","25","5","1.8391","0.023214","0.080771","0.039256","87","0.0087","P3","EC000412;EC00028;EC00029;EC00068;EC000517"
"Phytanic acid peroxisomal oxidation","6","6","2","0.44138","0.057632","0.34215","0.042021","6","6e-04","P4","EC000688;EC000873"
"Prostaglandin formation from dihomo gama-linoleic acid","8","8","2","0.58851","0.098487","0.42821","0.045589","409","0.0409","P5","EC000199;EC000794"
"Glycine, serine, alanine and threonine metabolism","37","37","5","2.7218","0.10112","0.23323","0.045831","22","0.0022","P6","EC000107;EC00028;EC00029;EC000535;EC00067"
"Mono-unsaturated fatty acid beta-oxidation","2","2","1","0.14713","0.13201","1","0.048773","0","0","P7","EC000688"
"Arachidonic acid metabolism","31","31","4","2.2805","0.15542","0.34689","0.051145","611","0.0611","P8","EC000610;EC000256;EC000199;EC000246"
"3-oxo-10R-octadecatrienoate beta-oxidation","11","11","2","0.8092","0.16977","0.53694","0.052665","921","0.0921","P9","EC000819;EC000820"
"Prostaglandin formation from arachidonate","44","44","5","3.2368","0.17511","0.34237","0.053244","1383","0.1383","P10","EC000143;EC000845;EC000256;EC000199;EC000848"
"Urea cycle/amino group metabolism","33","33","4","2.4276","0.18288","0.38503","0.054097","3570","0.357","P11","EC00028;EC00029;EC000107;EC00068"
"Drug metabolism - other enzymes","25","25","3","1.8391","0.24052","0.51092","0.06095","1576","0.1576","P12","EC000666;EC000568;EC000648"
"Di-unsaturated fatty acid beta-oxidation","4","4","1","0.29425","0.24683","1","0.06176","23","0.0023","P13","EC000743"
"Electron transport chain","4","4","1","0.29425","0.24683","1","0.06176","3826","0.3826","P14","EC000136"
"Pyrimidine metabolism","39","39","4","2.869","0.27319","0.49559","0.065278","373","0.0373","P15","EC000151;EC00032;EC000146;EC00059"
"Tyrosine metabolism","93","93","8","6.8414","0.2965","0.43715","0.068585","8440","0.844","P16","EC000287;EC000767;EC000143;EC000263;EC000766;EC000596;EC000182;EC000762"
"Nitrogen metabolism","5","5","1","0.36782","0.29849","1","0.068876","1276","0.1276","P17","EC00059"
"Aminosugars metabolism","17","17","2","1.2506","0.32558","0.69694","0.072988","103","0.0103","P18","EC000552;EC00032"
"Parathio degradation","6","6","1","0.44138","0.34666","1","0.07639","2861","0.2861","P19","EC000239"
"Glyoxylate and Dicarboxylate Metabolism","6","6","1","0.44138","0.34666","1","0.07639","0","0","P20","EC00067"
"Alanine and Aspartate Metabolism","6","6","1","0.44138","0.34666","1","0.07639","380","0.038","P21","EC00059"
"Omega-6 fatty acid metabolism","6","6","1","0.44138","0.34666","1","0.07639","88","0.0088","P22","EC000743"
"Glycerophospholipid metabolism","45","45","4","3.3103","0.36976","0.5959","0.080333","949","0.0949","P23","EC000207;EC000210;EC000182;EC000552"
"Omega-3 fatty acid metabolism","7","7","1","0.51494","0.39158","1","0.084285","4304","0.4304","P24","EC000783"
"Porphyrin metabolism","7","7","1","0.51494","0.39158","1","0.084285","3612","0.3612","P25","EC000143"
"D4&E4-neuroprostanes formation","8","8","1","0.58851","0.43345","1","0.092543","3666","0.3666","P26","EC000143"
"Vitamin B6 (pyridoxine) metabolism","8","8","1","0.58851","0.43345","1","0.092543","5884","0.5884","P27","EC000235"
"Ubiquinone Biosynthesis","8","8","1","0.58851","0.43345","1","0.092543","455","0.0455","P28","EC000287"
"Selenoamino acid metabolism","8","8","1","0.58851","0.43345","1","0.092543","4531","0.4531","P29","EC000275"
"Xenobiotics metabolism","37","37","3","2.7218","0.47034","0.72687","0.10065","9185","0.9185","P30","EC000239;EC000619;EC000582"
"Beta-Alanine metabolism","9","9","1","0.66207","0.47248","1","0.10115","302","0.0302","P31","EC00053"
"Bile acid biosynthesis","23","23","2","1.692","0.47435","0.80223","0.10158","37","0.0037","P32","EC000464;EC000357"
"Purine metabolism","54","54","4","3.9724","0.51251","0.72084","0.11102","3733","0.3733","P33","EC000125;EC000123;EC000214;EC00032"
"Leukotriene metabolism","41","41","3","3.0161","0.54146","0.77875","0.11893","1440","0.144","P34","EC000794;EC000256;EC000246"
"Hexose phosphorylation","11","11","1","0.8092","0.54277","1","0.1193","2050","0.205","P35","EC00032"
"Ascorbate (Vitamin C) and Aldarate Metabolism","11","11","1","0.8092","0.54277","1","0.1193","9124","0.9124","P36","EC000143"
"Phosphatidylinositol phosphate metabolism","14","14","1","1.0299","0.63126","1","0.14856","5479","0.5479","P37","EC000427"
"Histidine metabolism","15","15","1","1.1034","0.65683","1","0.15876","5018","0.5018","P38","EC00053"
"C21-steroid hormone biosynthesis and metabolism","49","49","3","3.6046","0.66627","0.85757","0.16277","7329","0.7329","P39","EC000907;EC000469;EC000481"
"Galactose metabolism","17","17","1","1.2506","0.70284","1","0.1797","2323","0.2323","P40","EC00032"
"Glycosphingolipid metabolism","17","17","1","1.2506","0.70284","1","0.1797","3128","0.3128","P41","EC000182"
"Aspartate and asparagine metabolism","37","37","2","2.7218","0.73515","0.92777","0.19683","8926","0.8926","P42","EC000707;EC00059"
"Vitamin E metabolism","21","21","1","1.5448","0.7774","1","0.22314","2208","0.2208","P43","EC000710"
"Vitamin A (retinol) metabolism","21","21","1","1.5448","0.7774","1","0.22314","6784","0.6784","P44","EC000579"
"Carnitine shuttle","25","25","1","1.8391","0.83347","1","0.26762","3620","0.362","P45","EC000926"
"Fatty acid activation","29","29","1","2.1333","0.87559","1","0.31212","6906","0.6906","P46","EC000783"
"Linoleate metabolism","31","31","1","2.2805","0.89251","1","0.33413","9451","0.9451","P47","EC000872"
"Tryptophan metabolism","54","54","1","3.9724","0.98049","1","0.55746","9971","0.9971","P48","EC000258"
