"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Xenobiotics metabolism","46","46","7","2.351","0.0044518","0.016451","0.003479","55","0.0055","P1","EC000313;EC000881;EC000891;EC000892;EC000864;EC000893;EC000473"
"Glycolysis and Gluconeogenesis","11","11","3","0.5622","0.012493","0.088402","0.0035735","179","0.0179","P2","EC000375;EC000288;EC00020"
"Pentose phosphate pathway","17","17","3","0.86885","0.042138","0.18371","0.0039458","257","0.0257","P3","EC000478;EC000479;EC00020"
"Selenoamino acid metabolism","10","10","2","0.51109","0.077036","0.37851","0.0044374","10","0.001","P4","EC00014;EC000152"
"Glycosphingolipid biosynthesis - globoseries","2","2","1","0.10222","0.092123","1","0.0046696","324","0.0324","P5","EC00020"
"Hexose phosphorylation","13","13","2","0.66442","0.1221","0.46161","0.0051702","2366","0.2366","P6","EC00020;EC000178"
"Starch and Sucrose Metabolism","3","3","1","0.15333","0.13501","1","0.005403","2095","0.2095","P7","EC00020"
"Tryptophan metabolism","93","93","7","4.7531","0.14066","0.25529","0.0055085","2682","0.2682","P8","EC00061;EC000969;EC000473;EC000311;EC000180;EC00020;EC000313"
"Bile acid biosynthesis","28","28","3","1.4311","0.14149","0.37513","0.0055241","578","0.0578","P9","EC000647;EC000950;EC000133"
"Lysine metabolism","47","47","4","2.4021","0.1764","0.37221","0.0062281","3555","0.3555","P10","EC000288;EC000394;EC000395;EC000444"
"Chondroitin sulfate degradation","5","5","1","0.25554","0.2149","1","0.0071174","1037","0.1037","P11","EC00020"
"Di-unsaturated fatty acid beta-oxidation","5","5","1","0.25554","0.2149","1","0.0071174","293","0.0293","P12","EC000460"
"Caffeine metabolism","5","5","1","0.25554","0.2149","1","0.0071174","3021","0.3021","P13","EC00020"
"Lipoate metabolism","5","5","1","0.25554","0.2149","1","0.0071174","1274","0.1274","P14","EC000288"
"CoA Catabolism","5","5","1","0.25554","0.2149","1","0.0071174","1910","0.191","P15","EC000368"
"Glycosphingolipid biosynthesis - ganglioseries","6","6","1","0.30665","0.25209","1","0.0081068","210","0.021","P16","EC00020"
"N-Glycan Degradation","6","6","1","0.30665","0.25209","1","0.0081068","3020","0.302","P17","EC00020"
"N-Glycan biosynthesis","7","7","1","0.35776","0.28754","1","0.0091897","460","0.046","P18","EC00020"
"Keratan sulfate degradation","7","7","1","0.35776","0.28754","1","0.0091897","3926","0.3926","P19","EC00020"
