"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"C21-steroid hormone biosynthesis and metabolism","48","48","5","2.2444","0.052934","0.14309","0.0082311","99","0.0099","P1","EC000174;EC000230;EC000460;EC000369;EC000620"
"N-Glycan biosynthesis","10","10","2","0.46759","0.067078","0.35465","0.0085833","421","0.0421","P2","EC00044;EC000454"
"Starch and Sucrose Metabolism","11","11","2","0.51435","0.079757","0.38245","0.0089128","812","0.0812","P3","EC00044;EC000229"
"Androgen and estrogen biosynthesis and metabolism","24","24","3","1.1222","0.082809","0.27303","0.0089941","512","0.0512","P4","EC000174;EC000620;EC000460"
"Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","3","3","1","0.14028","0.12544","1","0.010217","143","0.0143","P5","EC00066"
"Vitamin D3 (cholecalciferol) metabolism","17","17","2","0.7949","0.16748","0.52631","0.0116","441","0.0441","P6","EC000799;EC000797"
"Drug metabolism - cytochrome P450","17","17","2","0.7949","0.16748","0.52631","0.0116","1191","0.1191","P7","EC000706;EC000729"
"N-Glycan Degradation","5","5","1","0.23379","0.20038","1","0.012823","4104","0.4104","P8","EC000191"
"Pyrimidine metabolism","57","57","4","2.6652","0.23376","0.44394","0.01421","3293","0.3293","P9","EC00044;EC000110;EC000171;EC000211"
"Pentose phosphate pathway","22","22","2","1.0287","0.24889","0.62071","0.014891","5021","0.5021","P10","EC000639;EC000211"
"Glycine, serine, alanine and threonine metabolism","44","44","3","2.0574","0.30051","0.57064","0.017499","2022","0.2022","P11","EC000780;EC000783;EC00079"
"Pentose and Glucuronate Interconversions","8","8","1","0.37407","0.30116","1","0.017534","2362","0.2362","P12","EC00044"
"Butanoate metabolism","10","10","1","0.46759","0.36133","1","0.021237","1061","0.1061","P13","EC00079"
"Ubiquinone Biosynthesis","10","10","1","0.46759","0.36133","1","0.021237","2201","0.2201","P14","EC000496"
"Phosphatidylinositol phosphate metabolism","12","12","1","0.56111","0.41643","1","0.025406","3321","0.3321","P15","EC00066"
"Vitamin A (retinol) metabolism","14","14","1","0.65462","0.46688","1","0.030046","3965","0.3965","P16","EC000730"
"D4&E4-neuroprostanes formation","14","14","1","0.65462","0.46688","1","0.030046","850","0.085","P17","EC000145"
"Porphyrin metabolism","14","14","1","0.65462","0.46688","1","0.030046","2135","0.2135","P18","EC000145"
"Tryptophan metabolism","37","37","2","1.7301","0.48785","0.80664","0.032255","6334","0.6334","P19","EC000541;EC000201"
"Fatty Acid Metabolism","15","15","1","0.70138","0.49048","1","0.032544","6304","0.6304","P20","EC000983"
"Fatty acid activation","38","38","2","1.7768","0.5023","0.81521","0.033885","4789","0.4789","P21","EC0001010;EC000583"
"Valine, leucine and isoleucine degradation","16","16","1","0.74814","0.51306","1","0.035161","3517","0.3517","P22","EC00079"
"Sialic acid metabolism","17","17","1","0.7949","0.53465","1","0.037894","5485","0.5485","P23","EC00066"
"Ascorbate (Vitamin C) and Aldarate Metabolism","17","17","1","0.7949","0.53465","1","0.037894","8254","0.8254","P24","EC000145"
"TCA cycle","18","18","1","0.84166","0.55532","1","0.040744","8485","0.8485","P25","EC000145"
"Galactose metabolism","19","19","1","0.88842","0.57508","1","0.04371","3690","0.369","P26","EC000191"
"Aminosugars metabolism","19","19","1","0.88842","0.57508","1","0.04371","4599","0.4599","P27","EC000191"
"Purine metabolism","47","47","2","2.1977","0.62045","0.87734","0.051547","4946","0.4946","P28","EC000319;EC000211"
"Carnitine shuttle","22","22","1","1.0287","0.62936","1","0.05328","2043","0.2043","P29","EC0001013"
"Prostaglandin formation from arachidonate","48","48","2","2.2444","0.63221","0.88283","0.053849","4944","0.4944","P30","EC000145;EC000564"
"Glycerophospholipid metabolism","50","50","2","2.3379","0.65491","0.89309","0.058658","7457","0.7457","P31","EC00040;EC00066"
"Drug metabolism - other enzymes","26","26","1","1.2157","0.69131","1","0.067535","6967","0.6967","P32","EC000718"
"Bile acid biosynthesis","29","29","1","1.356","0.73101","1","0.079254","1160","0.116","P33","EC000483"
"Tyrosine metabolism","89","89","3","4.1615","0.76433","0.90787","0.091217","8072","0.8072","P34","EC000145;EC000747;EC000541"
"Linoleate metabolism","34","34","1","1.5898","0.78637","1","0.10049","7692","0.7692","P35","EC000467"
"Leukotriene metabolism","35","35","1","1.6366","0.79602","1","0.10497","5870","0.587","P36","EC000360"
"Urea cycle/amino group metabolism","39","39","1","1.8236","0.83053","1","0.12351","8662","0.8662","P37","EC000496"
"Xenobiotics metabolism","48","48","1","2.2444","0.88866","1","0.16809","9631","0.9631","P38","EC000677"
