"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Tyrosine metabolism","93","93","15","9.9414","0.03261","0.059886","0.031996","3288","0.3288","P1","EC000143;EC000174;EC0006;EC000827;EC000406;EC000490;EC000810;EC000812;EC000122;EC00095;EC000544;EC000761;EC000501;EC000491;EC000705"
"TCA cycle","16","16","4","1.7103","0.065226","0.20183","0.034267","235","0.0235","P2","EC000137;EC000179;EC00032;EC000143"
"Aminosugars metabolism","17","17","4","1.8172","0.079021","0.22869","0.035281","0","0","P3","EC000507;EC000552;EC00032;EC000395"
"Glycerophospholipid metabolism","45","45","7","4.8103","0.14905","0.2748","0.040972","184","0.0184","P4","EC000276;EC000507;EC000207;EC000208;EC000183;EC000552;EC000395"
"D4&E4-neuroprostanes formation","8","8","2","0.85517","0.18419","0.56397","0.044213","1131","0.1131","P5","EC000898;EC000143"
"Vitamin B6 (pyridoxine) metabolism","8","8","2","0.85517","0.18419","0.56397","0.044213","2327","0.2327","P6","EC000169;EC000203"
"Prostaglandin formation from dihomo gama-linoleic acid","8","8","2","0.85517","0.18419","0.56397","0.044213","1036","0.1036","P7","EC000197;EC000795"
"Biopterin metabolism","10","10","2","1.069","0.26078","0.6461","0.052336","971","0.0971","P8","EC000449;EC00095"
"Glycolysis and Gluconeogenesis","18","18","3","1.9241","0.26158","0.54143","0.052429","1248","0.1248","P9","EC000121;EC000179;EC00084"
"Prostaglandin formation from arachidonate","44","44","6","4.7034","0.26554","0.43764","0.052895","2140","0.214","P10","EC000143;EC000254;EC000598;EC000791;EC000197;EC000849"
"Fatty acid oxidation","3","3","1","0.32069","0.26944","1","0.053357","655","0.0655","P11","EC000137"
"1- and 2-Methylnaphthalene degradation","3","3","1","0.32069","0.26944","1","0.053357","2048","0.2048","P12","EC000379"
"Aspartate and asparagine metabolism","37","37","5","3.9552","0.3021","0.50106","0.057422","5077","0.5077","P13","EC000513;EC000176;EC000140;EC000309;EC000390"
"Electron transport chain","4","4","1","0.42759","0.34218","1","0.062913","3274","0.3274","P14","EC000137"
"Lipoate metabolism","4","4","1","0.42759","0.34218","1","0.062913","4048","0.4048","P15","EC000179"
"Pyrimidine metabolism","39","39","5","4.169","0.34339","0.54456","0.063087","732","0.0732","P16","EC000137;EC000142;EC000215;EC00032;EC000100"
"C21-steroid hormone biosynthesis and metabolism","49","49","6","5.2379","0.35742","0.53708","0.065159","4107","0.4107","P17","EC000338;EC000467;EC000456;EC000476;EC0008;EC000455"
"Vitamin B9 (folate) metabolism","5","5","1","0.53448","0.40775","1","0.073284","3584","0.3584","P18","EC000142"
"Glutathione Metabolism","5","5","1","0.53448","0.40775","1","0.073284","2151","0.2151","P19","EC000309"
"Carbon fixation","5","5","1","0.53448","0.40775","1","0.073284","0","0","P20","EC000121"
"Arginine and Proline Metabolism","14","14","2","1.4966","0.41233","0.76719","0.074081","2354","0.2354","P21","EC000176;EC000140"
"Carnitine shuttle","25","25","3","2.6724","0.45923","0.72302","0.082877","756","0.0756","P22","EC000684;EC000685;EC000910"
"Androgen and estrogen biosynthesis and metabolism","25","25","3","2.6724","0.45923","0.72302","0.082877","2621","0.2621","P23","EC000456;EC000455;EC0008"
"Drug metabolism - other enzymes","25","25","3","2.6724","0.45923","0.72302","0.082877","3565","0.3565","P24","EC000671;EC000668;EC000662"
"Methionine and cysteine metabolism","25","25","3","2.6724","0.45923","0.72302","0.082877","4103","0.4103","P25","EC00080;EC000163;EC000518"
"Lysine metabolism","16","16","2","1.7103","0.48261","0.81131","0.087735","8127","0.8127","P26","EC000179;EC000140"
"Xenobiotics metabolism","37","37","4","3.9552","0.51","0.72329","0.093877","9250","0.925","P27","EC000612;EC000618;EC000620;EC000615"
"Galactose metabolism","17","17","2","1.8172","0.5158","0.83016","0.095246","1006","0.1006","P28","EC000121;EC00032"
"Glycosphingolipid metabolism","17","17","2","1.8172","0.5158","0.83016","0.095246","1635","0.1635","P29","EC000183;EC000276"
"Omega-3 fatty acid metabolism","7","7","1","0.74828","0.52011","1","0.096278","6318","0.6318","P30","EC000446"
"Porphyrin metabolism","7","7","1","0.74828","0.52011","1","0.096278","5111","0.5111","P31","EC000143"
"Ubiquinone Biosynthesis","8","8","1","0.85517","0.5681","1","0.10878","604","0.0604","P32","EC000137"
"Drug metabolism - cytochrome P450","19","19","2","2.031","0.5779","0.86245","0.11159","7445","0.7445","P33","EC000571;EC000495"
"Linoleate metabolism","31","31","3","3.3138","0.6099","0.82711","0.12141","7490","0.749","P34","EC000901;EC000893;EC000446"
