"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Putative anti-Inflammatory metabolites formation from EPA","11","11","4","0.81828","0.0048567","0.034048","0.0098443","17","0.0017","P1","EC000789;EC000941;EC000463;EC000978"
"Glyoxylate and Dicarboxylate Metabolism","3","3","2","0.22317","0.013632","0.1918","0.010085","0","0","P2","EC00049;EC000260"
"Carbon fixation","10","10","3","0.74389","0.027037","0.14562","0.010465","142","0.0142","P3","EC00049;EC000106;EC00053"
"Leukotriene metabolism","35","35","6","2.6036","0.02932","0.084531","0.010531","182","0.0182","P4","EC000756;EC000789;EC000878;EC000149;EC000953;EC000955"
"N-Glycan Degradation","5","5","2","0.37194","0.041467","0.29902","0.010891","1368","0.1368","P5","EC000191;EC000265"
"Pentose phosphate pathway","22","22","4","1.6366","0.060175","0.18642","0.011471","1738","0.1738","P6","EC00053;EC00049;EC000106;EC000210"
"Benzoate degradation via CoA ligation","1","1","1","0.074389","0.069444","1","0.011771","0","0","P7","EC00059"
"Pyruvate Metabolism","7","7","2","0.52072","0.079547","0.39219","0.012107","0","0","P8","EC00065;EC00049"
"Glycolysis and Gluconeogenesis","18","18","3","1.339","0.1236","0.35239","0.013699","103","0.0103","P9","EC00049;EC00089;EC000160"
"Sphingolipid metabolism","3","3","1","0.22317","0.19438","1","0.016754","1356","0.1356","P10","EC000388"
"Histidine metabolism","13","13","2","0.96706","0.22664","0.60447","0.018386","185","0.0185","P11","EC000550;EC000133"
"Fructose and mannose metabolism","13","13","2","0.96706","0.22664","0.60447","0.018386","3980","0.398","P12","EC000265;EC00049"
"Nucleotide Sugar Metabolism","4","4","1","0.29756","0.25049","1","0.019706","576","0.0576","P13","EC000213"
"Selenoamino acid metabolism","14","14","2","1.0414","0.25322","0.6319","0.019863","3212","0.3212","P14","EC000194;EC000283"
"Keratan sulfate degradation","5","5","1","0.37194","0.30275","1","0.022976","5758","0.5758","P15","EC000265"
"Vitamin B6 (pyridoxine) metabolism","5","5","1","0.37194","0.30275","1","0.022976","170","0.017","P16","EC000194"
"Bile acid biosynthesis","29","29","3","2.1573","0.32686","0.60326","0.024685","114","0.0114","P17","EC000483;EC000506;EC00065"
"Glycosphingolipid biosynthesis - ganglioseries","6","6","1","0.44633","0.35141","1","0.026572","3017","0.3017","P18","EC000388"
"Galactose metabolism","19","19","2","1.4134","0.38492","0.74331","0.029415","1920","0.192","P19","EC00049;EC000191"
"Aminosugars metabolism","19","19","2","1.4134","0.38492","0.74331","0.029415","2556","0.2556","P20","EC000428;EC000191"
"Beta-Alanine metabolism","7","7","1","0.52072","0.39672","1","0.030497","765","0.0765","P21","EC000133"
"Arginine and Proline Metabolism","20","20","2","1.4878","0.41029","0.76122","0.031796","4004","0.4004","P22","EC000562;EC000287"
"Prostaglandin formation from arachidonate","48","48","4","3.5707","0.43107","0.6531","0.033911","2931","0.2931","P23","EC000149;EC000564;EC000756;EC000568"
"C21-steroid hormone biosynthesis and metabolism","48","48","4","3.5707","0.43107","0.6531","0.033911","2025","0.2025","P24","EC000981;EC000226;EC000457;EC000620"
"Pentose and Glucuronate Interconversions","8","8","1","0.59511","0.43891","1","0.03475","5251","0.5251","P25","EC00053"
"Carnitine shuttle","22","22","2","1.6366","0.45946","0.79342","0.037066","944","0.0944","P26","EC0001001;EC0001014"
"Glycerophospholipid metabolism","50","50","4","3.7194","0.46332","0.68102","0.03752","5695","0.5695","P27","EC000448;EC00042;EC00049;EC000428"
"Squalene and cholesterol biosynthesis","9","9","1","0.6695","0.47819","1","0.039332","2192","0.2192","P28","EC000289"
"Caffeine metabolism","9","9","1","0.6695","0.47819","1","0.039332","605","0.0605","P29","EC000693"
"Androgen and estrogen biosynthesis and metabolism","24","24","2","1.7853","0.50624","0.82133","0.043035","4339","0.4339","P30","EC000620;EC000457"
"Arachidonic acid metabolism","24","24","2","1.7853","0.50624","0.82133","0.043035","5395","0.5395","P31","EC000149;EC000789"
"Propanoate metabolism","10","10","1","0.74389","0.51475","1","0.044236","2103","0.2103","P32","EC00065"
"Ubiquinone Biosynthesis","10","10","1","0.74389","0.51475","1","0.044236","3029","0.3029","P33","EC000296"
"3-oxo-10R-octadecatrienoate beta-oxidation","11","11","1","0.81828","0.54878","1","0.049458","6594","0.6594","P34","EC000894"
"Vitamin E metabolism","26","26","2","1.9341","0.55039","0.84552","0.049723","198","0.0198","P35","EC000941;EC000768"
"Glycine, serine, alanine and threonine metabolism","44","44","3","3.2731","0.60253","0.81951","0.059284","5113","0.5113","P36","EC000780;EC000260;EC00065"
