"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"TCA cycle","16","16","3","0.73563","0.027435","0.1404","0.0052174","125","0.0125","P1","EC00032;EC000143;EC00021"
"Xenobiotics metabolism","37","37","4","1.7011","0.067876","0.19604","0.0059214","2859","0.2859","P2","EC000231;EC000618;EC000615;EC000601"
"Hexose phosphorylation","11","11","2","0.50575","0.076614","0.37513","0.0060864","97","0.0097","P3","EC00032;EC00051"
"C5-Branched dibasic acid metabolism","2","2","1","0.091954","0.0836","1","0.0062219","153","0.0153","P4","EC00021"
"Mono-unsaturated fatty acid beta-oxidation","2","2","1","0.091954","0.0836","1","0.0062219","0","0","P5","EC000688"
"Methionine and cysteine metabolism","25","25","3","1.1494","0.086445","0.2794","0.0062779","507","0.0507","P6","EC000412;EC000173;EC000163"
"Tyrosine metabolism","93","93","7","4.2759","0.091918","0.1817","0.0063873","3152","0.3152","P7","EC000143;EC000830;EC000406;EC000810;EC000160;EC000596;EC000692"
"C21-steroid hormone biosynthesis and metabolism","49","49","4","2.2529","0.15107","0.33412","0.0077091","1542","0.1542","P8","EC000907;EC000468;EC000481;EC000454"
"Pyrimidine metabolism","39","39","3","1.7931","0.22934","0.49085","0.0099284","554","0.0554","P9","EC00051;EC00032;EC00021"
"Vitamin B1 (thiamin) metabolism","6","6","1","0.27586","0.23086","1","0.0099776","514","0.0514","P10","EC000128"
"Omega-6 fatty acid metabolism","6","6","1","0.27586","0.23086","1","0.0099776","91","0.0091","P11","EC000744"
"Phytanic acid peroxisomal oxidation","6","6","1","0.27586","0.23086","1","0.0099776","140","0.014","P12","EC000688"
"Omega-3 fatty acid metabolism","7","7","1","0.32184","0.26391","1","0.011121","2744","0.2744","P13","EC000446"
"Porphyrin metabolism","7","7","1","0.32184","0.26391","1","0.011121","1865","0.1865","P14","EC000143"
"Carnitine shuttle","25","25","2","1.1494","0.28955","0.65938","0.012106","422","0.0422","P15","EC000686;EC000946"
"Drug metabolism - other enzymes","25","25","2","1.1494","0.28955","0.65938","0.012106","2252","0.2252","P16","EC000673;EC000670"
"D4&E4-neuroprostanes formation","8","8","1","0.36782","0.29557","1","0.012351","1762","0.1762","P17","EC000143"
"Putative anti-Inflammatory metabolites formation from EPA","10","10","1","0.45977","0.35495","1","0.015081","2607","0.2607","P18","EC000435"
"Biopterin metabolism","10","10","1","0.45977","0.35495","1","0.015081","1880","0.188","P19","EC00021"
"Squalene and cholesterol biosynthesis","11","11","1","0.50575","0.38279","1","0.016585","1360","0.136","P20","EC000284"
"Ascorbate (Vitamin C) and Aldarate Metabolism","11","11","1","0.50575","0.38279","1","0.016585","6699","0.6699","P21","EC000143"
"Linoleate metabolism","31","31","2","1.4253","0.3856","0.73814","0.016746","4922","0.4922","P22","EC000872;EC000446"
"Purine metabolism","54","54","3","2.4828","0.40917","0.67181","0.018167","2801","0.2801","P23","EC00051;EC00021;EC00032"
"Fructose and mannose metabolism","12","12","1","0.55172","0.40945","1","0.018184","3348","0.3348","P24","EC00021"
"Urea cycle/amino group metabolism","33","33","2","1.5172","0.41655","0.76021","0.018639","5739","0.5739","P25","EC000160;EC000769"
"Arginine and Proline Metabolism","14","14","1","0.64368","0.45944","1","0.02167","2604","0.2604","P26","EC000412"
"Phosphatidylinositol phosphate metabolism","14","14","1","0.64368","0.45944","1","0.02167","2915","0.2915","P27","EC000427"
"Galactose metabolism","17","17","1","0.78161","0.52679","1","0.02763","1983","0.1983","P28","EC00032"
"Aminosugars metabolism","17","17","1","0.78161","0.52679","1","0.02763","1646","0.1646","P29","EC00032"
"Glycolysis and Gluconeogenesis","18","18","1","0.82759","0.54736","1","0.029812","4428","0.4428","P30","EC00021"
"Drug metabolism - cytochrome P450","19","19","1","0.87356","0.56707","1","0.032092","6445","0.6445","P31","EC000571"
"Prostaglandin formation from arachidonate","44","44","2","2.023","0.57147","0.85279","0.03263","4384","0.4384","P32","EC000143;EC000527"
"Androgen and estrogen biosynthesis and metabolism","25","25","1","1.1494","0.66886","1","0.047774","4655","0.4655","P33","EC000454"
"Leukotriene metabolism","41","41","1","1.8851","0.83942","1","0.10394","4439","0.4439","P34","EC000876"
"Tryptophan metabolism","54","54","1","2.4828","0.91168","1","0.15964","9452","0.9452","P35","EC000372"
