"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Sialic acid metabolism","14","14","5","0.93153","0.00097966","0.0077404","0.0032271","1","1e-04","P1","EC00080;EC00081;EC00020;EC000119;EC00029"
"Glycosphingolipid biosynthesis - globoseries","2","2","2","0.13308","0.0037172","0.11739","0.003257","0","0","P2","EC00029;EC00020"
"N-Glycan Degradation","6","6","3","0.39923","0.0038782","0.046186","0.0032587","42","0.0042","P3","EC00020;EC00080;EC00081"
"Keratan sulfate degradation","7","7","3","0.46577","0.0064893","0.06217","0.0032875","131","0.0131","P4","EC00020;EC00080;EC00081"
"Heparan sulfate degradation","7","7","3","0.46577","0.0064893","0.06217","0.0032875","11","0.0011","P5","EC00080;EC00081;EC00020"
"Galactose metabolism","15","15","4","0.99807","0.010613","0.057081","0.0033335","144","0.0144","P6","EC00020;EC00080;EC00081;EC000119"
"Phosphatidylinositol phosphate metabolism","15","15","4","0.99807","0.010613","0.057081","0.0033335","91","0.0091","P7","EC00020;EC000621;EC00029;EC000139"
"Urea cycle/amino group metabolism","76","76","10","5.0569","0.014201","0.034274","0.0033741","889","0.0889","P8","EC000289;EC00032;EC000554;EC000238;EC000305;EC00038;EC000236;EC000438;EC000439;EC000222"
"Pentose phosphate pathway","17","17","4","1.1311","0.016854","0.078277","0.0034045","80","0.008","P9","EC000479;EC000150;EC000119;EC00020"
"Hyaluronan Metabolism","4","4","2","0.26615","0.020566","0.22117","0.0034474","109","0.0109","P10","EC00080;EC00081"
"Lysine metabolism","47","47","7","3.1273","0.021114","0.058819","0.0034538","673","0.0673","P11","EC000174;EC000247;EC000554;EC00025;EC000428;EC000222;EC000444"
"Butanoate metabolism","29","29","5","1.9296","0.028215","0.092715","0.0035377","154","0.0154","P12","EC000707;EC000562;EC000565;EC000566;EC000544"
"Glycerophospholipid metabolism","50","50","7","3.3269","0.028925","0.075487","0.0035462","49","0.0049","P13","EC000428;EC000479;EC00020;EC000362;EC00029;EC000898;EC000127"
"Lipoate metabolism","5","5","2","0.33269","0.032925","0.26846","0.0035945","65","0.0065","P14","EC000332;EC00025"
"Arginine and Proline Metabolism","44","44","6","2.9277","0.047437","0.12118","0.0037758","678","0.0678","P15","EC00032;EC000554;EC00038;EC000236;EC000541;EC000222"
"Glycosphingolipid biosynthesis - ganglioseries","6","6","2","0.39923","0.047449","0.31291","0.0037759","6","6e-04","P16","EC00020;EC00029"
"Glycosphingolipid metabolism","23","23","4","1.5304","0.047467","0.158","0.0037762","478","0.0478","P17","EC00020;EC000139;EC00029;EC000362"
"Glycosphingolipid biosynthesis - lactoseries","1","1","1","0.066538","0.061388","1","0.0039591","0","0","P18","EC00029"
"Blood Group Biosynthesis","1","1","1","0.066538","0.061388","1","0.0039591","0","0","P19","EC00029"
"Glycosphingolipid biosynthesis - neolactoseries","1","1","1","0.066538","0.061388","1","0.0039591","0","0","P20","EC00029"
"Keratan sulfate biosynthesis","1","1","1","0.066538","0.061388","1","0.0039591","0","0","P21","EC00029"
"O-Glycan biosynthesis","1","1","1","0.066538","0.061388","1","0.0039591","0","0","P22","EC00029"
"N-Glycan biosynthesis","7","7","2","0.46577","0.063833","0.3547","0.0039922","67","0.0067","P23","EC00029;EC00020"
"Ascorbate (Vitamin C) and Aldarate Metabolism","19","19","3","1.2642","0.10592","0.32094","0.0046102","829","0.0829","P24","EC000150;EC000119;EC000332"
"Aminosugars metabolism","19","19","3","1.2642","0.10592","0.32094","0.0046102","437","0.0437","P25","EC00080;EC00081;EC00029"
"Limonene and pinene degradation","12","12","2","0.79846","0.16486","0.5289","0.0056519","5664","0.5664","P26","EC000400;EC000401"
"Starch and Sucrose Metabolism","3","3","1","0.19961","0.17323","1","0.0058191","2060","0.206","P27","EC00020"
"Glycine, serine, alanine and threonine metabolism","49","49","5","3.2604","0.17659","0.34394","0.0058877","928","0.0928","P28","EC00032;EC000985;EC00038;EC000236;EC000289"
"Vitamin H (biotin) metabolism","4","4","1","0.26615","0.22412","1","0.0069565","1317","0.1317","P29","EC00025"
"Aspartate and asparagine metabolism","83","83","7","5.5227","0.24168","0.38749","0.0074023","4947","0.4947","P30","EC000238;EC000236;EC000222;EC00032;EC000554;EC000541;EC00025"
"Methionine and cysteine metabolism","28","28","3","1.8631","0.24407","0.51419","0.0074654","1361","0.1361","P31","EC000261;EC000480;EC00038"
"Chondroitin sulfate degradation","5","5","1","0.33269","0.27192","1","0.0082444","3217","0.3217","P32","EC00020"
"3-oxo-10R-octadecatrienoate beta-oxidation","5","5","1","0.33269","0.27192","1","0.0082444","445","0.0445","P33","EC0001068"
"Vitamin B1 (thiamin) metabolism","5","5","1","0.33269","0.27192","1","0.0082444","257","0.0257","P34","EC000174"
"Caffeine metabolism","5","5","1","0.33269","0.27192","1","0.0082444","5972","0.5972","P35","EC00020"
"CoA Catabolism","5","5","1","0.33269","0.27192","1","0.0082444","4133","0.4133","P36","EC000368"
"De novo fatty acid biosynthesis","30","30","3","1.9961","0.27824","0.55224","0.008433","770","0.077","P37","EC000451;EC000139;EC000127"
"Drug metabolism - cytochrome P450","32","32","3","2.1292","0.31288","0.58819","0.0095538","2909","0.2909","P38","EC000925;EC000822;EC000823"
"Propanoate metabolism","6","6","1","0.39923","0.31682","1","0.0096911","2872","0.2872","P39","EC000332"
"Polyunsaturated fatty acid biosynthesis","6","6","1","0.39923","0.31682","1","0.0096911","1590","0.159","P40","EC000451"
"Pentose and Glucuronate Interconversions","6","6","1","0.39923","0.31682","1","0.0096911","278","0.0278","P41","EC000150"
"Fatty acid activation","36","36","3","2.3954","0.38234","0.65369","0.012323","575","0.0575","P42","EC000801;EC000139;EC000451"
"Vitamin B5 - CoA biosynthesis from pantothenate","8","8","1","0.5323","0.39858","1","0.01309","3686","0.3686","P43","EC000368"
"Saturated fatty acids beta-oxidation","8","8","1","0.5323","0.39858","1","0.01309","1878","0.1878","P44","EC000139"
"Omega-6 fatty acid metabolism","9","9","1","0.59884","0.43576","1","0.015054","353","0.0353","P45","EC000127"
"Leukotriene metabolism","24","24","2","1.5969","0.4398","0.77992","0.015286","2506","0.2506","P46","EC000127;EC0001105"
"Fatty Acid Metabolism","26","26","2","1.73","0.48201","0.8063","0.017969","1778","0.1778","P47","EC000139;EC000451"
"Prostaglandin formation from arachidonate","26","26","2","1.73","0.48201","0.8063","0.017969","894","0.0894","P48","EC000127;EC000849"
"Glycolysis and Gluconeogenesis","11","11","1","0.73192","0.50347","1","0.019533","3017","0.3017","P49","EC00020"
"Pyrimidine metabolism","44","44","3","2.9277","0.51532","0.75995","0.020462","4984","0.4984","P50","EC000479;EC00029;EC000125"
"Vitamin D3 (cholecalciferol) metabolism","12","12","1","0.79846","0.53425","1","0.022053","2582","0.2582","P51","EC0001057"
