exposure,n,pvalue_mean,pvalue_BH_mean,perc_pval_0.05,perc_pval_0.05_BH,n_pval_0.05_BH
dde_impute,3909,0.5729420841737747,0.9996828583599743,0.017139933486825274,0,0
hexachlorobenzene_impute,3909,0.39115821925935723,0.660514052237597,0.12458429265796879,5.116398055768739e-4,2
ocs,3909,0.4613721785020914,0.8718321614766568,0.05730365822460987,0,0
pbde_100_ngml_detect,3909,0.5960018861676465,0.999638509367725,0.018930672806344334,0,0
pbde_153_ngml_detect,3909,0.4859636706613325,0.9437555351037669,0.03300076745970836,0,0
pbde_154_impute,3909,0.5346264334865649,0.9948752213398974,0.017651573292402148,0,0
pbde_47_impute,3909,0.5583129727128929,0.9996768676983219,0.02072141212586339,0,0
pbde_85_ngml_detect,3909,0.5641547864678433,0.9998639194471148,0.022000511639805577,0,0
pbde_num_detect,3909,0.473246924489267,0.9203689045167885,0.042977743668457406,0,0
pcb_118_ngml_detect,3909,0.5622209942171456,0.9971628989474182,0.027116909695574315,2.5581990278843696e-4,1
pcb_138_ngml_detect,3909,0.37990452020772864,0.6528448946377677,0.09286262471220261,0,0
pcb_153_ngml_detect,3909,0.46308718257483766,0.8541691802842258,0.08339728830903044,0,0
pcb_180_ngml_detect,3909,0.6055512481438826,0.999824397643551,0.007674597083653108,0,0
pcb_num_detect,3909,0.4562889503947712,0.8700624829397413,0.038884625223842416,2.5581990278843696e-4,1
