exposure,n,pvalue_mean,pvalue_BH_mean,pec_pval_0.05,pec_pval_0.05_BH,n_pval_0.05_BH
dde_impute,3313,0.5116296042259109,0.9910746907038627,0.04829459704195593,0,0
hexachlorobenzene_impute,3313,0.46389324548350735,0.8346372875277905,0.09115605191669182,3.0184123151222455e-4,1
ocs,3313,0.4668243150924582,0.8536241865612237,0.08210081497132508,0,0
pbde_100_ngml_detect,3313,0.5065913019954176,0.9933754837727855,0.03833383640205252,0,0
pbde_153_ngml_detect,3313,0.4770531503639515,0.8940463663525571,0.07063084817386055,0,0
pbde_154_impute,3313,0.5446052350730709,0.9991434516587571,0.023543616057953517,0,0
pbde_47_impute,3313,0.5117915080232005,0.9982207200379564,0.04557802595834591,0,0
pbde_85_ngml_detect,3313,0.42638115214248734,0.724930158337799,0.1288862058557199,0,0
pbde_num_detect,3313,0.43615061464857074,0.776089627801444,0.09658919408391187,0,0
pcb_118_ngml_detect,3313,0.502037016764008,0.9594528768681069,0.061273769996981586,0,0
pcb_138_ngml_detect,3313,0.5188596101855018,0.9982511455858895,0.040144883791125865,0,0
pcb_153_ngml_detect,3313,0.5121013848292454,0.9957934516388761,0.03712647147600362,0,0
pcb_180_ngml_detect,3313,0.5585785538179091,0.9991735722356708,0.02052520374283127,0,0
pcb_num_detect,3313,0.5018810608232895,0.9869210587868671,0.03893751886507697,0,0
