exposure,n,pvalue_mean,pvalue_BH_mean,perc_pval_0.05,perc_pval_0.05_BH,n_pval_0.05_BH
netfosaa,4937,NA,NA,NA,NA,NA
nmefosaab,4937,0.4950139241482491,0.9397034762871095,0.06400648166902978,0.0048612517723313755,24
pfbs,4937,0.4378722284451629,0.7390027178618409,0.12659509823779624,0.01782458983188171,88
pfda,4937,0.46565908398476735,0.8729223094217221,0.06907028559854163,0,0
pfdoa,4937,0.572621608998656,0.9890437036394084,0.03483897103504152,0.005063803929511849,25
pfds,4937,NA,NA,NA,NA,NA
pfhpa,4937,0.48546998016063386,0.9413753595340248,0.05529673891026939,0.0016204172574437918,8
pfhps,4937,0.443242148131972,0.8049258865203675,0.08081831071500911,0.0018229694146242657,9
pfhxa,4937,0.5516681243268572,0.9860246852346292,0.03402876240631963,0.004456147457970428,22
pfhxs,4937,0.4781481574947393,0.9166554414892216,0.056309499696171765,0.0018229694146242657,9
pfna,4937,0.4647188503153961,0.8602698971436062,0.08061575855782864,0.0016204172574437918,8
pfns,4937,NA,NA,NA,NA,NA
pfoa,4937,0.4494934492767458,0.8083473209425052,0.08831274053068665,0.0024306258861656878,12
pfos,4937,0.4541843891438124,0.82160103522341,0.08466680170143812,0.0012153129430828439,6
pfpes,4937,0.5026067945769346,0.9908957321143498,0.042130848693538586,0.0014178651002633178,7
pfuda,4937,NA,NA,NA,NA,NA
x82fts,4937,NA,NA,NA,NA,NA
