exposure,n,pvalue_mean,pvalue_BH_mean,pec_pval_0.05,pec_pval_0.05_BH,n_pval_0.05_BH
netfosaa,4372,NA,NA,NA,NA,NA
nmefosaab,4372,0.5472045141998696,0.986357299121444,0.04414455626715462,4.574565416285453e-4,2
pfbs,4372,0.41756022228857537,0.7388464992563306,0.10247026532479414,0.0022872827081427266,10
pfda,4372,0.45058309044140804,0.8067801714999266,0.09903934126258006,0,0
pfdoa,4372,0.5878727930799353,0.9921035973568657,0.02241537053979872,0.003888380603842635,17
pfds,4372,NA,NA,NA,NA,NA
pfhpa,4372,0.5379965109297984,0.9987562699200696,0.026303751143641353,2.2872827081427266e-4,1
pfhps,4372,0.41387779984683687,0.707167627948131,0.12145471180237877,0,0
pfhxa,4372,0.4578412638586383,0.8409992619066563,0.0711344922232388,0.0020585544373284536,9
pfhxs,4372,0.5044692699010354,0.9848899740491842,0.04437328453796889,0,0
pfna,4372,0.42240721220283567,0.7550171340280417,0.08897529734675205,0,0
pfns,4372,NA,NA,NA,NA,NA
pfoa,4372,0.4332130975454677,0.7803474992387567,0.08623055809698078,0,0
pfos,4372,0.4432350157261885,0.79996665498102,0.08485818847209516,0,0
pfpes,4372,0.5744329060582684,0.999952198367625,0.0192131747483989,0,0
pfuda,4372,NA,NA,NA,NA,NA
x82fts,4372,NA,NA,NA,NA,NA
