exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
nmefosaab,hilic,Tyrosine metabolism,151,151,23,12.517,4.8918e-4,0.0010866,0.0067868,6020
nmefosaab,hilic,Purine metabolism,45,45,9,3.7304,0.0052879,0.016358,0.0068792,1
nmefosaab,hilic,Arachidonic acid metabolism,19,19,4,1.575,0.050715,0.16796,0.0078244,17
nmefosaab,hilic,Omega-3 fatty acid metabolism,13,13,3,1.0777,0.070303,0.25679,0.0082742,2
nmefosaab,hilic,Ubiquinone Biosynthesis,13,13,3,1.0777,0.070303,0.25679,0.0082742,1344
nmefosaab,hilic,Vitamin B6 (pyridoxine) metabolism,14,14,3,1.1606,0.084683,0.28583,0.0086221,3510
nmefosaab,hilic,Hexose phosphorylation,16,16,3,1.3264,0.11678,0.34344,0.0094569,2093
nmefosaab,hilic,Benzoate degradation via CoA ligation,2,2,1,0.16579,0.14684,1,0.010319,0
nmefosaab,hilic,Vitamin A (retinol) metabolism,19,19,3,1.575,0.17178,0.42681,0.011098,407
nmefosaab,hilic,Omega-6 fatty acid metabolism,10,10,2,0.82897,0.17387,0.54525,0.011166,0
nmefosaab,hilic,Alkaloid biosynthesis II,11,11,2,0.91187,0.20244,0.57986,0.012146,417
nmefosaab,hilic,Linoleate metabolism,43,43,5,3.5646,0.22595,0.4106,0.013023,8427
nmefosaab,hilic,Glycerophospholipid metabolism,60,60,6,4.9738,0.30521,0.47973,0.016534,604
nmefosaab,hilic,Vitamin H (biotin) metabolism,5,5,1,0.41449,0.32802,1,0.01773,2981
nmefosaab,hilic,Prostaglandin formation from dihomo gama-linoleic acid,5,5,1,0.41449,0.32802,1,0.01773,1050
nmefosaab,hilic,Prostaglandin formation from arachidonate,27,27,3,2.2382,0.34009,0.61806,0.018401,169
nmefosaab,hilic,Lipoate metabolism,6,6,1,0.49738,0.37951,1,0.020803,1917
nmefosaab,hilic,De novo fatty acid biosynthesis,29,29,3,2.404,0.38335,0.65764,0.021055,188
nmefosaab,hilic,Aminosugars metabolism,30,30,3,2.4869,0.40478,0.67618,0.022528,642
nmefosaab,hilic,Vitamin B3 (nicotinate and nicotinamide) metabolism,34,34,3,2.8185,0.48796,0.74239,0.029474,5740
nmefosaab,hilic,Limonene and pinene degradation,9,9,1,0.74607,0.51167,1,0.031888,8818
nmefosaab,hilic,Pyrimidine metabolism,63,63,5,5.2225,0.5345,0.71668,0.034434,1876
nmefosaab,hilic,3-oxo-10R-octadecatrienoate beta-oxidation,10,10,1,0.82897,0.5492,1,0.036202,1721
nmefosaab,hilic,Vitamin B9 (folate) metabolism,10,10,1,0.82897,0.5492,1,0.036202,4299
nmefosaab,hilic,Nitrogen metabolism,10,10,1,0.82897,0.5492,1,0.036202,8024
nmefosaab,hilic,Leukotriene metabolism,24,24,2,1.9895,0.55836,0.8508,0.037356,928
nmefosaab,hilic,C21-steroid hormone biosynthesis and metabolism,52,52,4,4.3106,0.57172,0.7684,0.039122,2570
nmefosaab,hilic,Androgen and estrogen biosynthesis and metabolism,28,28,2,2.3211,0.64421,0.89175,0.050671,4998
nmefosaab,hilic,Biopterin metabolism,14,14,1,1.1606,0.67284,1,0.056374,9637
nmefosaab,hilic,"Valine, leucine and isoleucine degradation",30,30,2,2.4869,0.68202,0.90783,0.058372,1794
nmefosaab,hilic,Selenoamino acid metabolism,15,15,1,1.2435,0.69809,1,0.062095,411
nmefosaab,hilic,Drug metabolism - cytochrome P450,34,34,2,2.8185,0.74787,0.93324,0.075777,8494
nmefosaab,hilic,Fatty Acid Metabolism,18,18,1,1.4921,0.76283,1,0.080668,1346
nmefosaab,hilic,Glutamate metabolism,19,19,1,1.575,0.78119,1,0.08728,5200
nmefosaab,hilic,Fatty acid activation,37,37,2,3.0672,0.78935,0.94762,0.090461,2280
nmefosaab,hilic,Beta-Alanine metabolism,20,20,1,1.6579,0.79815,1,0.094079,1331
nmefosaab,hilic,Histidine metabolism,38,38,2,3.1501,0.8018,0.9517,0.095639,8151
nmefosaab,hilic,Alanine and Aspartate Metabolism,21,21,1,1.7408,0.8138,1,0.10105,9145
nmefosaab,hilic,Sialic acid metabolism,23,23,1,1.9066,0.84159,1,0.11544,3696
nmefosaab,hilic,Lysine metabolism,44,44,2,3.6475,0.86374,0.97034,0.12927,9961
nmefosaab,hilic,Tryptophan metabolism,113,113,6,9.3674,0.88126,0.94304,0.14221,9872
nmefosaab,hilic,Pentose phosphate pathway,27,27,1,2.2382,0.88545,1,0.14562,6215
nmefosaab,hilic,Methionine and cysteine metabolism,49,49,2,4.062,0.90135,0.98028,0.15996,4568
nmefosaab,hilic,Carnitine shuttle,32,32,1,2.6527,0.92373,1,0.18497,640
nmefosaab,hilic,Arginine and Proline Metabolism,53,53,2,4.3935,0.92429,0.98579,0.18569,9982
nmefosaab,hilic,Xenobiotics metabolism,47,47,1,3.8962,0.97772,1,0.30341,9781
nmefosaab,hilic,Urea cycle/amino group metabolism,92,92,3,7.6265,0.9786,0.99499,0.30713,10000
nmefosaab,hilic,Aspartate and asparagine metabolism,109,109,3,9.0358,0.99316,0.99862,0.40621,9965
