exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pfda,hilic,Tryptophan metabolism,113,113,27,16.664,0.0012874,0.0026345,0.019735,1957
pfda,hilic,Arginine and Proline Metabolism,53,53,15,7.8159,0.003023,0.0077549,0.019811,395
pfda,hilic,Glycolysis and Gluconeogenesis,27,27,8,3.9817,0.02196,0.06028,0.020668,56
pfda,hilic,Pyruvate Metabolism,6,6,3,0.88482,0.035963,0.18843,0.021328,93
pfda,hilic,Aspartate and asparagine metabolism,109,109,21,16.074,0.051879,0.083371,0.022107,480
pfda,hilic,Urea cycle/amino group metabolism,92,92,18,13.567,0.061144,0.10064,0.022575,8680
pfda,hilic,Histidine metabolism,38,38,9,5.6038,0.06119,0.1283,0.022577,256
pfda,hilic,"Glycine, serine, alanine and threonine metabolism",69,69,14,10.175,0.072509,0.12565,0.023163,105
pfda,hilic,Tyrosine metabolism,151,151,26,22.268,0.10451,0.14762,0.024914,9984
pfda,hilic,Glyoxylate and Dicarboxylate Metabolism,9,9,3,1.3272,0.11107,0.34798,0.025291,940
pfda,hilic,Carbon fixation,10,10,3,1.4747,0.14347,0.39959,0.027247,1236
pfda,hilic,Glycosphingolipid biosynthesis - globoseries,6,6,2,0.88482,0.19025,0.58173,0.030378,1045
pfda,hilic,Galactose metabolism,23,23,5,3.3918,0.19202,0.37726,0.030504,310
pfda,hilic,Fructose and mannose metabolism,18,18,4,2.6545,0.21993,0.4464,0.032573,2010
pfda,hilic,Phosphatidylinositol phosphate metabolism,18,18,4,2.6545,0.21993,0.4464,0.032573,76
pfda,hilic,Chondroitin sulfate degradation,7,7,2,1.0323,0.24365,0.63844,0.034458,1978
pfda,hilic,Benzoate degradation via CoA ligation,2,2,1,0.29494,0.25315,1,0.035248,0
pfda,hilic,Glycosphingolipid biosynthesis - ganglioseries,8,8,2,1.1798,0.29754,0.68751,0.03922,59
pfda,hilic,Pentose phosphate pathway,27,27,5,3.9817,0.29972,0.50507,0.039428,671
pfda,hilic,Drug metabolism - cytochrome P450,34,34,6,5.014,0.31017,0.49376,0.040443,6192
pfda,hilic,Methionine and cysteine metabolism,49,49,8,7.226,0.34376,0.49956,0.043915,114
pfda,hilic,Limonene and pinene degradation,9,9,2,1.3272,0.35082,0.72995,0.044688,9166
pfda,hilic,Mono-unsaturated fatty acid beta-oxidation,3,3,1,0.44241,0.3547,1,0.045119,1042
pfda,hilic,1- and 2-Methylnaphthalene degradation,3,3,1,0.44241,0.3547,1,0.045119,1191
pfda,hilic,Omega-6 fatty acid metabolism,10,10,2,1.4747,0.40266,0.76665,0.050879,0
pfda,hilic,R Group Synthesis,4,4,1,0.58988,0.4425,1,0.056334,10
pfda,hilic,Polyunsaturated fatty acid biosynthesis,4,4,1,0.58988,0.4425,1,0.056334,77
pfda,hilic,Keratan sulfate degradation,11,11,2,1.6222,0.45247,0.7984,0.057806,5464
pfda,hilic,Fatty acid oxidation,11,11,2,1.6222,0.45247,0.7984,0.057806,249
pfda,hilic,Heparan sulfate degradation,11,11,2,1.6222,0.45247,0.7984,0.057806,4648
pfda,hilic,N-Glycan Degradation,11,11,2,1.6222,0.45247,0.7984,0.057806,6310
pfda,hilic,Xenobiotics metabolism,47,47,7,6.9311,0.45958,0.62614,0.058884,3882
pfda,hilic,Vitamin H (biotin) metabolism,5,5,1,0.73735,0.51842,1,0.068813,1493
pfda,hilic,Alanine and Aspartate Metabolism,21,21,3,3.0969,0.55869,0.79878,0.076809,8119
pfda,hilic,Lysine metabolism,44,44,6,6.4887,0.56409,0.73032,0.077967,9954
pfda,hilic,De novo fatty acid biosynthesis,29,29,4,4.2766,0.56969,0.77321,0.079193,266
pfda,hilic,Parathio degradation,6,6,1,0.88482,0.58406,1,0.082448,1466
pfda,hilic,Caffeine metabolism,6,6,1,0.88482,0.58406,1,0.082448,4178
pfda,hilic,Lipoate metabolism,6,6,1,0.88482,0.58406,1,0.082448,4648
pfda,hilic,Phytanic acid peroxisomal oxidation,6,6,1,0.88482,0.58406,1,0.082448,0
pfda,hilic,Biopterin metabolism,14,14,2,2.0646,0.58637,0.87009,0.082988,9661
pfda,hilic,"Valine, leucine and isoleucine degradation",30,30,4,4.4241,0.59798,0.79324,0.085766,220
pfda,hilic,Selenoamino acid metabolism,15,15,2,2.212,0.62532,0.88782,0.092801,47
pfda,hilic,Hyaluronan Metabolism,7,7,1,1.0323,0.64079,1,0.097115,3069
pfda,hilic,Vitamin B1 (thiamin) metabolism,7,7,1,1.0323,0.64079,1,0.097115,3189
pfda,hilic,Starch and Sucrose Metabolism,7,7,1,1.0323,0.64079,1,0.097115,5382
pfda,hilic,CoA Catabolism,8,8,1,1.1798,0.68983,1,0.11268,7488
pfda,hilic,"Fatty acid oxidation, peroxisome",8,8,1,1.1798,0.68983,1,0.11268,0
pfda,hilic,Porphyrin metabolism,17,17,2,2.507,0.69463,0.91638,0.11438,5554
pfda,hilic,Fatty Acid Metabolism,18,18,2,2.6545,0.72515,0.92782,0.12607,661
pfda,hilic,Saturated fatty acids beta-oxidation,9,9,1,1.3272,0.7322,1,0.12901,281
pfda,hilic,Glycosphingolipid metabolism,27,27,3,3.9817,0.73241,0.89851,0.12909,1587
pfda,hilic,Glutathione Metabolism,19,19,2,2.8019,0.75306,0.9377,0.13829,2283
pfda,hilic,Vitamin B9 (folate) metabolism,10,10,1,1.4747,0.76882,1,0.14596,6706
pfda,hilic,Nitrogen metabolism,10,10,1,1.4747,0.76882,1,0.14596,9746
pfda,hilic,Pyrimidine metabolism,63,63,7,9.2906,0.77562,0.87553,0.14946,3905
pfda,hilic,Beta-Alanine metabolism,20,20,2,2.9494,0.77852,0.94624,0.15099,102
pfda,hilic,Aminosugars metabolism,30,30,3,4.4241,0.79677,0.92897,0.16121,3248
