exposure,mode,pathway,pathway_total,hits_total,hits_sig,expected,fet,ease,gamma,emp_hits
pfdoa,hilic,Arginine and Proline Metabolism,53,53,6,2.4974,0.023832,0.070105,0.002531,1383
pfdoa,hilic,Porphyrin metabolism,17,17,3,0.80105,0.034079,0.16109,0.002622,94
pfdoa,hilic,Urea cycle/amino group metabolism,92,92,8,4.3351,0.04016,0.089528,0.0026777,4189
pfdoa,hilic,Glutamate metabolism,19,19,3,0.89529,0.045686,0.19213,0.0027293,45
pfdoa,hilic,Vitamin B9 (folate) metabolism,10,10,2,0.4712,0.066478,0.3538,0.0029332,332
pfdoa,hilic,"Glycine, serine, alanine and threonine metabolism",69,69,5,3.2513,0.17455,0.33764,0.0042873,798
pfdoa,hilic,Beta-Alanine metabolism,20,20,2,0.94241,0.21395,0.58394,0.0049353,18
pfdoa,hilic,Alanine and Aspartate Metabolism,21,21,2,0.98953,0.23026,0.60194,0.0052336,2996
pfdoa,hilic,Parathio degradation,6,6,1,0.28272,0.23402,1,0.0053052,613
pfdoa,hilic,Glycerophospholipid metabolism,60,60,4,2.8272,0.26005,0.47635,0.0058299,653
pfdoa,hilic,Butanoate metabolism,42,42,3,1.9791,0.27299,0.54262,0.0061113,1758
pfdoa,hilic,Pyrimidine metabolism,63,63,4,2.9686,0.28983,0.50977,0.0064997,859
pfdoa,hilic,CoA Catabolism,8,8,1,0.37696,0.29936,1,0.0067312,1907
pfdoa,hilic,Pentose and Glucuronate Interconversions,8,8,1,0.37696,0.29936,1,0.0067312,280
pfdoa,hilic,Glycosphingolipid metabolism,27,27,2,1.2723,0.32875,0.69496,0.0075037,613
pfdoa,hilic,Aspartate and asparagine metabolism,109,109,6,5.1361,0.33254,0.5021,0.0076101,3361
pfdoa,hilic,Carbon fixation,10,10,1,0.4712,0.35922,1,0.0084078,1931
pfdoa,hilic,De novo fatty acid biosynthesis,29,29,2,1.3665,0.3611,0.72094,0.0084674,408
pfdoa,hilic,"Valine, leucine and isoleucine degradation",30,30,2,1.4136,0.37708,0.7331,0.0089927,759
pfdoa,hilic,Drug metabolism - cytochrome P450,34,34,2,1.6021,0.43928,0.77676,0.011408,4693
pfdoa,hilic,Biopterin metabolism,14,14,1,0.65969,0.46427,1,0.012574,7386
pfdoa,hilic,Vitamin B5 - CoA biosynthesis from pantothenate,15,15,1,0.70681,0.48777,1,0.013794,1537
pfdoa,hilic,Tyrosine metabolism,151,151,7,7.1152,0.48837,0.63864,0.013827,9895
pfdoa,hilic,Histidine metabolism,38,38,2,1.7906,0.4981,0.81339,0.014371,4973
pfdoa,hilic,Linoleate metabolism,43,43,2,2.0262,0.56605,0.85098,0.018936,8987
pfdoa,hilic,Glutathione Metabolism,19,19,1,0.89529,0.57207,1,0.019414,2599
pfdoa,hilic,Lysine metabolism,44,44,2,2.0733,0.57885,0.85755,0.019971,9041
pfdoa,hilic,Leukotriene metabolism,24,24,1,1.1309,0.6585,1,0.028127,2303
pfdoa,hilic,C21-steroid hormone biosynthesis and metabolism,52,52,2,2.4503,0.67153,0.90083,0.029813,3466
pfdoa,hilic,Pentose phosphate pathway,27,27,1,1.2723,0.70187,1,0.034238,3649
pfdoa,hilic,Aminosugars metabolism,30,30,1,1.4136,0.73982,1,0.040981,3406
pfdoa,hilic,Carnitine shuttle,32,32,1,1.5079,0.76244,1,0.04581,431
pfdoa,hilic,Vitamin B3 (nicotinate and nicotinamide) metabolism,34,34,1,1.6021,0.78313,1,0.050891,8040
pfdoa,hilic,Fatty acid activation,37,37,1,1.7435,0.81089,1,0.058957,3541
pfdoa,hilic,Tryptophan metabolism,113,113,3,5.3246,0.88426,0.9623,0.09132,9465
